time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,note
2025-12-05 10:07:04.662839,BUY_NO,KXHIGHNY-25DEC05-B32.5,28.0,10,0.15,2.95,MM,1.0,997.05,0.5,72.5,
2025-12-05 10:11:25.538946,BUY_NO,KXHIGHNY-25DEC05-B30.5,72.0,9,0.13,6.609999999999999,MM,2.0,990.4399999999999,1.0,29.0,
2025-12-05 10:11:26.673603,BUY_NO,KXHIGHNY-25DEC05-B30.5,71.0,20,0.29,14.489999999999998,MM,16.0,975.9499999999999,8.0,37.0,
2025-12-05 15:01:49.805319,BUY_NO,KXHIGHNY-25DEC05-B30.5,63.0,78,1.28,50.42,MM,6.0,925.53,4.0,41.0,
2025-12-05 15:02:30.503072,BUY_NO,KXHIGHNY-25DEC05-B30.5,58.0,60,1.03,35.83,MM,1.0,889.6999999999999,1.5,43.5,
2025-12-05 15:02:32.733590,BUY_YES,KXHIGHNY-25DEC05-B34.5,5.0,217,0.73,11.580000000000002,MM,1.0,878.1199999999999,1.5,3.5,
2025-12-05 15:03:56.891111,BUY_NO,KXHIGHNY-25DEC05-B30.5,62.0,11,0.19,7.010000000000001,MM,9.0,871.1099999999999,4.5,42.5,
2025-12-05 15:04:04.780359,BUY_NO,KXHIGHNY-25DEC05-B30.5,62.0,4,0.07,2.55,MM,9.0,868.56,4.5,42.5,
2025-12-05 15:40:36.603164,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,10,0.17,6.17,MM,2.0,862.39,1.0,41.0,
2025-12-05 15:40:39.328483,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,6,0.11,3.7099999999999995,MM,1.0,858.68,0.5,40.5,
2025-12-05 15:40:43.240016,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,4,0.07,2.4699999999999998,MM,2.0,856.2099999999999,1.0,41.0,
2025-12-05 15:41:39.127595,BUY_NO,KXHIGHNY-25DEC05-B32.5,43.0,12,0.21,5.37,MM,4.0,850.8399999999999,2.0,59.0,
