decision_id,decision_time,tick_time,tick_seq,tick_source,tick_row,ticker,decision_type,cash,pos_yes,pos_no,pending_yes,pending_no,order_index,action,price,qty,source
1,2026-01-08T17:11:23.322421,2026-01-08T16:57:25.006294,1918186,market_data_KXHIGHNY-26JAN09.csv,10868,KXHIGHNY-26JAN09-B49.5,keep,2.12,8,0,0,0,,,,,
2,2026-01-08T17:11:23.322421,2026-01-08T16:57:26.999170,1918187,market_data_KXHIGHNY-26JAN09.csv,10869,KXHIGHNY-26JAN09-B49.5,keep,2.12,8,0,0,0,,,,,
3,2026-01-08T17:11:23.322421,2026-01-08T16:57:30.734138,1918188,market_data_KXHIGHNY-26JAN09.csv,10870,KXHIGHNY-26JAN09-B49.5,empty,2.12,8,0,0,0,,,,,
4,2026-01-08T17:11:23.322421,2026-01-08T16:59:04.489032,1918189,market_data_KXHIGHNY-26JAN09.csv,10871,KXHIGHNY-26JAN09-B49.5,keep,2.12,8,0,0,0,,,,,
5,2026-01-08T17:11:23.322421,2026-01-08T16:59:09.149269,1918190,market_data_KXHIGHNY-26JAN09.csv,10872,KXHIGHNY-26JAN09-B49.5,empty,2.12,8,0,0,0,,,,,
6,2026-01-08T17:11:23.322421,2026-01-08T16:59:12.610970,1918191,market_data_KXHIGHNY-26JAN09.csv,10873,KXHIGHNY-26JAN09-B49.5,keep,2.12,8,0,0,0,,,,,
7,2026-01-08T17:11:23.322421,2026-01-08T16:59:13.915473,1918192,market_data_KXHIGHNY-26JAN09.csv,10874,KXHIGHNY-26JAN09-B49.5,empty,2.12,8,0,0,0,,,,,
8,2026-01-08T17:11:23.322421,2026-01-08T17:00:28.784656,1918193,market_data_KXHIGHNY-26JAN09.csv,10875,KXHIGHNY-26JAN09-B49.5,keep,2.12,8,0,0,0,,,,,
9,2026-01-08T17:11:23.322421,2026-01-08T17:00:35.804647,1918194,market_data_KXHIGHNY-26JAN09.csv,10876,KXHIGHNY-26JAN09-B49.5,empty,2.12,8,0,0,0,,,,,
10,2026-01-08T17:11:23.322421,2026-01-08T17:01:32.026820,1918195,market_data_KXHIGHNY-26JAN09.csv,10877,KXHIGHNY-26JAN09-B51.5,keep,2.12,0,0,0,0,,,,,
11,2026-01-08T17:11:23.322421,2026-01-08T17:01:34.232891,1918196,market_data_KXHIGHNY-26JAN09.csv,10878,KXHIGHNY-26JAN09-B51.5,keep,2.12,0,0,0,0,,,,,
