decision_id,decision_time,tick_time,tick_seq,tick_source,tick_row,ticker,decision_type,cash,pos_yes,pos_no,pending_yes,pending_no,order_index,action,price,qty,source
1,2026-01-11T01:09:43.399532,2026-01-09T04:00:03.876432,1936043,market_data_KXHIGHNY-26JAN09.csv,28719,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
2,2026-01-11T01:09:43.404876,2026-01-09T04:00:03.876589,1936044,market_data_KXHIGHNY-26JAN09.csv,28720,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
3,2026-01-11T01:09:43.407011,2026-01-09T04:00:04.526481,1936045,market_data_KXHIGHNY-26JAN09.csv,28721,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
4,2026-01-11T01:09:43.410287,2026-01-09T04:00:04.918179,1936046,market_data_KXHIGHNY-26JAN09.csv,28722,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
5,2026-01-11T01:09:43.412287,2026-01-09T04:00:05.085159,1936047,market_data_KXHIGHNY-26JAN09.csv,28723,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
6,2026-01-11T01:09:43.415797,2026-01-09T04:00:05.127570,1936048,market_data_KXHIGHNY-26JAN09.csv,28724,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
7,2026-01-11T01:09:43.417985,2026-01-09T04:00:05.172292,1936049,market_data_KXHIGHNY-26JAN09.csv,28725,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
8,2026-01-11T01:09:43.421509,2026-01-09T04:00:06.159851,1936050,market_data_KXHIGHNY-26JAN09.csv,28726,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
9,2026-01-11T01:09:43.424017,2026-01-09T04:00:06.378296,1936051,market_data_KXHIGHNY-26JAN09.csv,28727,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
10,2026-01-11T01:09:43.426018,2026-01-09T04:00:06.603893,1936052,market_data_KXHIGHNY-26JAN09.csv,28728,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
11,2026-01-11T01:09:43.428527,2026-01-09T04:00:06.701530,1936053,market_data_KXHIGHNY-26JAN09.csv,28729,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
12,2026-01-11T01:09:43.431034,2026-01-09T04:00:06.820805,1936054,market_data_KXHIGHNY-26JAN09.csv,28730,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
13,2026-01-11T01:09:43.433039,2026-01-09T04:00:10.466389,1936055,market_data_KXHIGHNY-26JAN09.csv,28731,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
14,2026-01-11T01:09:43.435514,2026-01-09T04:00:10.677322,1936056,market_data_KXHIGHNY-26JAN09.csv,28732,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
15,2026-01-11T01:09:43.438535,2026-01-09T04:00:11.158173,1936057,market_data_KXHIGHNY-26JAN09.csv,28733,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
16,2026-01-11T01:09:43.440535,2026-01-09T04:00:11.492570,1936058,market_data_KXHIGHNY-26JAN09.csv,28734,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
17,2026-01-11T01:09:43.442927,2026-01-09T04:00:11.529101,1936059,market_data_KXHIGHNY-26JAN09.csv,28735,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
18,2026-01-11T01:09:43.445439,2026-01-09T04:00:11.601770,1936060,market_data_KXHIGHNY-26JAN09.csv,28736,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
19,2026-01-11T01:09:43.446972,2026-01-09T04:00:11.713955,1936061,market_data_KXHIGHNY-26JAN09.csv,28737,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
20,2026-01-11T01:09:43.449485,2026-01-09T04:00:11.781698,1936062,market_data_KXHIGHNY-26JAN09.csv,28738,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
21,2026-01-11T01:09:43.451512,2026-01-09T04:00:11.933938,1936063,market_data_KXHIGHNY-26JAN09.csv,28739,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
22,2026-01-11T01:09:43.454490,2026-01-09T04:00:12.154123,1936064,market_data_KXHIGHNY-26JAN09.csv,28740,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
23,2026-01-11T01:09:43.457001,2026-01-09T04:00:15.974638,1936065,market_data_KXHIGHNY-26JAN09.csv,28741,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
24,2026-01-11T01:09:43.459005,2026-01-09T04:00:16.141149,1936066,market_data_KXHIGHNY-26JAN09.csv,28742,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
25,2026-01-11T01:09:43.461006,2026-01-09T04:00:17.254967,1936067,market_data_KXHIGHNY-26JAN09.csv,28743,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
26,2026-01-11T01:09:43.463510,2026-01-09T04:00:17.270223,1936068,market_data_KXHIGHNY-26JAN09.csv,28744,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
27,2026-01-11T01:09:43.466367,2026-01-09T04:00:21.560886,1936069,market_data_KXHIGHNY-26JAN09.csv,28745,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
28,2026-01-11T01:09:43.468008,2026-01-09T04:00:21.732281,1936070,market_data_KXHIGHNY-26JAN09.csv,28746,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
29,2026-01-11T01:09:43.470142,2026-01-09T04:00:24.603221,1936071,market_data_KXHIGHNY-26JAN09.csv,28747,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
30,2026-01-11T01:09:43.473141,2026-01-09T04:00:24.714496,1936072,market_data_KXHIGHNY-26JAN09.csv,28748,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
31,2026-01-11T01:09:43.475518,2026-01-09T04:00:25.046243,1936073,market_data_KXHIGHNY-26JAN09.csv,28749,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
32,2026-01-11T01:09:43.477021,2026-01-09T04:00:27.063608,1936074,market_data_KXHIGHNY-26JAN09.csv,28750,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
33,2026-01-11T01:09:43.480511,2026-01-09T04:00:27.229174,1936075,market_data_KXHIGHNY-26JAN09.csv,28751,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
34,2026-01-11T01:09:43.483017,2026-01-09T04:00:32.537161,1936076,market_data_KXHIGHNY-26JAN09.csv,28752,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
35,2026-01-11T01:09:43.484537,2026-01-09T04:00:32.763327,1936077,market_data_KXHIGHNY-26JAN09.csv,28753,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
