decision_id,decision_time,tick_time,tick_seq,tick_source,tick_row,ticker,decision_type,cash,pos_yes,pos_no,pending_yes,pending_no,order_index,action,price,qty,source
1,2026-01-11T01:12:40.417950,2026-01-09T04:00:03.876432,1936043,market_data_KXHIGHNY-26JAN09.csv,28719,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
2,2026-01-11T01:12:40.422622,2026-01-09T04:00:03.876589,1936044,market_data_KXHIGHNY-26JAN09.csv,28720,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
3,2026-01-11T01:12:40.425657,2026-01-09T04:00:04.526481,1936045,market_data_KXHIGHNY-26JAN09.csv,28721,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
4,2026-01-11T01:12:40.427656,2026-01-09T04:00:04.918179,1936046,market_data_KXHIGHNY-26JAN09.csv,28722,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
5,2026-01-11T01:12:40.430344,2026-01-09T04:00:05.085159,1936047,market_data_KXHIGHNY-26JAN09.csv,28723,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
6,2026-01-11T01:12:40.432405,2026-01-09T04:00:05.127570,1936048,market_data_KXHIGHNY-26JAN09.csv,28724,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
7,2026-01-11T01:12:40.433912,2026-01-09T04:00:05.172292,1936049,market_data_KXHIGHNY-26JAN09.csv,28725,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
8,2026-01-11T01:12:40.435921,2026-01-09T04:00:06.159851,1936050,market_data_KXHIGHNY-26JAN09.csv,28726,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
9,2026-01-11T01:12:40.438434,2026-01-09T04:00:06.378296,1936051,market_data_KXHIGHNY-26JAN09.csv,28727,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
10,2026-01-11T01:12:40.439435,2026-01-09T04:00:06.603893,1936052,market_data_KXHIGHNY-26JAN09.csv,28728,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
11,2026-01-11T01:12:40.441751,2026-01-09T04:00:06.701530,1936053,market_data_KXHIGHNY-26JAN09.csv,28729,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
12,2026-01-11T01:12:40.444054,2026-01-09T04:00:06.820805,1936054,market_data_KXHIGHNY-26JAN09.csv,28730,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
13,2026-01-11T01:12:40.446055,2026-01-09T04:00:10.466389,1936055,market_data_KXHIGHNY-26JAN09.csv,28731,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
14,2026-01-11T01:12:40.447051,2026-01-09T04:00:10.677322,1936056,market_data_KXHIGHNY-26JAN09.csv,28732,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
15,2026-01-11T01:12:40.449563,2026-01-09T04:00:11.158173,1936057,market_data_KXHIGHNY-26JAN09.csv,28733,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
16,2026-01-11T01:12:40.451067,2026-01-09T04:00:11.492570,1936058,market_data_KXHIGHNY-26JAN09.csv,28734,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
17,2026-01-11T01:12:40.453354,2026-01-09T04:00:11.529101,1936059,market_data_KXHIGHNY-26JAN09.csv,28735,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
18,2026-01-11T01:12:40.455361,2026-01-09T04:00:11.601770,1936060,market_data_KXHIGHNY-26JAN09.csv,28736,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
19,2026-01-11T01:12:40.457361,2026-01-09T04:00:11.713955,1936061,market_data_KXHIGHNY-26JAN09.csv,28737,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
20,2026-01-11T01:12:40.458359,2026-01-09T04:00:11.781698,1936062,market_data_KXHIGHNY-26JAN09.csv,28738,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
21,2026-01-11T01:12:40.460360,2026-01-09T04:00:11.933938,1936063,market_data_KXHIGHNY-26JAN09.csv,28739,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
22,2026-01-11T01:12:40.461363,2026-01-09T04:00:12.154123,1936064,market_data_KXHIGHNY-26JAN09.csv,28740,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
23,2026-01-11T01:12:40.464055,2026-01-09T04:00:15.974638,1936065,market_data_KXHIGHNY-26JAN09.csv,28741,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
24,2026-01-11T01:12:40.465569,2026-01-09T04:00:16.141149,1936066,market_data_KXHIGHNY-26JAN09.csv,28742,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
25,2026-01-11T01:12:40.467573,2026-01-09T04:00:17.254967,1936067,market_data_KXHIGHNY-26JAN09.csv,28743,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
26,2026-01-11T01:12:40.469604,2026-01-09T04:00:17.270223,1936068,market_data_KXHIGHNY-26JAN09.csv,28744,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
27,2026-01-11T01:12:40.471604,2026-01-09T04:00:21.560886,1936069,market_data_KXHIGHNY-26JAN09.csv,28745,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
28,2026-01-11T01:12:40.473775,2026-01-09T04:00:21.732281,1936070,market_data_KXHIGHNY-26JAN09.csv,28746,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
29,2026-01-11T01:12:40.474911,2026-01-09T04:00:24.603221,1936071,market_data_KXHIGHNY-26JAN09.csv,28747,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
30,2026-01-11T01:12:40.477425,2026-01-09T04:00:24.714496,1936072,market_data_KXHIGHNY-26JAN09.csv,28748,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
31,2026-01-11T01:12:40.479428,2026-01-09T04:00:25.046243,1936073,market_data_KXHIGHNY-26JAN09.csv,28749,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
32,2026-01-11T01:12:40.481428,2026-01-09T04:00:27.063608,1936074,market_data_KXHIGHNY-26JAN09.csv,28750,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
33,2026-01-11T01:12:40.482558,2026-01-09T04:00:27.229174,1936075,market_data_KXHIGHNY-26JAN09.csv,28751,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
34,2026-01-11T01:12:40.485065,2026-01-09T04:00:32.537161,1936076,market_data_KXHIGHNY-26JAN09.csv,28752,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
35,2026-01-11T01:12:40.486569,2026-01-09T04:00:32.763327,1936077,market_data_KXHIGHNY-26JAN09.csv,28753,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
36,2026-01-11T01:12:40.488222,2026-01-09T04:00:37.584136,1936078,market_data_KXHIGHNY-26JAN09.csv,28754,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
37,2026-01-11T01:12:40.490228,2026-01-09T04:00:37.753208,1936079,market_data_KXHIGHNY-26JAN09.csv,28755,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
38,2026-01-11T01:12:40.492749,2026-01-09T04:00:38.077000,1936080,market_data_KXHIGHNY-26JAN09.csv,28756,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
39,2026-01-11T01:12:40.494757,2026-01-09T04:00:38.333174,1936081,market_data_KXHIGHNY-26JAN09.csv,28757,KXHIGHNY-26JAN09-B55.5,keep,100.0,0,0,0,0,,,,,
40,2026-01-11T01:12:40.496757,2026-01-09T04:00:41.774441,1936082,market_data_KXHIGHNY-26JAN09.csv,28758,KXHIGHNY-26JAN09-B53.5,keep,100.0,0,0,0,0,,,,,
41,2026-01-11T01:12:40.498943,2026-01-09T04:00:41.999348,1936083,market_data_KXHIGHNY-26JAN09.csv,28759,KXHIGHNY-26JAN09-B51.5,keep,100.0,0,0,0,0,,,,,
