time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill
2025-12-22 07:18:55.802184,BUY_YES,KXHIGHNY-25DEC23-B44.5,5,23,0.08,1.2300000000000002,MM,2,20.009999999999998,1.0,4.0
2025-12-24 05:00:15.955590,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,4,0.05,0.9700000000000001,MM,6,19.04,3.0,20.0
2025-12-24 05:00:27.310810,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,3,0.04,0.79,MM,8,18.25,4.0,21.0
2025-12-24 05:00:27.311005,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,3,0.04,0.76,MM,7,17.49,3.5,20.5
2025-12-24 05:00:33.347923,BUY_NO,KXHIGHNY-25DEC24-T47,93,1,0.01,0.9400000000000001,MM,6,16.549999999999997,3.0,10.0
2025-12-24 05:00:34.929036,BUY_NO,KXHIGHNY-25DEC24-T47,94,1,0.01,0.95,MM,1,15.599999999999998,0.5,6.5
2025-12-24 05:00:36.702633,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,2,0.03,0.49,MM,6,15.109999999999998,3.0,20.0
2025-12-24 05:00:40.438722,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,2,0.03,0.53,MM,8,14.579999999999998,4.0,21.0
2025-12-24 05:00:40.438887,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,2,0.03,0.51,MM,7,14.069999999999999,3.5,20.5
2025-12-24 05:00:41.693496,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,2,0.03,0.49,MM,6,13.579999999999998,3.0,20.0
2025-12-25 05:46:13.633587,BUY_YES,KXHIGHNY-25DEC25-B43.5,1,500,0.35,5.35,MM,1,46010.23,0.5,0.5
2025-12-26 05:00:00.645700,BUY_YES,KXHIGHNY-25DEC26-B29.5,38,500,8.25,198.25,MM,5,261041.98,2.5,35.5
2025-12-26 05:00:00.866194,BUY_NO,KXHIGHNY-25DEC26-B31.5,60,500,8.4,308.4,MM,3,260737.58000000002,1.5,41.5
2025-12-26 05:00:10.202295,BUY_NO,KXHIGHNY-25DEC26-T34,93,500,2.28,467.28,MM,1,260328.30000000002,0.5,7.5
2025-12-26 05:00:10.311537,BUY_NO,KXHIGHNY-25DEC26-B33.5,86,500,4.22,434.22,MM,2,259898.08000000002,1.0,15.0
2025-12-26 05:02:50.534376,BUY_YES,KXHIGHNY-25DEC26-B27.5,2,500,0.69,10.69,MM,1,260451.39,0.5,1.5
2025-12-26 07:16:06.162975,BUY_YES,KXHIGHNY-25DEC27-B35.5,9,500,2.87,47.87,MM,2,281347.52,1.0,8.0
2025-12-26 07:16:20.502648,BUY_YES,KXHIGHNY-25DEC27-B29.5,13,500,3.96,68.96,MM,3,281328.56,1.5,11.5
2025-12-26 07:32:27.412523,BUY_YES,KXHIGHNY-25DEC27-T29,4,500,1.35,21.35,MM,2,284463.21,1.0,3.0
2025-12-26 07:41:39.833019,BUY_YES,KXHIGHNY-25DEC27-T36,4,500,1.35,21.35,MM,2,286621.86000000004,1.0,3.0
2025-12-26 13:03:37.527160,BUY_NO,KXHIGHNY-25DEC27-B33.5,61,500,8.33,313.33,MM,1,296214.53,0.5,39.5
2025-12-26 14:31:26.348713,BUY_YES,KXHIGHNY-25DEC27-B31.5,24,500,6.39,126.39,MM,2,306382.14,1.0,23.0
2025-12-27 13:18:53.290347,BUY_NO,KXHIGHNY-25DEC28-B37.5,72,500,7.06,367.06,MM,1,9148481.58,0.5,28.5
2025-12-27 13:43:03.226837,BUY_YES,KXHIGHNY-25DEC28-B41.5,19,500,5.39,100.39,MM,2,9258027.19,1.0,18.0
2025-12-27 15:02:58.574114,BUY_YES,KXHIGHNY-25DEC28-B43.5,4,500,1.35,21.35,MM,1,13214273.84,0.5,3.5
2025-12-27 15:35:17.458099,BUY_YES,KXHIGHNY-25DEC28-B39.5,41,500,8.47,213.47,MM,3,14284986.37,1.5,39.5
2025-12-27 16:02:33.492864,BUY_NO,KXHIGHNY-25DEC28-T37,93,500,2.28,467.28,MM,3,19265151.089999996,1.5,8.5
2025-12-27 16:34:58.470006,BUY_YES,KXHIGHNY-25DEC28-T44,3,500,1.02,16.02,MM,1,27939185.069999997,0.5,2.5
