timestamp,ticker,action,actual_price,expected_price,slippage,actual_fee,calc_fee,fee_diff,qty,ts_diff
2025-12-23 13:15:32.180941,KXHIGHNY-25DEC23-B42.5,BUY_YES,6,6.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:25:48.012156,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.05,0.05,0.0,7,0.0
2025-12-23 13:25:48.012156,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.05,0.05,0.0,7,0.0
2025-12-23 13:25:59.216519,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.04,0.04,0.0,6,0.0
2025-12-23 13:25:59.216519,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.04,0.04,0.0,6,0.0
2025-12-23 13:26:23.636385,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.02,0.02,0.0,2,0.0
2025-12-23 13:26:23.636385,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.03,0.03,0.0,3,0.0
2025-12-23 13:26:59.118334,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.02,0.02,0.0,2,0.0
2025-12-23 13:26:59.118334,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.02,0.02,0.0,2,0.0
2025-12-23 13:27:04.411969,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:04.411969,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:17.987371,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:17.987371,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:56.315181,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:56.315181,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:28:02.550106,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:28:02.550106,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-24 05:00:15.955590,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.05,0.05,0.0,4,
2025-12-24 05:00:27.310810,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,,,0.03,0.03,0.0,2,
