time,action,ticker,price,qty,fee,cost,source
2026-01-05 06:28:02.423939,BUY_YES,KXHIGHNY-26JAN05-B37.5,22.0,4,0.05,0.93,SIM
2026-01-05 06:30:25.233796,BUY_YES,KXHIGHNY-26JAN05-B37.5,22.0,2,0.03,0.47,SIM
2026-01-05 06:36:24.748987,BUY_YES,KXHIGHNY-26JAN05-B37.5,21.0,2,0.03,0.44999999999999996,SIM
2026-01-05 06:36:37.344434,BUY_YES,KXHIGHNY-26JAN05-B37.5,20.0,4,0.05,0.8500000000000001,SIM
2026-01-05 07:33:36.631268,BUY_NO,KXHIGHNY-26JAN06-B41.5,64.0,1,0.02,0.66,SIM
2026-01-05 07:33:49.981115,BUY_NO,KXHIGHNY-26JAN06-B41.5,63.0,2,0.04,1.3,SIM
2026-01-05 07:51:00.956117,BUY_YES,KXHIGHNY-26JAN06-B43.5,20.0,5,0.06,1.06,SIM
2026-01-05 07:52:04.847657,BUY_NO,KXHIGHNY-26JAN06-T39,81.0,2,0.03,1.6500000000000001,SIM
2026-01-05 08:02:40.452115,BUY_NO,KXHIGHNY-26JAN05-B35.5,28.0,2,0.03,0.5900000000000001,SIM
2026-01-05 08:03:08.184234,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,8,0.08,1.36,SIM
2026-01-05 08:03:37.744315,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,7,0.07,1.1900000000000002,SIM
2026-01-05 08:04:35.966224,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,5,0.05,0.8500000000000001,SIM
2026-01-05 08:06:02.295189,BUY_YES,KXHIGHNY-26JAN05-B33.5,17.0,1,0.01,0.18000000000000002,SIM
2026-01-05 08:06:48.378104,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,2,0.02,0.34,SIM
2026-01-05 08:07:08.131794,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,1,0.01,0.17,SIM
2026-01-05 08:22:09.207219,BUY_NO,KXHIGHNY-26JAN06-B41.5,52.0,2,0.04,1.08,SIM
2026-01-05 08:22:13.096831,BUY_NO,KXHIGHNY-26JAN06-B41.5,51.0,1,0.02,0.53,SIM
2026-01-05 08:25:48.093937,BUY_NO,KXHIGHNY-26JAN06-B41.5,50.0,2,0.04,1.04,SIM
