time,ticker,side,price,qty,status,filled,order_id,order_time,ready_at,fill_latency_s
2026-01-09 05:59:12.505827,KXHIGHNY-26JAN09-B49.5,yes,7.0,1,executed,1,SIM_1,2026-01-09 05:59:12.505827,2026-01-09 05:59:12.505827,0.0
2026-01-09 05:59:16.158003,KXHIGHNY-26JAN09-B49.5,yes,7.0,1,executed,1,SIM_2,2026-01-09 05:59:16.158003,2026-01-09 05:59:16.158003,0.0
2026-01-09 05:59:16.269033,KXHIGHNY-26JAN09-B49.5,yes,6.0,1,executed,1,SIM_3,2026-01-09 05:59:16.269033,2026-01-09 05:59:16.269033,0.0
2026-01-09 05:59:16.672998,KXHIGHNY-26JAN09-B49.5,yes,5.0,1,executed,1,SIM_4,2026-01-09 05:59:16.672998,2026-01-09 05:59:16.672998,0.0
2026-01-09 05:59:21.489879,KXHIGHNY-26JAN09-B49.5,yes,5.0,1,executed,1,SIM_5,2026-01-09 05:59:21.489879,2026-01-09 05:59:21.489879,0.0
2026-01-09 05:59:21.824959,KXHIGHNY-26JAN09-B49.5,yes,5.0,1,executed,1,SIM_6,2026-01-09 05:59:21.824959,2026-01-09 05:59:21.824959,0.0
2026-01-09 05:59:28.159317,KXHIGHNY-26JAN09-B49.5,yes,5.0,1,executed,1,SIM_7,2026-01-09 05:59:28.159317,2026-01-09 05:59:28.159317,0.0
2026-01-09 06:00:08.044186,KXHIGHNY-26JAN09-B49.5,yes,5.0,1,executed,1,SIM_8,2026-01-09 06:00:08.044186,2026-01-09 06:00:08.044186,0.0
2026-01-09 06:00:52.050146,KXHIGHNY-26JAN09-B49.5,yes,5.0,1,executed,1,SIM_9,2026-01-09 06:00:52.050146,2026-01-09 06:00:52.050146,0.0
2026-01-09 13:01:03.818043,KXHIGHNY-26JAN09-B55.5,yes,4.0,1,executed,1,SIM_10,2026-01-09 13:01:03.818043,2026-01-09 13:01:03.818043,0.0
2026-01-09 13:02:02.040765,KXHIGHNY-26JAN09-B55.5,yes,4.0,1,executed,1,SIM_11,2026-01-09 13:02:02.040765,2026-01-09 13:02:02.040765,0.0
2026-01-09 13:02:07.040748,KXHIGHNY-26JAN09-B55.5,yes,4.0,1,executed,1,SIM_12,2026-01-09 13:02:07.040748,2026-01-09 13:02:07.040748,0.0
2026-01-09 13:07:19.402457,KXHIGHNY-26JAN09-B55.5,yes,3.0,1,executed,1,SIM_13,2026-01-09 13:07:19.402457,2026-01-09 13:07:19.402457,0.0
2026-01-09 13:07:20.082597,KXHIGHNY-26JAN09-B55.5,yes,3.0,1,executed,1,SIM_14,2026-01-09 13:07:20.082597,2026-01-09 13:07:20.082597,0.0
2026-01-09 13:07:21.564206,KXHIGHNY-26JAN09-B55.5,yes,3.0,1,executed,1,SIM_15,2026-01-09 13:07:21.564206,2026-01-09 13:07:21.564206,0.0
2026-01-09 21:07:19.680501,KXHIGHNY-26JAN10-B54.5,yes,2.0,3,executed,3,SIM_16,2026-01-09 21:07:19.680501,2026-01-09 21:07:19.680501,0.0
2026-01-09 21:07:31.557892,KXHIGHNY-26JAN10-B54.5,yes,3.0,1,executed,1,SIM_17,2026-01-09 21:07:31.557892,2026-01-09 21:07:31.557892,0.0
2026-01-09 21:07:32.393980,KXHIGHNY-26JAN10-B54.5,yes,4.0,1,executed,1,SIM_18,2026-01-09 21:07:32.393980,2026-01-09 21:07:32.393980,0.0
2026-01-09 21:07:32.624387,KXHIGHNY-26JAN10-B54.5,yes,4.0,1,executed,1,SIM_19,2026-01-09 21:07:32.624387,2026-01-09 21:07:32.624387,0.0
2026-01-09 21:07:42.097071,KXHIGHNY-26JAN10-B52.5,no,3.0,1,executed,1,SIM_20,2026-01-09 21:07:42.097071,2026-01-09 21:07:42.097071,0.0
2026-01-09 21:07:42.097071,KXHIGHNY-26JAN10-B52.5,no,3.0,1,executed,1,SIM_21,2026-01-09 21:07:42.097071,2026-01-09 21:07:42.097071,0.0
2026-01-09 21:07:42.174190,KXHIGHNY-26JAN10-B52.5,no,3.0,1,executed,1,SIM_22,2026-01-09 21:07:42.174190,2026-01-09 21:07:42.174190,0.0
2026-01-09 21:07:42.174190,KXHIGHNY-26JAN10-B52.5,no,3.0,1,executed,1,SIM_23,2026-01-09 21:07:42.174190,2026-01-09 21:07:42.174190,0.0
2026-01-09 21:08:10.621326,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_24,2026-01-09 21:08:10.621326,2026-01-09 21:08:10.621326,0.0
2026-01-09 21:08:14.340209,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_25,2026-01-09 21:08:14.340209,2026-01-09 21:08:14.340209,0.0
2026-01-09 21:08:14.618403,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_26,2026-01-09 21:08:14.618403,2026-01-09 21:08:14.618403,0.0
2026-01-09 21:08:18.179662,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_27,2026-01-09 21:08:18.179662,2026-01-09 21:08:18.179662,0.0
2026-01-09 21:08:42.358515,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_28,2026-01-09 21:08:42.358515,2026-01-09 21:08:42.358515,0.0
2026-01-09 21:33:16.643400,KXHIGHNY-26JAN10-B54.5,yes,3.0,1,executed,1,SIM_29,2026-01-09 21:33:16.643400,2026-01-09 21:33:16.643400,0.0
2026-01-09 21:33:16.964757,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_30,2026-01-09 21:33:16.964757,2026-01-09 21:33:16.964757,0.0
2026-01-09 21:34:54.732488,KXHIGHNY-26JAN10-B54.5,yes,2.0,1,executed,1,SIM_31,2026-01-09 21:34:54.732488,2026-01-09 21:34:54.732488,0.0
