decision_id,decision_time,tick_time,tick_seq,tick_source,tick_row,ticker,decision_type,cash,pos_yes,pos_no,pending_yes,pending_no,order_index,action,price,qty,source,reason,edge,edge_yes,edge_no,fair_prob,mid,edge_cents,required,fee_cents,margin,edge_after_fee_real,edge_after_fee
1,2026-01-10T13:51:54.390524,2026-01-09T05:05:20.417396,1940267,market_data_KXHIGHNY-26JAN09.csv,32943,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
2,2026-01-10T13:51:54.390524,2026-01-09T05:05:20.630175,1940268,market_data_KXHIGHNY-26JAN09.csv,32944,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
3,2026-01-10T13:51:54.390524,2026-01-09T05:05:21.368145,1940269,market_data_KXHIGHNY-26JAN09.csv,32945,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
4,2026-01-10T13:51:54.390524,2026-01-09T05:05:21.617454,1940270,market_data_KXHIGHNY-26JAN09.csv,32946,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
5,2026-01-10T13:51:54.390524,2026-01-09T05:05:22.129664,1940271,market_data_KXHIGHNY-26JAN09.csv,32947,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
6,2026-01-10T13:51:54.390524,2026-01-09T05:05:22.357085,1940272,market_data_KXHIGHNY-26JAN09.csv,32948,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
7,2026-01-10T13:51:54.390524,2026-01-09T05:05:22.600018,1940273,market_data_KXHIGHNY-26JAN09.csv,32949,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
8,2026-01-10T13:51:54.390524,2026-01-09T05:05:25.821839,1940274,market_data_KXHIGHNY-26JAN09.csv,32950,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
9,2026-01-10T13:51:54.390524,2026-01-09T05:05:25.935478,1940275,market_data_KXHIGHNY-26JAN09.csv,32951,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
10,2026-01-10T13:51:54.390524,2026-01-09T05:05:26.266037,1940276,market_data_KXHIGHNY-26JAN09.csv,32952,KXHIGHNY-26JAN09-B55.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
11,2026-01-10T13:51:54.390524,2026-01-09T05:05:26.601875,1940277,market_data_KXHIGHNY-26JAN09.csv,32953,KXHIGHNY-26JAN09-B49.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
12,2026-01-10T13:51:54.390524,2026-01-09T05:05:26.628189,1940278,market_data_KXHIGHNY-26JAN09.csv,32954,KXHIGHNY-26JAN09-B51.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
13,2026-01-10T13:51:54.390524,2026-01-09T05:05:26.713367,1940279,market_data_KXHIGHNY-26JAN09.csv,32955,KXHIGHNY-26JAN09-B51.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
14,2026-01-10T13:51:54.390524,2026-01-09T05:05:26.814880,1940280,market_data_KXHIGHNY-26JAN09.csv,32956,KXHIGHNY-26JAN09-B49.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
15,2026-01-10T13:51:54.390524,2026-01-09T05:05:26.824011,1940281,market_data_KXHIGHNY-26JAN09.csv,32957,KXHIGHNY-26JAN09-B53.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
16,2026-01-10T13:51:54.390524,2026-01-09T05:05:27.737827,1940282,market_data_KXHIGHNY-26JAN09.csv,32958,KXHIGHNY-26JAN09-B51.5,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
17,2026-01-10T13:51:54.390524,2026-01-09T05:05:27.817538,1940283,market_data_KXHIGHNY-26JAN09.csv,32959,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
18,2026-01-10T13:51:54.390524,2026-01-09T05:05:27.876124,1940284,market_data_KXHIGHNY-26JAN09.csv,32960,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
19,2026-01-10T13:51:54.390524,2026-01-09T05:05:27.942908,1940285,market_data_KXHIGHNY-26JAN09.csv,32961,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
20,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.037637,1940286,market_data_KXHIGHNY-26JAN09.csv,32962,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
21,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.107597,1940287,market_data_KXHIGHNY-26JAN09.csv,32963,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
22,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.173148,1940288,market_data_KXHIGHNY-26JAN09.csv,32964,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
23,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.293531,1940289,market_data_KXHIGHNY-26JAN09.csv,32965,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
24,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.379785,1940290,market_data_KXHIGHNY-26JAN09.csv,32966,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
25,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.452590,1940291,market_data_KXHIGHNY-26JAN09.csv,32967,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
26,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.606617,1940292,market_data_KXHIGHNY-26JAN09.csv,32968,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
27,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.710550,1940293,market_data_KXHIGHNY-26JAN09.csv,32969,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
28,2026-01-10T13:51:54.390524,2026-01-09T05:05:28.809207,1940294,market_data_KXHIGHNY-26JAN09.csv,32970,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
29,2026-01-10T13:51:54.390524,2026-01-09T05:05:29.024815,1940295,market_data_KXHIGHNY-26JAN09.csv,32971,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
30,2026-01-10T13:51:54.390524,2026-01-09T05:05:29.193089,1940296,market_data_KXHIGHNY-26JAN09.csv,32972,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
31,2026-01-10T13:51:54.390524,2026-01-09T05:05:29.364677,1940297,market_data_KXHIGHNY-26JAN09.csv,32973,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
32,2026-01-10T13:51:54.390524,2026-01-09T05:05:29.568294,1940298,market_data_KXHIGHNY-26JAN09.csv,32974,KXHIGHNY-26JAN09-T49,keep,10000.0,0,0,0,0,,,,,,,,,,,,,,,,,
