decision_id,decision_time,tick_time,tick_seq,tick_source,tick_row,ticker,decision_type,cash,pos_yes,pos_no,pending_yes,pending_no,order_index,action,price,qty,source,reason,edge,edge_yes,edge_no,fair_prob,mid,edge_cents,required,fee_cents,margin,edge_after_fee_real,edge_after_fee
1,2026-01-10T17:15:38.862731,2026-01-08T19:30:43.026663,1919402,market_data_KXHIGHNY-26JAN09.csv,12084,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
2,2026-01-10T17:15:38.863730,2026-01-08T19:30:43.068340,1919403,market_data_KXHIGHNY-26JAN09.csv,12085,KXHIGHNY-26JAN09-B53.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
3,2026-01-10T17:15:38.863730,2026-01-08T19:30:46.117352,1919404,market_data_KXHIGHNY-26JAN09.csv,12086,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
4,2026-01-10T17:15:38.863730,2026-01-08T19:30:46.159534,1919405,market_data_KXHIGHNY-26JAN09.csv,12087,KXHIGHNY-26JAN09-B53.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
5,2026-01-10T17:15:38.863730,2026-01-08T19:32:47.003387,1919406,market_data_KXHIGHNY-26JAN09.csv,12088,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
6,2026-01-10T17:15:38.863730,2026-01-08T19:32:47.224991,1919407,market_data_KXHIGHNY-26JAN09.csv,12089,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
7,2026-01-10T17:15:38.863730,2026-01-08T19:33:46.027003,1919408,market_data_KXHIGHNY-26JAN09.csv,12090,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
8,2026-01-10T17:15:38.863730,2026-01-08T19:33:48.447489,1919409,market_data_KXHIGHNY-26JAN09.csv,12091,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
9,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.473278,1919410,market_data_KXHIGHNY-26JAN08.csv,40273,KXHIGHNY-26JAN08-T46,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
10,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.476228,1919411,market_data_KXHIGHNY-26JAN08.csv,40274,KXHIGHNY-26JAN08-T53,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
11,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.476411,1919412,market_data_KXHIGHNY-26JAN09.csv,12092,KXHIGHNY-26JAN09-B55.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
12,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.476575,1919413,market_data_KXHIGHNY-26JAN09.csv,12093,KXHIGHNY-26JAN09-B49.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
13,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.476696,1919414,market_data_KXHIGHNY-26JAN09.csv,12094,KXHIGHNY-26JAN09-T49,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
14,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.476811,1919415,market_data_KXHIGHNY-26JAN09.csv,12095,KXHIGHNY-26JAN09-T56,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
15,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.476943,1919416,market_data_KXHIGHNY-26JAN08.csv,40275,KXHIGHNY-26JAN08-B46.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
16,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.477071,1919417,market_data_KXHIGHNY-26JAN08.csv,40276,KXHIGHNY-26JAN08-B52.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
17,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.477165,1919418,market_data_KXHIGHNY-26JAN08.csv,40277,KXHIGHNY-26JAN08-B50.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
18,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.477685,1919419,market_data_KXHIGHNY-26JAN09.csv,12096,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
19,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.477873,1919420,market_data_KXHIGHNY-26JAN08.csv,40278,KXHIGHNY-26JAN08-B48.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
20,2026-01-10T17:15:38.863730,2026-01-08T19:34:25.477992,1919421,market_data_KXHIGHNY-26JAN09.csv,12097,KXHIGHNY-26JAN09-B53.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
21,2026-01-10T17:15:38.863730,2026-01-08T19:34:48.019804,1919422,market_data_KXHIGHNY-26JAN09.csv,12098,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
22,2026-01-10T17:15:38.863730,2026-01-08T19:34:48.060348,1919423,market_data_KXHIGHNY-26JAN09.csv,12099,KXHIGHNY-26JAN09-B53.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
23,2026-01-10T17:15:38.863730,2026-01-08T19:34:53.555207,1919424,market_data_KXHIGHNY-26JAN09.csv,12100,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
24,2026-01-10T17:15:38.863730,2026-01-08T19:34:53.581059,1919425,market_data_KXHIGHNY-26JAN09.csv,12101,KXHIGHNY-26JAN09-B53.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
25,2026-01-10T17:15:38.863730,2026-01-08T19:35:53.023410,1919426,market_data_KXHIGHNY-26JAN09.csv,12102,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
26,2026-01-10T17:15:38.863730,2026-01-08T19:35:56.673168,1919427,market_data_KXHIGHNY-26JAN09.csv,12103,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
27,2026-01-10T17:15:38.863730,2026-01-08T19:36:56.028386,1919428,market_data_KXHIGHNY-26JAN09.csv,12104,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
28,2026-01-10T17:15:38.863730,2026-01-08T19:36:57.677323,1919429,market_data_KXHIGHNY-26JAN09.csv,12105,KXHIGHNY-26JAN09-B51.5,keep,1000.0,0,0,0,0,,,,,,,,,,,,,,,,,
