time,ticker,side,price,qty,status,filled
2026-01-05 15:41:49.924747,KXHIGHNY-26JAN05-B37.5,no,31.0,2,executed,2
2026-01-05 15:41:50.131134,KXHIGHNY-26JAN05-B37.5,no,30.0,4,executed,4
2026-01-05 15:41:56.198849,KXHIGHNY-26JAN05-B35.5,yes,28.0,9,executed,9
2026-01-05 15:41:57.082524,KXHIGHNY-26JAN05-B35.5,yes,27.0,7,executed,7
2026-01-05 15:41:58.090499,KXHIGHNY-26JAN05-B35.5,yes,26.0,9,executed,9
2026-01-05 15:42:01.648971,KXHIGHNY-26JAN05-B35.5,yes,28.0,5,executed,5
2026-01-05 15:42:03.421592,KXHIGHNY-26JAN05-B35.5,yes,27.0,7,executed,7
2026-01-05 15:42:06.525668,KXHIGHNY-26JAN05-B35.5,yes,27.0,5,executed,5
2026-01-05 15:42:07.425490,KXHIGHNY-26JAN05-B35.5,yes,26.0,3,executed,3
2026-01-05 15:42:11.858887,KXHIGHNY-26JAN05-B35.5,yes,27.0,2,executed,2
2026-01-05 15:42:13.089828,KXHIGHNY-26JAN05-B35.5,yes,26.0,1,executed,1
2026-01-05 15:42:14.115260,KXHIGHNY-26JAN05-B35.5,yes,25.0,2,executed,2
2026-01-05 15:42:25.201477,KXHIGHNY-26JAN05-B35.5,yes,24.0,6,executed,6
2026-01-05 15:42:26.980999,KXHIGHNY-26JAN05-B35.5,yes,23.0,4,executed,4
2026-01-05 15:42:29.279383,KXHIGHNY-26JAN05-B37.5,no,24.0,9,executed,9
2026-01-05 15:46:41.764086,KXHIGHNY-26JAN05-B35.5,yes,24.0,3,executed,3
2026-01-05 15:46:55.860439,KXHIGHNY-26JAN05-B35.5,yes,24.0,2,executed,2
2026-01-05 15:47:10.974329,KXHIGHNY-26JAN05-B37.5,no,25.0,6,executed,6
2026-01-05 15:47:20.775844,KXHIGHNY-26JAN05-B35.5,yes,23.0,5,executed,5
2026-01-05 15:47:21.863701,KXHIGHNY-26JAN05-B37.5,no,25.0,8,executed,8
2026-01-05 15:47:22.868142,KXHIGHNY-26JAN05-B37.5,no,26.0,4,executed,4
2026-01-05 15:47:24.316746,KXHIGHNY-26JAN05-B37.5,no,25.0,3,executed,3
2026-01-05 15:47:25.636426,KXHIGHNY-26JAN05-B35.5,yes,23.0,4,executed,4
2026-01-05 15:47:26.645541,KXHIGHNY-26JAN05-B35.5,yes,22.0,5,executed,5
2026-01-05 15:47:26.684920,KXHIGHNY-26JAN05-B35.5,yes,22.0,2,executed,2
2026-01-05 15:47:28.008613,KXHIGHNY-26JAN05-B35.5,yes,22.0,3,executed,3
2026-01-05 15:47:29.081670,KXHIGHNY-26JAN05-B37.5,no,25.0,4,executed,4
2026-01-05 15:47:30.197345,KXHIGHNY-26JAN05-B37.5,no,25.0,1,executed,1
2026-01-05 15:47:34.423751,KXHIGHNY-26JAN05-B37.5,no,23.0,6,executed,6
2026-01-05 15:47:36.917662,KXHIGHNY-26JAN05-B37.5,no,25.0,1,executed,1
2026-01-05 15:47:38.422937,KXHIGHNY-26JAN05-B37.5,no,24.0,2,executed,2
2026-01-05 15:47:39.476731,KXHIGHNY-26JAN05-B37.5,no,23.0,2,executed,2
2026-01-05 15:47:40.592288,KXHIGHNY-26JAN05-B37.5,no,22.0,1,executed,1
2026-01-05 15:47:41.831194,KXHIGHNY-26JAN05-B35.5,yes,11.0,11,executed,11
2026-01-05 15:47:48.751506,KXHIGHNY-26JAN05-B37.5,no,17.0,6,executed,6
2026-01-05 15:47:48.775027,KXHIGHNY-26JAN05-B37.5,no,17.0,4,executed,4
2026-01-05 15:47:48.801412,KXHIGHNY-26JAN05-B37.5,no,17.0,1,executed,1
2026-01-05 15:47:53.232485,KXHIGHNY-26JAN05-B35.5,yes,15.0,5,executed,5
2026-01-05 15:47:58.365101,KXHIGHNY-26JAN05-B37.5,no,11.0,7,executed,7
2026-01-05 15:52:31.175344,KXHIGHNY-26JAN05-B37.5,no,11.0,14,executed,14
2026-01-05 15:53:10.721052,KXHIGHNY-26JAN05-B37.5,no,19.0,7,executed,7
2026-01-05 15:53:11.067795,KXHIGHNY-26JAN05-B37.5,no,18.0,7,executed,7
2026-01-05 15:53:11.113665,KXHIGHNY-26JAN05-B37.5,no,18.0,1,executed,1
2026-01-05 16:25:52.154613,KXHIGHNY-26JAN05-B39.5,no,86.0,1,executed,1
2026-01-05 16:25:55.262430,KXHIGHNY-26JAN05-B39.5,no,85.0,1,executed,1
2026-01-05 16:25:57.403773,KXHIGHNY-26JAN05-B39.5,no,85.0,1,executed,1
2026-01-05 16:25:57.551498,KXHIGHNY-26JAN05-B39.5,no,87.0,1,executed,1
2026-01-05 16:25:57.595221,KXHIGHNY-26JAN05-B39.5,no,85.0,1,executed,1
2026-01-05 17:34:07.484814,KXHIGHNY-26JAN06-B39.5,yes,18.0,8,executed,8
2026-01-05 17:34:10.391828,KXHIGHNY-26JAN06-B39.5,yes,18.0,6,executed,6
2026-01-05 17:36:55.758788,KXHIGHNY-26JAN06-B39.5,yes,20.0,3,executed,3
2026-01-05 17:53:01.580908,KXHIGHNY-26JAN05-B39.5,no,82.0,1,executed,1
2026-01-05 17:53:02.354569,KXHIGHNY-26JAN05-B39.5,no,84.0,1,executed,1
2026-01-05 17:57:29.824045,KXHIGHNY-26JAN05-B39.5,no,79.0,1,executed,1
2026-01-05 17:57:52.322332,KXHIGHNY-26JAN05-B39.5,no,78.0,1,executed,1
2026-01-05 21:00:06.133258,KXHIGHNY-26JAN06-B41.5,yes,20.0,6,executed,6
2026-01-05 21:00:07.677250,KXHIGHNY-26JAN06-B41.5,yes,20.0,5,executed,5
2026-01-05 21:00:08.706814,KXHIGHNY-26JAN06-B41.5,yes,20.0,5,executed,5
2026-01-05 21:00:08.775512,KXHIGHNY-26JAN06-B41.5,yes,19.0,5,executed,5
2026-01-05 21:00:08.973495,KXHIGHNY-26JAN06-B41.5,yes,19.0,5,executed,5
2026-01-05 21:00:11.324997,KXHIGHNY-26JAN06-B41.5,yes,18.0,5,executed,5
2026-01-05 21:00:38.619282,KXHIGHNY-26JAN06-B41.5,yes,18.0,5,executed,5
2026-01-05 21:00:40.690868,KXHIGHNY-26JAN06-B41.5,yes,18.0,4,executed,4
2026-01-05 21:00:46.689606,KXHIGHNY-26JAN06-B41.5,yes,18.0,4,executed,4
2026-01-05 21:01:01.440953,KXHIGHNY-26JAN06-B41.5,yes,19.0,4,executed,4
2026-01-05 21:01:02.377043,KXHIGHNY-26JAN06-B41.5,yes,18.0,4,executed,4
2026-01-05 21:01:14.598656,KXHIGHNY-26JAN06-B41.5,yes,19.0,3,executed,3
2026-01-05 21:01:19.005864,KXHIGHNY-26JAN06-B41.5,yes,19.0,3,executed,3
2026-01-05 21:01:19.242625,KXHIGHNY-26JAN06-B41.5,yes,19.0,3,executed,3
2026-01-05 21:01:52.461760,KXHIGHNY-26JAN06-B41.5,yes,20.0,1,executed,1
2026-01-05 21:02:38.910520,KXHIGHNY-26JAN06-B45.5,no,87.0,1,executed,1
2026-01-05 21:02:57.721289,KXHIGHNY-26JAN06-B39.5,yes,28.0,2,executed,2
2026-01-05 21:03:30.601482,KXHIGHNY-26JAN06-B39.5,yes,32.0,1,executed,1
2026-01-05 21:03:32.846605,KXHIGHNY-26JAN06-B39.5,yes,28.0,2,executed,2
2026-01-05 21:03:33.230609,KXHIGHNY-26JAN06-B39.5,yes,28.0,1,executed,1
2026-01-05 21:03:39.578647,KXHIGHNY-26JAN06-B39.5,yes,28.0,1,executed,1
2026-01-05 21:05:32.878329,KXHIGHNY-26JAN06-B39.5,yes,31.0,1,executed,1
2026-01-05 21:05:33.102533,KXHIGHNY-26JAN06-B39.5,yes,31.0,1,executed,1
2026-01-05 21:05:36.467318,KXHIGHNY-26JAN06-B39.5,yes,30.0,1,executed,1
2026-01-05 21:08:05.577858,KXHIGHNY-26JAN06-B41.5,yes,26.0,1,executed,1
2026-01-05 21:08:29.799152,KXHIGHNY-26JAN06-B41.5,yes,25.0,1,executed,1
