timestamp,ticker,yes_bid,yes_ask,no_bid,no_ask,last_price,open_interest,volume,liquidity
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV25-T59,5,8,92,95,3,214,227,181972
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV25-T52,1,3,97,99,1,219,219,130310
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV25-B58.5,21,22,78,79,18,602,645,320468
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV25-B56.5,32,33,67,68,33,1653,2103,340730
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV25-B54.5,37,39,61,63,42,4269,4888,564884
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV25-B52.5,7,8,92,93,9,1468,1782,234535
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,43431
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32182
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,65907
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38900,38057
2025-11-24T23:05:38.527224+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2479735
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV25-T59,5,8,92,95,3,214,227,181972
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV25-T52,1,3,97,99,1,219,219,128710
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV25-B58.5,21,22,78,79,18,602,645,301557
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV25-B56.5,32,33,67,68,33,1653,2103,340735
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV25-B54.5,37,39,61,63,42,4269,4888,565432
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV25-B52.5,7,8,92,93,9,1468,1782,233739
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,43431
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32182
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,65907
2025-11-24T23:06:38.674866+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,38900,38057
