event_ticker,event_title,market_ticker,subtitle,status,result,last_price,volume,close_time,category
KXHIGHNY-25AUG04,Highest temperature in NYC today?,KXHIGHNY-25AUG04-T93,94° or above,active,,2,194,2025-08-05T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG04,Highest temperature in NYC today?,KXHIGHNY-25AUG04-B92.5,92° to 93°,active,,4,231,2025-08-05T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG04,Highest temperature in NYC today?,KXHIGHNY-25AUG04-B90.5,90° to 91°,active,,25,1020,2025-08-05T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG04,Highest temperature in NYC today?,KXHIGHNY-25AUG04-B88.5,88° to 89°,active,,56,4590,2025-08-05T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG04,Highest temperature in NYC today?,KXHIGHNY-25AUG04-B86.5,86° to 87°,active,,24,1373,2025-08-05T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG04,Highest temperature in NYC today?,KXHIGHNY-25AUG04-T86,85° or below,active,,3,707,2025-08-05T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG03,"Highest temperature in NYC on Aug 3, 2025?",KXHIGHNY-25AUG03-T89,90° or above,closed,,2,548,2025-08-04T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG03,"Highest temperature in NYC on Aug 3, 2025?",KXHIGHNY-25AUG03-B88.5,88° to 89°,closed,,2,141,2025-08-04T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG03,"Highest temperature in NYC on Aug 3, 2025?",KXHIGHNY-25AUG03-B86.5,86° to 87°,closed,,7,4860,2025-08-04T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG03,"Highest temperature in NYC on Aug 3, 2025?",KXHIGHNY-25AUG03-B84.5,84° to 85°,closed,,99,18487,2025-08-04T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG03,"Highest temperature in NYC on Aug 3, 2025?",KXHIGHNY-25AUG03-B82.5,82° to 83°,closed,,1,47404,2025-08-04T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG03,"Highest temperature in NYC on Aug 3, 2025?",KXHIGHNY-25AUG03-T82,81° or below,closed,,1,9598,2025-08-04T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG02,"Highest temperature in NYC on Aug 2, 2025?",KXHIGHNY-25AUG02-T84,85° or above,finalized,no,2,1933,2025-08-03T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG02,"Highest temperature in NYC on Aug 2, 2025?",KXHIGHNY-25AUG02-B83.5,83° to 84°,finalized,no,1,11095,2025-08-03T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG02,"Highest temperature in NYC on Aug 2, 2025?",KXHIGHNY-25AUG02-B81.5,81° to 82°,finalized,no,1,13684,2025-08-03T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG02,"Highest temperature in NYC on Aug 2, 2025?",KXHIGHNY-25AUG02-B79.5,79° to 80°,finalized,yes,99,27210,2025-08-03T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG02,"Highest temperature in NYC on Aug 2, 2025?",KXHIGHNY-25AUG02-B77.5,77° to 78°,finalized,no,1,7689,2025-08-03T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG02,"Highest temperature in NYC on Aug 2, 2025?",KXHIGHNY-25AUG02-T77,76° or below,finalized,no,1,534,2025-08-03T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG01,"Highest temperature in NYC on Aug 1, 2025?",KXHIGHNY-25AUG01-T76,77° or above,finalized,no,1,8950,2025-08-02T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG01,"Highest temperature in NYC on Aug 1, 2025?",KXHIGHNY-25AUG01-B75.5,75° to 76°,finalized,no,1,25902,2025-08-02T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG01,"Highest temperature in NYC on Aug 1, 2025?",KXHIGHNY-25AUG01-B73.5,73° to 74°,finalized,yes,99,37353,2025-08-02T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG01,"Highest temperature in NYC on Aug 1, 2025?",KXHIGHNY-25AUG01-B71.5,71° to 72°,finalized,no,1,47807,2025-08-02T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG01,"Highest temperature in NYC on Aug 1, 2025?",KXHIGHNY-25AUG01-T69,68° or below,finalized,no,1,5944,2025-08-02T03:59:00Z,Climate and Weather
KXHIGHNY-25AUG01,"Highest temperature in NYC on Aug 1, 2025?",KXHIGHNY-25AUG01-B69.5,69° to 70°,finalized,no,1,19384,2025-08-02T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL31,"Highest temperature in NYC on Jul 31, 2025?",KXHIGHNY-25JUL31-T89,90° or above,finalized,no,1,26694,2025-08-01T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL31,"Highest temperature in NYC on Jul 31, 2025?",KXHIGHNY-25JUL31-T82,81° or below,finalized,no,1,7380,2025-08-01T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL31,"Highest temperature in NYC on Jul 31, 2025?",KXHIGHNY-25JUL31-B88.5,88° to 89°,finalized,yes,99,35280,2025-08-01T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL31,"Highest temperature in NYC on Jul 31, 2025?",KXHIGHNY-25JUL31-B86.5,86° to 87°,finalized,no,1,43662,2025-08-01T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL31,"Highest temperature in NYC on Jul 31, 2025?",KXHIGHNY-25JUL31-B84.5,84° to 85°,finalized,no,1,23815,2025-08-01T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL31,"Highest temperature in NYC on Jul 31, 2025?",KXHIGHNY-25JUL31-B82.5,82° to 83°,finalized,no,1,17763,2025-08-01T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL30,"Highest temperature in NYC on Jul 30, 2025?",KXHIGHNY-25JUL30-T93,92° or below,finalized,no,1,1644,2025-07-31T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL30,"Highest temperature in NYC on Jul 30, 2025?",KXHIGHNY-25JUL30-T100,101° or above,finalized,no,2,211,2025-07-31T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL30,"Highest temperature in NYC on Jul 30, 2025?",KXHIGHNY-25JUL30-B99.5,99° to 100°,finalized,no,6,2802,2025-07-31T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL30,"Highest temperature in NYC on Jul 30, 2025?",KXHIGHNY-25JUL30-B97.5,97° to 98°,finalized,no,1,9955,2025-07-31T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL30,"Highest temperature in NYC on Jul 30, 2025?",KXHIGHNY-25JUL30-B95.5,95° to 96°,finalized,yes,99,23747,2025-07-31T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL30,"Highest temperature in NYC on Jul 30, 2025?",KXHIGHNY-25JUL30-B93.5,93° to 94°,finalized,no,1,11713,2025-07-31T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL29,"Highest temperature in NYC on Jul 29, 2025?",KXHIGHNY-25JUL29-T100,101° or above,finalized,no,1,6794,2025-07-30T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL29,"Highest temperature in NYC on Jul 29, 2025?",KXHIGHNY-25JUL29-B99.5,99° to 100°,finalized,no,1,19738,2025-07-30T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL29,"Highest temperature in NYC on Jul 29, 2025?",KXHIGHNY-25JUL29-B97.5,97° to 98°,finalized,yes,99,32501,2025-07-30T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL29,"Highest temperature in NYC on Jul 29, 2025?",KXHIGHNY-25JUL29-T93,92° or below,finalized,no,10,895,2025-07-30T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL29,"Highest temperature in NYC on Jul 29, 2025?",KXHIGHNY-25JUL29-B95.5,95° to 96°,finalized,no,1,19663,2025-07-30T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL29,"Highest temperature in NYC on Jul 29, 2025?",KXHIGHNY-25JUL29-B93.5,93° to 94°,finalized,no,1,7398,2025-07-30T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL28,"Highest temperature in NYC on Jul 28, 2025?",KXHIGHNY-25JUL28-T97,98° or above,finalized,no,1,3841,2025-07-29T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL28,"Highest temperature in NYC on Jul 28, 2025?",KXHIGHNY-25JUL28-B96.5,96° to 97°,finalized,no,1,17852,2025-07-29T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL28,"Highest temperature in NYC on Jul 28, 2025?",KXHIGHNY-25JUL28-B94.5,94° to 95°,finalized,yes,99,30639,2025-07-29T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL28,"Highest temperature in NYC on Jul 28, 2025?",KXHIGHNY-25JUL28-B92.5,92° to 93°,finalized,no,1,41751,2025-07-29T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL28,"Highest temperature in NYC on Jul 28, 2025?",KXHIGHNY-25JUL28-B90.5,90° to 91°,finalized,no,1,10018,2025-07-29T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL28,"Highest temperature in NYC on Jul 28, 2025?",KXHIGHNY-25JUL28-T90,89° or below,finalized,no,2,427,2025-07-29T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL27,"Highest temperature in NYC on Jul 27, 2025?",KXHIGHNY-25JUL27-T84,85° or above,finalized,no,1,18017,2025-07-28T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL27,"Highest temperature in NYC on Jul 27, 2025?",KXHIGHNY-25JUL27-T77,76° or below,finalized,no,1,568,2025-07-28T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL27,"Highest temperature in NYC on Jul 27, 2025?",KXHIGHNY-25JUL27-B83.5,83° to 84°,finalized,yes,99,29368,2025-07-28T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL27,"Highest temperature in NYC on Jul 27, 2025?",KXHIGHNY-25JUL27-B81.5,81° to 82°,finalized,no,1,24663,2025-07-28T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL27,"Highest temperature in NYC on Jul 27, 2025?",KXHIGHNY-25JUL27-B79.5,79° to 80°,finalized,no,1,17445,2025-07-28T03:59:00Z,Climate and Weather
KXHIGHNY-25JUL27,"Highest temperature in NYC on Jul 27, 2025?",KXHIGHNY-25JUL27-B77.5,77° to 78°,finalized,no,1,6652,2025-07-28T03:59:00Z,Climate and Weather
