timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask,last_trade_price
2026-01-08T19:59:20.992913,KXHIGHNY-26JAN09-B51.5,47,51,53,49,48
2026-01-08T19:59:23.965266,KXHIGHNY-26JAN09-B51.5,48,51,52,49,48
2026-01-08T20:00:22.989923,KXHIGHNY-26JAN09-B51.5,47,51,53,49,48
2026-01-08T20:00:31.524182,KXHIGHNY-26JAN09-B51.5,48,51,52,49,48
2026-01-08T20:00:41.428502,KXHIGHNY-26JAN09-B49.5,7,90,93,10,7
2026-01-08T20:01:30.984583,KXHIGHNY-26JAN09-B51.5,47,51,53,49,48
2026-01-08T20:01:36.433888,KXHIGHNY-26JAN09-B51.5,48,51,52,49,48
2026-01-08T20:01:56.696349,KXHIGHNY-26JAN09-B51.5,47,51,53,49,48
2026-01-08T20:02:00.081023,KXHIGHNY-26JAN09-B53.5,33,66,67,34,33
2026-01-08T20:02:00.189483,KXHIGHNY-26JAN09-B51.5,47,52,53,48,48
2026-01-08T20:02:05.407766,KXHIGHNY-26JAN09-B53.5,33,63,67,37,33
2026-01-08T20:02:05.430399,KXHIGHNY-26JAN09-B53.5,33,64,67,36,33
2026-01-08T20:02:10.968763,KXHIGHNY-26JAN09-B53.5,33,65,67,35,33
2026-01-08T20:02:10.992797,KXHIGHNY-26JAN09-B53.5,33,66,67,34,33
2026-01-08T20:02:58.992546,KXHIGHNY-26JAN09-B51.5,47,51,53,49,48
2026-01-08T20:03:02.413696,KXHIGHNY-26JAN09-B51.5,47,52,53,48,48
2026-01-08T20:03:22.945213,KXHIGHNY-26JAN09-B49.5,7,91,93,9,7
2026-01-08T20:04:01.991601,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:04:06.744284,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:05:05.994980,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:05:07.964864,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:06:06.989121,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:06:12.077643,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:07:10.997424,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:07:18.970041,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:08:17.993326,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:08:25.763002,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:09:24.989835,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:09:29.980715,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:10:28.987957,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:10:31.302036,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:11:30.990115,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:11:40.743105,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:12:32.307518,KXHIGHNY-26JAN09-B53.5,33,63,67,37,33
2026-01-08T20:12:32.451934,KXHIGHNY-26JAN09-B53.5,33,64,67,36,33
2026-01-08T20:12:33.235204,KXHIGHNY-26JAN09-B53.5,33,65,67,35,33
2026-01-08T20:12:39.993531,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:12:42.633077,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:12:42.860863,KXHIGHNY-26JAN09-B53.5,33,66,67,34,33
2026-01-08T20:12:52.298342,KXHIGHNY-26JAN09-B53.5,33,63,67,37,33
2026-01-08T20:12:52.421629,KXHIGHNY-26JAN09-B53.5,33,64,67,36,33
2026-01-08T20:12:53.259319,KXHIGHNY-26JAN09-B53.5,33,65,67,35,33
2026-01-08T20:13:03.986454,KXHIGHNY-26JAN09-B53.5,33,66,67,34,33
2026-01-08T20:13:12.742895,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:13:12.861137,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:13:13.239374,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:13:19.630579,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:13:28.190644,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:13:28.305656,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:13:29.673911,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:13:37.746835,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:13:41.985484,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:13:47.303559,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:13:47.522614,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:13:47.632997,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:13:48.241523,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:13:57.966367,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:14:07.857652,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:14:07.969992,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:14:08.248123,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:14:19.744756,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:14:29.749310,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:14:29.856273,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:14:30.254402,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:14:39.414824,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:14:46.992169,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:14:47.966300,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:14:48.078800,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:14:48.242503,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:14:55.296525,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:14:55.423738,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:15:04.079386,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:15:04.191122,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:15:04.262128,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:15:13.744247,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:15:21.076507,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:15:21.193287,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:15:21.253528,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:15:31.746959,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:15:41.191739,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:15:41.303671,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:15:42.246837,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:15:52.198595,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:15:54.992148,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:15:59.521286,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:15:59.861267,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:15:59.966291,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:16:00.271517,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:16:05.970877,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:16:13.859090,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:16:13.964647,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:16:14.236307,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:16:22.524435,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:16:33.857461,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:16:33.969993,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:16:34.244537,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:16:41.968184,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:16:48.631730,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:16:48.743248,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:16:49.241749,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:16:55.522790,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:16:58.992846,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:17:01.856116,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:17:02.076916,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:17:02.192685,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:17:02.247453,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:17:07.551717,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:17:13.079418,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:17:13.188571,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:17:13.244457,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:17:18.746289,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:17:25.079946,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:17:25.195810,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:17:25.259809,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:17:35.189522,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:17:44.081675,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:17:44.193397,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:17:44.238889,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:17:51.189587,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:17:58.441791,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:17:58.544690,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:17:59.219820,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:18:00.997097,KXHIGHNY-26JAN09-B51.5,47,51,53,49,47
2026-01-08T20:18:06.077951,KXHIGHNY-26JAN09-B51.5,47,52,53,48,47
2026-01-08T20:18:06.301583,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:18:13.303944,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:18:13.415865,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:18:14.251763,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:18:23.191669,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:18:30.859272,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
2026-01-08T20:18:30.968090,KXHIGHNY-26JAN09-B53.5,33,64,67,36,34
2026-01-08T20:18:31.243913,KXHIGHNY-26JAN09-B53.5,33,65,67,35,34
2026-01-08T20:18:39.637493,KXHIGHNY-26JAN09-B53.5,33,66,67,34,34
2026-01-08T20:18:46.413419,KXHIGHNY-26JAN09-B53.5,33,63,67,37,34
