timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask
2026-01-03T07:01:44.485615,KXHIGHNY-26JAN04-B33.5,20,60,80,40
2026-01-03T07:01:44.485781,KXHIGHNY-26JAN04-T38,1,60,99,40
2026-01-03T07:01:44.485880,KXHIGHNY-26JAN04-T31,1,60,99,40
2026-01-03T07:01:44.485971,KXHIGHNY-26JAN04-B31.5,2,60,98,40
2026-01-03T07:01:44.486064,KXHIGHNY-26JAN04-B35.5,10,60,90,40
2026-01-03T07:01:44.488304,KXHIGHNY-26JAN04-B37.5,2,60,98,40
2026-01-03T07:02:20.956150,KXHIGHNY-26JAN04-T31,2,60,98,40
2026-01-03T07:02:32.249456,KXHIGHNY-26JAN04-B31.5,3,60,97,40
2026-01-03T07:02:47.782234,KXHIGHNY-26JAN04-B37.5,3,60,97,40
2026-01-03T07:02:52.794586,KXHIGHNY-26JAN04-T38,2,60,98,40
2026-01-03T07:04:52.625345,KXHIGHNY-26JAN04-B35.5,10,50,90,50
2026-01-03T07:04:52.625546,KXHIGHNY-26JAN04-B35.5,40,50,60,50
2026-01-03T07:04:53.034514,KXHIGHNY-26JAN04-T31,2,61,98,39
2026-01-03T07:04:53.034670,KXHIGHNY-26JAN04-B37.5,3,61,97,39
2026-01-03T07:04:53.034744,KXHIGHNY-26JAN04-T38,2,61,98,39
2026-01-03T07:04:53.034810,KXHIGHNY-26JAN04-B31.5,3,61,97,39
2026-01-03T07:05:18.171775,KXHIGHNY-26JAN04-B37.5,3,60,97,40
2026-01-03T07:05:18.202749,KXHIGHNY-26JAN04-T38,2,60,98,40
2026-01-03T07:05:18.708958,KXHIGHNY-26JAN04-T31,2,60,98,40
2026-01-03T07:05:21.526952,KXHIGHNY-26JAN04-B31.5,3,60,97,40
2026-01-03T07:05:23.661320,KXHIGHNY-26JAN04-B35.5,11,50,89,50
2026-01-03T07:05:24.938079,KXHIGHNY-26JAN04-B35.5,10,50,90,50
2026-01-03T07:05:42.262443,KXHIGHNY-26JAN04-B35.5,29,50,71,50
2026-01-03T07:06:34.447328,KXHIGHNY-26JAN04-B35.5,11,50,89,50
2026-01-03T07:08:23.388695,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:08:29.260263,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:08:29.366485,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:08:39.812141,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:08:39.812265,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:08:53.231482,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:08:53.342164,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:09:18.782003,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:09:18.782175,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:09:32.615730,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:09:32.720673,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:09:45.831749,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:09:45.831916,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:09:58.552892,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:09:58.672215,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:10:23.779035,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:10:23.779497,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:10:38.706515,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:10:38.804905,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:10:49.804844,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:10:49.805023,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:11:01.770706,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:11:01.885822,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:11:13.994227,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:11:13.994382,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:11:26.698466,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:11:26.809692,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:11:31.695925,KXHIGHNY-26JAN04-B35.5,10,50,90,50
2026-01-03T07:11:57.583819,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:11:57.584137,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:12:07.563566,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:12:07.636490,KXHIGHNY-26JAN04-B35.5,13,50,87,50
2026-01-03T07:12:07.674046,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:12:07.752827,KXHIGHNY-26JAN04-B35.5,20,50,80,50
2026-01-03T07:12:07.986431,KXHIGHNY-26JAN04-B35.5,28,50,72,50
2026-01-03T07:12:09.043339,KXHIGHNY-26JAN04-T38,2,61,98,39
2026-01-03T07:12:09.043597,KXHIGHNY-26JAN04-T31,2,61,98,39
2026-01-03T07:12:21.983928,KXHIGHNY-26JAN04-T38,2,66,98,34
2026-01-03T07:12:22.110655,KXHIGHNY-26JAN04-T38,2,74,98,26
2026-01-03T07:12:22.243489,KXHIGHNY-26JAN04-T38,2,81,98,19
2026-01-03T07:12:22.355786,KXHIGHNY-26JAN04-T31,2,64,98,36
2026-01-03T07:12:22.469234,KXHIGHNY-26JAN04-T31,2,69,98,31
2026-01-03T07:12:22.572262,KXHIGHNY-26JAN04-T31,2,76,98,24
2026-01-03T07:12:22.687793,KXHIGHNY-26JAN04-T31,2,84,98,16
2026-01-03T07:12:24.421625,KXHIGHNY-26JAN04-B31.5,3,63,97,37
2026-01-03T07:12:24.522103,KXHIGHNY-26JAN04-B31.5,3,71,97,29
2026-01-03T07:12:24.633258,KXHIGHNY-26JAN04-B31.5,3,78,97,22
2026-01-03T07:12:33.967956,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:12:33.968284,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:12:44.100224,KXHIGHNY-26JAN04-B35.5,29,50,71,50
2026-01-03T07:12:45.038669,KXHIGHNY-26JAN04-B37.5,3,61,97,39
2026-01-03T07:12:48.849915,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:12:48.954129,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:12:58.618214,KXHIGHNY-26JAN04-T38,3,81,97,19
2026-01-03T07:12:58.738245,KXHIGHNY-26JAN04-T38,3,82,97,18
2026-01-03T07:13:01.027774,KXHIGHNY-26JAN04-T38,2,82,98,18
2026-01-03T07:13:01.056119,KXHIGHNY-26JAN04-B37.5,3,62,97,38
2026-01-03T07:13:01.419671,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:13:01.420083,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:13:03.183355,KXHIGHNY-26JAN04-T38,2,81,98,19
2026-01-03T07:13:16.572599,KXHIGHNY-26JAN04-T38,3,81,97,19
2026-01-03T07:13:16.673610,KXHIGHNY-26JAN04-T38,3,82,97,18
2026-01-03T07:13:16.787731,KXHIGHNY-26JAN04-B35.5,29,51,71,49
2026-01-03T07:13:16.892638,KXHIGHNY-26JAN04-B33.5,31,60,69,40
2026-01-03T07:13:17.001526,KXHIGHNY-26JAN04-B33.5,31,61,69,39
2026-01-03T07:13:17.115588,KXHIGHNY-26JAN04-B35.5,30,51,70,49
2026-01-03T07:13:23.332087,KXHIGHNY-26JAN04-B33.5,30,61,70,39
2026-01-03T07:13:23.332420,KXHIGHNY-26JAN04-B33.5,30,60,70,40
2026-01-03T07:13:23.666048,KXHIGHNY-26JAN04-T38,2,82,98,18
2026-01-03T07:13:23.836350,KXHIGHNY-26JAN04-B35.5,29,51,71,49
2026-01-03T07:13:23.870053,KXHIGHNY-26JAN04-B35.5,29,50,71,50
2026-01-03T07:13:24.671257,KXHIGHNY-26JAN04-B37.5,3,60,97,40
