timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask
2025-12-12T07:00:32.566702,KXHIGHNY-25DEC13-T43,1,0,99,100
2025-12-12T07:00:32.567029,KXHIGHNY-25DEC13-B38.5,1,0,99,100
2025-12-12T07:00:32.567100,KXHIGHNY-25DEC13-T36,1,0,99,100
2025-12-12T07:00:32.567227,KXHIGHNY-25DEC13-B42.5,1,0,99,100
2025-12-12T07:00:32.567352,KXHIGHNY-25DEC13-B36.5,1,0,99,100
2025-12-12T07:00:32.567531,KXHIGHNY-25DEC13-B40.5,1,0,99,100
2025-12-12T07:00:34.957495,KXHIGHNY-25DEC13-T43,1,37,99,63
2025-12-12T07:00:35.120216,KXHIGHNY-25DEC13-T36,1,37,99,63
2025-12-12T07:00:35.307892,KXHIGHNY-25DEC13-B42.5,1,37,99,63
2025-12-12T07:00:35.473351,KXHIGHNY-25DEC13-B40.5,1,37,99,63
2025-12-12T07:00:35.690789,KXHIGHNY-25DEC13-B38.5,1,37,99,63
2025-12-12T07:00:35.842205,KXHIGHNY-25DEC13-B36.5,1,37,99,63
2025-12-12T07:02:52.180242,KXHIGHNY-25DEC13-T43,1,38,99,62
2025-12-12T07:02:52.282493,KXHIGHNY-25DEC13-B36.5,1,38,99,62
2025-12-12T07:02:52.393015,KXHIGHNY-25DEC13-T43,2,38,98,62
2025-12-12T07:02:52.507284,KXHIGHNY-25DEC13-T36,2,37,98,63
2025-12-12T07:02:52.615129,KXHIGHNY-25DEC13-B42.5,1,38,99,62
2025-12-12T07:02:52.722067,KXHIGHNY-25DEC13-B40.5,2,37,98,63
2025-12-12T07:02:52.849756,KXHIGHNY-25DEC13-B36.5,2,38,98,62
2025-12-12T07:02:52.962520,KXHIGHNY-25DEC13-T36,2,38,98,62
2025-12-12T07:02:53.070258,KXHIGHNY-25DEC13-B42.5,2,38,98,62
2025-12-12T07:02:53.167533,KXHIGHNY-25DEC13-B38.5,1,38,99,62
2025-12-12T07:02:53.286781,KXHIGHNY-25DEC13-B40.5,2,38,98,62
2025-12-12T07:02:53.393114,KXHIGHNY-25DEC13-B38.5,2,38,98,62
2025-12-12T07:04:37.797604,KXHIGHNY-25DEC13-B40.5,3,38,97,62
2025-12-12T07:04:38.752089,KXHIGHNY-25DEC13-B40.5,4,38,96,62
2025-12-12T07:04:53.202301,KXHIGHNY-25DEC13-B38.5,3,38,97,62
2025-12-12T07:09:44.203604,KXHIGHNY-25DEC13-B38.5,10,38,90,62
2025-12-12T07:09:45.530260,KXHIGHNY-25DEC13-B38.5,11,38,89,62
2025-12-12T07:09:55.777021,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:09:55.777424,KXHIGHNY-25DEC13-B36.5,3,38,97,62
2025-12-12T07:09:55.784649,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T07:09:55.784807,KXHIGHNY-25DEC13-B38.5,26,38,74,62
2025-12-12T07:09:55.784877,KXHIGHNY-25DEC13-B38.5,26,67,74,33
2025-12-12T07:09:55.784948,KXHIGHNY-25DEC13-B40.5,38,38,62,62
2025-12-12T07:09:55.789752,KXHIGHNY-25DEC13-B40.5,38,55,62,45
2025-12-12T07:09:55.789906,KXHIGHNY-25DEC13-B42.5,15,38,85,62
2025-12-12T07:09:55.794970,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T07:09:55.799897,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T07:10:09.535304,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T07:10:10.641054,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:10:10.754394,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:10:10.866816,KXHIGHNY-25DEC13-B40.5,39,55,61,45
2025-12-12T07:10:10.975294,KXHIGHNY-25DEC13-B36.5,3,91,97,9
2025-12-12T07:10:11.094815,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T07:10:11.202041,KXHIGHNY-25DEC13-B38.5,27,67,73,33
2025-12-12T07:10:11.312600,KXHIGHNY-25DEC13-B38.5,27,68,73,32
2025-12-12T07:10:11.420410,KXHIGHNY-25DEC13-B36.5,4,91,96,9
2025-12-12T07:10:11.535816,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:10:11.643412,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T07:10:11.753702,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T07:12:36.510808,KXHIGHNY-25DEC13-B40.5,38,56,62,44
2025-12-12T07:12:36.528060,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T07:12:37.144750,KXHIGHNY-25DEC13-B40.5,38,56,62,44
2025-12-12T07:12:43.696759,KXHIGHNY-25DEC13-T43,2,93,98,7
2025-12-12T07:12:43.812978,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T07:12:50.092823,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:12:52.031061,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T07:12:53.172165,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:17:19.289641,KXHIGHNY-25DEC13-B40.5,38,60,62,40
2025-12-12T07:20:10.018203,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T07:20:10.020048,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T07:20:10.020245,KXHIGHNY-25DEC13-B38.5,26,68,74,32
2025-12-12T07:20:10.020841,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T07:20:10.020928,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T07:20:10.020992,KXHIGHNY-25DEC13-B38.5,26,67,74,33
2025-12-12T07:20:10.021081,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T07:20:10.021143,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T07:20:14.974985,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:20:15.091010,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:20:15.202380,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T07:20:15.308796,KXHIGHNY-25DEC13-B38.5,26,68,74,32
2025-12-12T07:20:15.419029,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T07:20:15.533660,KXHIGHNY-25DEC13-B36.5,4,91,96,9
2025-12-12T07:20:15.644982,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T07:20:15.756872,KXHIGHNY-25DEC13-B38.5,27,68,73,32
2025-12-12T07:22:50.017979,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T07:22:51.196490,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:22:53.026389,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T07:22:54.418230,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:23:43.854781,KXHIGHNY-25DEC13-B40.5,39,60,61,40
2025-12-12T07:24:34.526359,KXHIGHNY-25DEC13-B40.5,39,55,61,45
2025-12-12T07:24:37.196883,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T07:24:57.323029,KXHIGHNY-25DEC13-B40.5,40,56,60,44
2025-12-12T07:25:14.195421,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:27:53.904157,KXHIGHNY-25DEC13-B40.5,41,56,59,44
2025-12-12T07:30:14.021998,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T07:30:14.022219,KXHIGHNY-25DEC13-B36.5,3,91,97,9
2025-12-12T07:30:14.022310,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T07:30:14.022398,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T07:30:14.022482,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:30:14.022778,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T07:30:14.022878,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T07:30:15.730264,KXHIGHNY-25DEC13-B36.5,3,91,97,9
2025-12-12T07:30:15.842232,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:30:15.952912,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:30:16.058970,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T07:30:16.170081,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:30:16.282056,KXHIGHNY-25DEC13-B36.5,4,91,96,9
2025-12-12T07:30:16.395504,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T07:30:52.951737,KXHIGHNY-25DEC13-B40.5,42,56,58,44
2025-12-12T07:32:51.022351,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T07:32:52.260743,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:32:54.022916,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T07:32:56.375843,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:34:28.818511,KXHIGHNY-25DEC13-B40.5,43,56,57,44
2025-12-12T07:34:37.020153,KXHIGHNY-25DEC13-B40.5,43,55,57,45
2025-12-12T07:34:38.298795,KXHIGHNY-25DEC13-B40.5,43,56,57,44
2025-12-12T07:35:14.025605,KXHIGHNY-25DEC13-B38.5,27,68,73,32
2025-12-12T07:35:15.414585,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:37:33.520052,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T07:37:33.631205,KXHIGHNY-25DEC13-B36.5,4,91,96,9
2025-12-12T07:38:04.539965,KXHIGHNY-25DEC13-B36.5,5,91,95,9
2025-12-12T07:38:05.073248,KXHIGHNY-25DEC13-B36.5,5,90,95,10
2025-12-12T07:38:05.300036,KXHIGHNY-25DEC13-B36.5,6,90,94,10
2025-12-12T07:38:05.409927,KXHIGHNY-25DEC13-B36.5,6,91,94,9
2025-12-12T07:38:55.962995,KXHIGHNY-25DEC13-B36.5,6,90,94,10
2025-12-12T07:38:56.077789,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T07:38:56.194946,KXHIGHNY-25DEC13-B36.5,3,91,97,9
2025-12-12T07:38:56.293658,KXHIGHNY-25DEC13-B36.5,4,91,96,9
2025-12-12T07:39:23.524179,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T07:39:23.631823,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T07:39:23.852043,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:39:23.962547,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:39:24.076462,KXHIGHNY-25DEC13-B38.5,29,68,71,32
2025-12-12T07:40:15.019516,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:40:15.019714,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T07:40:15.019842,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T07:40:16.047465,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T07:40:16.049520,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T07:40:16.056604,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:42:52.027525,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T07:42:53.086917,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:42:56.028253,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T07:42:57.051798,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:44:28.022306,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T07:44:38.021551,KXHIGHNY-25DEC13-B40.5,39,55,61,45
2025-12-12T07:44:39.320326,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T07:47:22.770125,KXHIGHNY-25DEC13-B40.5,40,56,60,44
2025-12-12T07:48:27.632033,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T07:48:27.889780,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T07:48:28.000567,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T07:48:28.113244,KXHIGHNY-25DEC13-B40.5,40,55,60,45
2025-12-12T07:48:28.223185,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:48:28.338506,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T07:48:28.552740,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:48:28.778318,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T07:48:28.886481,KXHIGHNY-25DEC13-B40.5,40,56,60,44
2025-12-12T07:48:29.001531,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T07:48:56.021880,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T07:48:58.110402,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T07:49:23.020353,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T07:49:24.253602,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:50:16.021090,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T07:50:17.254788,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T07:50:49.816657,KXHIGHNY-25DEC13-B40.5,41,56,59,44
2025-12-12T07:52:53.021288,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T07:52:54.805499,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:52:57.023116,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T07:53:01.480021,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T07:54:04.999716,KXHIGHNY-25DEC13-B40.5,42,56,58,44
2025-12-12T07:58:28.017898,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T07:58:28.018968,KXHIGHNY-25DEC13-B40.5,42,55,58,45
2025-12-12T07:58:28.019323,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T07:58:28.019607,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T07:58:29.254028,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T07:58:29.365717,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T07:58:29.475247,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T07:58:29.586378,KXHIGHNY-25DEC13-B40.5,42,56,58,44
2025-12-12T07:58:57.022178,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T07:58:58.266375,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T07:59:24.021129,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T07:59:25.367158,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T08:00:17.020747,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T08:00:18.259198,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T08:02:54.021900,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T08:02:58.041849,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:03:01.024293,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:03:03.147319,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:03:47.256167,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T08:03:47.256313,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T08:03:47.256396,KXHIGHNY-25DEC13-B42.5,15,78,85,22
2025-12-12T08:03:47.256473,KXHIGHNY-25DEC13-B40.5,42,55,58,45
2025-12-12T08:03:47.256775,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T08:03:47.256859,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T08:03:47.256918,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T08:03:47.256979,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T08:03:47.257035,KXHIGHNY-25DEC13-T43,1,94,99,6
2025-12-12T08:04:04.024996,KXHIGHNY-25DEC13-B40.5,39,55,61,45
2025-12-12T08:04:08.101038,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:04:08.210344,KXHIGHNY-25DEC13-T36,2,96,98,4
2025-12-12T08:04:08.328906,KXHIGHNY-25DEC13-T36,2,97,98,3
2025-12-12T08:04:08.544556,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T08:04:08.654237,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T08:04:08.767937,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T08:04:08.880158,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:04:08.990191,KXHIGHNY-25DEC13-B42.5,16,78,84,22
2025-12-12T08:04:09.099722,KXHIGHNY-25DEC13-B42.5,16,79,84,21
2025-12-12T08:04:59.885361,KXHIGHNY-25DEC13-B40.5,39,55,61,45
2025-12-12T08:04:59.990674,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T08:05:02.681940,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T08:05:02.769098,KXHIGHNY-25DEC13-B42.5,15,79,85,21
2025-12-12T08:05:02.877607,KXHIGHNY-25DEC13-B40.5,39,55,61,45
2025-12-12T08:05:03.100703,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T08:05:03.211508,KXHIGHNY-25DEC13-B40.5,40,55,60,45
2025-12-12T08:05:03.325295,KXHIGHNY-25DEC13-B40.5,40,56,60,44
2025-12-12T08:05:03.435779,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T08:06:44.440879,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T08:06:44.656247,KXHIGHNY-25DEC13-B40.5,39,56,61,44
2025-12-12T08:06:45.105459,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T08:09:37.380517,KXHIGHNY-25DEC13-B42.5,15,80,85,20
2025-12-12T08:09:39.105971,KXHIGHNY-25DEC13-B42.5,15,81,85,19
2025-12-12T08:10:06.362352,KXHIGHNY-25DEC13-B38.5,29,68,71,32
2025-12-12T08:10:08.371333,KXHIGHNY-25DEC13-B40.5,40,56,60,44
2025-12-12T08:11:47.258560,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:11:48.328135,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:11:52.882167,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:11:53.220155,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:12:49.541528,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:12:49.985056,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:14:07.021243,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T08:14:07.022651,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T08:14:07.022982,KXHIGHNY-25DEC13-T43,1,94,99,6
2025-12-12T08:14:07.023162,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T08:14:08.206613,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T08:14:08.321705,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T08:14:08.437038,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:14:08.543857,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T08:15:03.020998,KXHIGHNY-25DEC13-B40.5,40,55,60,45
2025-12-12T08:15:04.244602,KXHIGHNY-25DEC13-B40.5,40,56,60,44
2025-12-12T08:15:10.615951,KXHIGHNY-25DEC13-B38.5,30,68,70,32
2025-12-12T08:15:12.113220,KXHIGHNY-25DEC13-B40.5,41,56,59,44
2025-12-12T08:15:29.302423,KXHIGHNY-25DEC13-B38.5,30,67,70,33
2025-12-12T08:15:29.334823,KXHIGHNY-25DEC13-B38.5,30,68,70,32
2025-12-12T08:15:40.607969,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:15:40.641576,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:16:17.884299,KXHIGHNY-25DEC13-B38.5,30,67,70,33
2025-12-12T08:16:18.106307,KXHIGHNY-25DEC13-B38.5,30,68,70,32
2025-12-12T08:16:25.692456,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:16:26.113008,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:17:23.348929,KXHIGHNY-25DEC13-B38.5,31,68,69,32
2025-12-12T08:17:24.946766,KXHIGHNY-25DEC13-B40.5,42,56,58,44
2025-12-12T08:19:05.404650,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:19:05.733806,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:19:41.288866,KXHIGHNY-25DEC13-B38.5,31,67,69,33
2025-12-12T08:19:41.737871,KXHIGHNY-25DEC13-B38.5,31,68,69,32
2025-12-12T08:19:42.959611,KXHIGHNY-25DEC13-B38.5,31,67,69,33
2025-12-12T08:19:43.177134,KXHIGHNY-25DEC13-B38.5,31,68,69,32
2025-12-12T08:19:45.849450,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:19:46.291123,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:19:53.066794,KXHIGHNY-25DEC13-B40.5,43,56,57,44
2025-12-12T08:22:18.404910,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:22:18.510847,KXHIGHNY-25DEC13-B42.5,15,82,85,18
2025-12-12T08:22:18.618617,KXHIGHNY-25DEC13-B40.5,43,55,57,45
2025-12-12T08:22:19.075695,KXHIGHNY-25DEC13-B42.5,15,83,85,17
2025-12-12T08:22:19.181991,KXHIGHNY-25DEC13-B40.5,43,56,57,44
2025-12-12T08:22:19.403864,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:22:24.399488,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:22:24.735709,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:23:05.696504,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:23:05.745843,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:24:08.023530,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T08:24:08.023799,KXHIGHNY-25DEC13-T43,2,94,98,6
2025-12-12T08:24:08.024102,KXHIGHNY-25DEC13-B36.5,3,90,97,10
2025-12-12T08:24:09.060523,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:24:09.060710,KXHIGHNY-25DEC13-T36,1,97,99,3
2025-12-12T08:24:09.060781,KXHIGHNY-25DEC13-B36.5,4,90,96,10
2025-12-12T08:25:43.271838,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:25:43.606503,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:26:27.928804,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:26:28.033114,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:27:24.203039,KXHIGHNY-25DEC13-T43,1,95,99,5
2025-12-12T08:27:24.216946,KXHIGHNY-25DEC13-T43,2,95,98,5
2025-12-12T08:29:42.021516,KXHIGHNY-25DEC13-B38.5,31,67,69,33
2025-12-12T08:29:43.860345,KXHIGHNY-25DEC13-B38.5,31,68,69,32
2025-12-12T08:29:51.023649,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T08:30:45.769581,KXHIGHNY-25DEC13-B38.5,28,67,72,33
2025-12-12T08:30:45.769744,KXHIGHNY-25DEC13-B38.5,28,61,72,39
2025-12-12T08:30:45.770125,KXHIGHNY-25DEC13-B42.5,14,83,86,17
2025-12-12T08:30:45.796449,KXHIGHNY-25DEC13-B38.5,28,68,72,32
2025-12-12T08:30:45.923045,KXHIGHNY-25DEC13-T43,2,91,98,9
2025-12-12T08:30:45.998210,KXHIGHNY-25DEC13-T36,1,96,99,4
2025-12-12T08:30:46.073182,KXHIGHNY-25DEC13-T36,1,84,99,16
2025-12-12T08:30:46.109260,KXHIGHNY-25DEC13-B40.5,43,55,57,45
2025-12-12T08:30:46.219828,KXHIGHNY-25DEC13-B36.5,4,89,96,11
2025-12-12T08:30:46.335877,KXHIGHNY-25DEC13-B38.5,28,61,72,39
2025-12-12T08:30:46.549901,KXHIGHNY-25DEC13-B42.5,1,83,99,17
2025-12-12T08:30:46.663120,KXHIGHNY-25DEC13-B42.5,1,82,99,18
