timestamp,strategy,ticker,action,price,qty,cost,fee,exec_time,latency_ms
2025-12-31 23:50:08.650476,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,16,11,1.87,0.11,2025-12-31 23:50:09.376623,0.00
2025-12-31 23:50:10.726041,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,14,2.23,0.13,2025-12-31 23:50:12.284627,0.00
2025-12-31 23:50:18.058522,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,11,1.75,0.1,2025-12-31 23:50:18.908455,0.00
2025-12-31 23:50:20.723693,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,8,1.28,0.08,2025-12-31 23:50:21.442314,0.00
2025-12-31 23:50:26.729662,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,6,0.96,0.06,2025-12-31 23:50:27.188397,0.00
2025-12-31 23:50:30.728491,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,4,0.64,0.04,2025-12-31 23:50:31.894340,0.00
2025-12-31 23:51:13.792675,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,2,0.32,0.02,2025-12-31 23:51:14.405294,0.00
2025-12-31 23:51:19.090533,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,15,1,0.16,0.01,2025-12-31 23:51:20.129077,0.00
2025-12-31 23:51:49.130134,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,12,9,1.1500000000000001,0.07,2025-12-31 23:51:49.945166,0.00
2025-12-31 23:52:27.247200,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,12,6,0.77,0.05,2025-12-31 23:52:28.228087,0.00
2025-12-31 23:53:02.020175,Live RegimeSwitcher,KXHIGHNY-26JAN01-B32.5,BUY_YES,12,4,0.51,0.03,2025-12-31 23:53:02.936617,0.00
2025-12-31 23:53:25.196074,Live RegimeSwitcher,KXHIGHNY-26JAN01-B34.5,BUY_NO,21,9,2.0,0.11,2025-12-31 23:53:25.883846,0.00
2025-12-31 23:55:57.357183,Live RegimeSwitcher,KXHIGHNY-26JAN01-B34.5,BUY_NO,18,4,0.77,0.05,2025-12-31 23:55:58.162148,0.00
2026-01-01 16:10:47.758300,Live RegimeSwitcher,KXHIGHNY-26JAN02-B28.5,BUY_NO,82,1,0.84,0.02,2026-01-01 16:10:48.570448,0.00
2026-01-01 16:11:16.996297,Live RegimeSwitcher,KXHIGHNY-26JAN02-B28.5,BUY_NO,82,1,0.84,0.02,2026-01-01 16:11:17.569894,0.00
2026-01-01 16:19:21.497412,Live RegimeSwitcher,KXHIGHNY-26JAN02-B28.5,BUY_NO,82,1,0.84,0.02,2026-01-01 16:19:22.204375,0.00
2026-01-01 16:19:45.805413,Live RegimeSwitcher,KXHIGHNY-26JAN02-B28.5,BUY_NO,82,1,0.84,0.02,2026-01-01 16:19:46.697781,0.00
2026-01-01 16:22:21.395937,Live RegimeSwitcher,KXHIGHNY-26JAN02-B28.5,BUY_NO,82,1,0.84,0.02,2026-01-01 16:22:22.541051,0.00
2026-01-01 16:25:09.130690,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,3,1.7999999999999998,0.06,2026-01-01 16:25:09.482845,0.00
2026-01-01 16:25:15.010882,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,2,1.2,0.04,2026-01-01 16:25:16.249806,0.00
2026-01-01 16:25:29.581387,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,2,1.2,0.04,2026-01-01 16:25:30.500660,0.00
2026-01-01 16:25:50.622056,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,59,2,1.22,0.04,2026-01-01 16:25:51.496398,0.00
2026-01-01 16:25:59.237346,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,1,0.6,0.02,2026-01-01 16:26:00.202801,0.00
2026-01-01 16:26:02.574618,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,1,0.6,0.02,2026-01-01 16:26:03.642094,0.00
2026-01-01 16:26:05.830425,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,1,0.6,0.02,2026-01-01 16:26:07.144681,0.00
2026-01-01 16:26:22.729905,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,58,1,0.6,0.02,2026-01-01 16:26:24.058407,0.00
2026-01-01 16:26:30.386233,Live RegimeSwitcher,KXHIGHNY-26JAN02-B32.5,BUY_NO,57,1,0.59,0.02,2026-01-01 16:26:31.802906,0.00
