time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2026-01-09 05:10:18.478499,BUY_YES,KXHIGHNY-26JAN09-B53.5,37.0,3,0.05,1.16,SIM,SIM_1,2026-01-09 05:10:18.478499,2026-01-09 05:10:18.478499,0.0,
2026-01-09 05:49:44.377028,BUY_YES,KXHIGHNY-26JAN09-B55.5,21.0,10,0.12,2.22,SIM,SIM_2,2026-01-09 05:49:44.377028,2026-01-09 05:49:44.377028,0.0,
2026-01-09 05:55:58.168830,BUY_NO,KXHIGHNY-26JAN09-B49.5,85.0,18,0.17,15.469999999999999,SIM,SIM_3,2026-01-09 05:55:58.168830,2026-01-09 05:55:58.168830,0.0,
2026-01-09 05:55:59.301673,BUY_NO,KXHIGHNY-26JAN09-B49.5,85.0,10,0.09,8.59,SIM,SIM_4,2026-01-09 05:55:59.301673,2026-01-09 05:55:59.301673,0.0,
2026-01-09 05:55:59.302989,BUY_YES,KXHIGHNY-26JAN09-B55.5,19.0,11,0.12,2.21,SIM,SIM_5,2026-01-09 05:55:59.302989,2026-01-09 05:55:59.302989,0.0,
2026-01-09 05:56:00.442494,BUY_NO,KXHIGHNY-26JAN09-B49.5,86.0,3,0.03,2.61,SIM,SIM_6,2026-01-09 05:56:00.442494,2026-01-09 05:56:00.442494,0.0,
2026-01-09 05:56:04.122275,BUY_NO,KXHIGHNY-26JAN09-B49.5,86.0,1,0.01,0.87,SIM,SIM_7,2026-01-09 05:56:04.122275,2026-01-09 05:56:04.122275,0.0,
2026-01-09 06:00:59.428692,BUY_NO,KXHIGHNY-26JAN09-B51.5,56.0,15,0.26,8.66,SIM,SIM_8,2026-01-09 06:00:59.428692,2026-01-09 06:00:59.428692,0.0,
2026-01-09 06:27:36.016645,BUY_NO,KXHIGHNY-26JAN09-B49.5,86.0,18,0.16,15.64,SIM,SIM_9,2026-01-09 06:27:36.016645,2026-01-09 06:27:36.016645,0.0,
2026-01-09 06:39:50.399671,BUY_NO,KXHIGHNY-26JAN09-B51.5,58.0,3,0.06,1.7999999999999998,SIM,SIM_10,2026-01-09 06:39:50.399671,2026-01-09 06:39:50.399671,0.0,
2026-01-09 06:40:11.402780,BUY_NO,KXHIGHNY-26JAN09-B51.5,57.0,2,0.04,1.18,SIM,SIM_11,2026-01-09 06:40:11.402780,2026-01-09 06:40:11.402780,0.0,
2026-01-09 06:45:33.285755,BUY_YES,KXHIGHNY-26JAN09-B53.5,25.0,35,0.46,9.21,SIM,SIM_12,2026-01-09 06:45:33.285755,2026-01-09 06:45:33.285755,0.0,
2026-01-09 06:46:19.065775,BUY_YES,KXHIGHNY-26JAN09-B53.5,25.0,12,0.16,3.16,SIM,SIM_13,2026-01-09 06:46:19.065775,2026-01-09 06:46:19.065775,0.0,
2026-01-09 06:52:56.000370,BUY_YES,KXHIGHNY-26JAN09-B55.5,18.0,22,0.23,4.19,SIM,SIM_14,2026-01-09 06:52:56.000370,2026-01-09 06:52:56.000370,0.0,
2026-01-09 06:56:35.878738,BUY_YES,KXHIGHNY-26JAN09-B55.5,15.0,7,0.07,1.12,SIM,SIM_15,2026-01-09 06:56:35.878738,2026-01-09 06:56:35.878738,0.0,
2026-01-09 07:12:13.507578,BUY_NO,KXHIGHNY-26JAN10-T52,78.0,9,0.11,7.130000000000001,SIM,SIM_16,2026-01-09 07:12:13.507578,2026-01-09 07:12:13.507578,0.0,
