date,equity,cash,holdings
2025-12-04,68.12,2.12,66.0
2025-12-05,68.12,2.12,66.0
2025-12-06,68.12,2.12,66.0
2025-12-07,68.12,2.12,66.0
2025-12-08,68.12,2.12,66.0
2025-12-09,68.12,2.12,66.0
2025-12-10,68.12,2.12,66.0
2025-12-11,68.12,2.12,66.0
2025-12-12,68.12,2.12,66.0
2025-12-13,68.12,2.12,66.0
2025-12-14,68.12,2.12,66.0
2025-12-15,68.12,2.12,66.0
2025-12-16,68.12,2.12,66.0
2025-12-17,68.12,2.12,66.0
2025-12-18,68.12,2.12,66.0
2025-12-19,68.12,2.12,66.0
2025-12-20,68.12,2.12,66.0
2025-12-21,68.12,2.12,66.0
2025-12-22,68.12,2.12,66.0
2025-12-23,68.12,2.12,66.0
2025-12-24,68.12,2.12,66.0
2025-12-25,68.12,2.12,66.0
2025-12-26,68.12,2.12,66.0
2025-12-27,68.12,2.12,66.0
2025-12-28,68.12,2.12,66.0
2025-12-29,68.12,2.12,66.0
2025-12-30,68.12,2.12,66.0
2025-12-31,68.12,2.12,66.0
2026-01-01,68.12,2.12,66.0
2026-01-02,68.12,2.12,66.0
2026-01-03,68.12,2.12,66.0
2026-01-04,68.12,2.12,66.0
2026-01-05,68.12,2.12,66.0
2026-01-06,68.12,2.12,66.0
2026-01-07,68.12,2.12,66.0
2026-01-08,48.464999999999996,2.12,46.345
2026-01-09,159.09,7.590000000000019,151.49999999999997
2026-01-10,140.24,39.040000000000006,101.2
2026-01-11,64.12999999999998,53.77999999999998,10.35
