time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2026-01-09 05:05:26.601875,BUY_YES,KXHIGHNY-26JAN09-B49.5,8.0,7,0.04,0.6000000000000001,SIM,SIM_1,2026-01-09 05:05:26.601875,2026-01-09 05:05:26.601875,0.0,
2026-01-09 05:07:20.661189,BUY_NO,KXHIGHNY-26JAN09-B51.5,59.0,1,0.02,0.61,SIM,SIM_2,2026-01-09 05:07:20.661189,2026-01-09 05:07:20.661189,0.0,
2026-01-09 05:07:22.181771,BUY_YES,KXHIGHNY-26JAN09-B49.5,9.0,4,0.03,0.39,SIM,SIM_3,2026-01-09 05:07:22.181771,2026-01-09 05:07:22.181771,0.0,
2026-01-09 05:07:28.293335,BUY_YES,KXHIGHNY-26JAN09-B49.5,9.0,2,0.02,0.19999999999999998,SIM,SIM_4,2026-01-09 05:07:28.293335,2026-01-09 05:07:28.293335,0.0,
2026-01-09 05:07:41.495167,BUY_NO,KXHIGHNY-26JAN09-B51.5,59.0,1,0.02,0.61,SIM,SIM_5,2026-01-09 05:07:41.495167,2026-01-09 05:07:41.495167,0.0,
2026-01-09 05:07:49.377563,BUY_NO,KXHIGHNY-26JAN09-B51.5,58.0,2,0.04,1.2,SIM,SIM_6,2026-01-09 05:07:49.377563,2026-01-09 05:07:49.377563,0.0,
2026-01-09 05:09:01.044951,BUY_NO,KXHIGHNY-26JAN09-B51.5,59.0,1,0.02,0.61,SIM,SIM_7,2026-01-09 05:09:01.044951,2026-01-09 05:09:01.044951,0.0,
2026-01-09 05:09:22.460373,BUY_NO,KXHIGHNY-26JAN09-B51.5,56.0,2,0.04,1.1600000000000001,SIM,SIM_8,2026-01-09 05:09:22.460373,2026-01-09 05:09:22.460373,0.0,
2026-01-09 05:09:26.388217,BUY_NO,KXHIGHNY-26JAN09-B51.5,56.0,1,0.02,0.5800000000000001,SIM,SIM_9,2026-01-09 05:09:26.388217,2026-01-09 05:09:26.388217,0.0,
2026-01-09 05:09:38.489022,BUY_NO,KXHIGHNY-26JAN09-B51.5,57.0,1,0.02,0.59,SIM,SIM_10,2026-01-09 05:09:38.489022,2026-01-09 05:09:38.489022,0.0,
