time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 08:01:35.697447,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_1,2025-12-05 08:01:35.697447,2025-12-05 08:01:35.697447,0.0,
2025-12-05 08:01:45.701264,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_2,2025-12-05 08:01:45.701264,2025-12-05 08:01:45.701264,0.0,
2025-12-05 08:01:55.712171,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_3,2025-12-05 08:01:55.712171,2025-12-05 08:01:55.712171,0.0,
2025-12-05 08:07:28.300657,BUY_NO,KXHIGHNY-25DEC05-B32.5,33.0,1,0.02,0.35000000000000003,SIM,SIM_4,2025-12-05 08:07:28.300657,2025-12-05 08:07:28.300657,0.0,
2025-12-05 08:22:09.255641,BUY_NO,KXHIGHNY-25DEC05-B32.5,32.0,1,0.02,0.34,SIM,SIM_5,2025-12-05 08:22:09.255641,2025-12-05 08:22:09.255641,0.0,
2025-12-05 08:23:26.561179,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,12,0.11,1.91,SIM,SIM_6,2025-12-05 08:23:26.561179,2025-12-05 08:23:26.561179,0.0,
2025-12-05 08:35:29.874132,BUY_YES,KXHIGHNY-25DEC06-B45.5,3.0,100,0.21,3.21,SIM,SIM_7,2025-12-05 08:35:29.874132,2025-12-05 08:35:29.874132,0.0,
2025-12-05 09:15:25.918449,BUY_NO,KXHIGHNY-25DEC05-B32.5,29.0,1,0.02,0.31,SIM,SIM_8,2025-12-05 09:15:25.918449,2025-12-05 09:15:25.918449,0.0,
2025-12-05 09:31:57.116512,BUY_YES,KXHIGHNY-25DEC06-T46,3.0,91,0.19,2.92,SIM,SIM_9,2025-12-05 09:31:57.116512,2025-12-05 09:31:57.116512,0.0,
2025-12-05 09:45:27.724241,BUY_YES,KXHIGHNY-25DEC06-B39.5,31.0,5,0.08,1.6300000000000001,SIM,SIM_10,2025-12-05 09:45:27.724241,2025-12-05 09:45:27.724241,0.0,
2025-12-05 09:45:34.673305,BUY_YES,KXHIGHNY-25DEC06-B39.5,30.0,4,0.06,1.26,SIM,SIM_11,2025-12-05 09:45:34.673305,2025-12-05 09:45:34.673305,0.0,
2025-12-05 09:45:43.193302,BUY_YES,KXHIGHNY-25DEC06-B39.5,30.0,3,0.05,0.95,SIM,SIM_12,2025-12-05 09:45:43.193302,2025-12-05 09:45:43.193302,0.0,
2025-12-05 09:45:47.857799,BUY_YES,KXHIGHNY-25DEC06-B39.5,29.0,2,0.03,0.61,SIM,SIM_13,2025-12-05 09:45:47.857799,2025-12-05 09:45:47.857799,0.0,
2025-12-05 09:45:52.135856,BUY_YES,KXHIGHNY-25DEC06-B39.5,29.0,1,0.02,0.31,SIM,SIM_14,2025-12-05 09:45:52.135856,2025-12-05 09:45:52.135856,0.0,
2025-12-05 09:46:02.457605,BUY_YES,KXHIGHNY-25DEC06-B39.5,28.0,2,0.03,0.5900000000000001,SIM,SIM_15,2025-12-05 09:46:02.457605,2025-12-05 09:46:02.457605,0.0,
2025-12-05 09:46:12.296495,BUY_YES,KXHIGHNY-25DEC06-B39.5,28.0,1,0.02,0.30000000000000004,SIM,SIM_16,2025-12-05 09:46:12.296495,2025-12-05 09:46:12.296495,0.0,
2025-12-05 11:18:49.036288,BUY_NO,KXHIGHNY-25DEC06-T39,92.0,1,0.01,0.93,SIM,SIM_17,2025-12-05 11:18:49.036288,2025-12-05 11:18:49.036288,0.0,
2025-12-05 11:25:10.403177,BUY_NO,KXHIGHNY-25DEC06-T39,92.0,1,0.01,0.93,SIM,SIM_18,2025-12-05 11:25:10.403177,2025-12-05 11:25:10.403177,0.0,
