time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 21:30:59.759775,BUY_YES,KXHIGHNY-25DEC06-B43.5,14.0,9,0.08,1.3400000000000003,SIM,SIM_1,2025-12-05 21:30:59.759775,2025-12-05 21:30:59.759775,0.0,
2025-12-05 21:31:01.036671,BUY_YES,KXHIGHNY-25DEC06-B43.5,13.0,49,0.39,6.76,SIM,SIM_2,2025-12-05 21:31:01.036671,2025-12-05 21:31:01.036671,0.0,
2025-12-05 21:48:01.937776,BUY_YES,KXHIGHNY-25DEC06-B43.5,13.0,14,0.12,1.94,SIM,SIM_3,2025-12-05 21:48:01.937776,2025-12-05 21:48:01.937776,0.0,
2025-12-05 21:49:53.741478,BUY_YES,KXHIGHNY-25DEC06-B43.5,11.0,28,0.2,3.2800000000000002,SIM,SIM_4,2025-12-05 21:49:53.741478,2025-12-05 21:49:53.741478,0.0,
2025-12-07 21:10:18.546651,BUY_NO,KXHIGHNY-25DEC08-B39.5,16.0,32,0.31,5.43,SIM,SIM_5,2025-12-07 21:10:18.546651,2025-12-07 21:10:18.546651,0.0,
2025-12-07 21:51:56.611199,BUY_NO,KXHIGHNY-25DEC08-B39.5,13.0,68,0.54,9.379999999999999,SIM,SIM_6,2025-12-07 21:51:56.611199,2025-12-07 21:51:56.611199,0.0,
2025-12-08 21:43:56.092162,BUY_YES,KXHIGHNY-25DEC09-T32,5.0,71,0.24,3.79,SIM,SIM_7,2025-12-08 21:43:56.092162,2025-12-08 21:43:56.092162,0.0,
2025-12-08 21:44:01.755181,BUY_YES,KXHIGHNY-25DEC09-T32,5.0,18,0.06,0.96,SIM,SIM_8,2025-12-08 21:44:01.755181,2025-12-08 21:44:01.755181,0.0,
2025-12-08 22:02:07.840827,BUY_YES,KXHIGHNY-25DEC09-T39,5.0,100,0.34,5.34,SIM,SIM_9,2025-12-08 22:02:07.840827,2025-12-08 22:02:07.840827,0.0,
2025-12-08 22:05:22.393366,BUY_NO,KXHIGHNY-25DEC09-B32.5,67.0,8,0.13,5.49,SIM,SIM_10,2025-12-08 22:05:22.393366,2025-12-08 22:05:22.393366,0.0,
2025-12-08 22:06:29.094283,BUY_NO,KXHIGHNY-25DEC09-B32.5,68.0,4,0.07,2.79,SIM,SIM_11,2025-12-08 22:06:29.094283,2025-12-08 22:06:29.094283,0.0,
2025-12-08 22:24:41.367923,BUY_NO,KXHIGHNY-25DEC09-B32.5,60.0,49,0.83,30.229999999999997,SIM,SIM_12,2025-12-08 22:24:41.367923,2025-12-08 22:24:41.367923,0.0,
2025-12-08 22:24:49.066698,BUY_NO,KXHIGHNY-25DEC09-B32.5,60.0,38,0.64,23.44,SIM,SIM_13,2025-12-08 22:24:49.066698,2025-12-08 22:24:49.066698,0.0,
2025-12-08 22:25:15.485208,BUY_NO,KXHIGHNY-25DEC09-B32.5,60.0,1,0.02,0.62,SIM,SIM_14,2025-12-08 22:25:15.485208,2025-12-08 22:25:15.485208,0.0,
2025-12-09 21:28:01.234037,BUY_NO,KXHIGHNY-25DEC10-B46.5,72.0,12,0.17,8.81,SIM,SIM_15,2025-12-09 21:28:01.234037,2025-12-09 21:28:01.234037,0.0,
2025-12-09 21:46:37.516728,BUY_NO,KXHIGHNY-25DEC10-B44.5,50.0,8,0.15,4.15,SIM,SIM_16,2025-12-09 21:46:37.516728,2025-12-09 21:46:37.516728,0.0,
2025-12-09 22:12:40.955267,BUY_YES,KXHIGHNY-25DEC10-B42.5,30.0,24,0.36,7.56,SIM,SIM_17,2025-12-09 22:12:40.955267,2025-12-09 22:12:40.955267,0.0,
2025-12-09 22:12:52.771278,BUY_YES,KXHIGHNY-25DEC10-B42.5,30.0,11,0.17,3.4699999999999998,SIM,SIM_18,2025-12-09 22:12:52.771278,2025-12-09 22:12:52.771278,0.0,
2025-12-09 22:30:33.844053,BUY_NO,KXHIGHNY-25DEC10-B46.5,77.0,38,0.48,29.740000000000002,SIM,SIM_19,2025-12-09 22:30:33.844053,2025-12-09 22:30:33.844053,0.0,
2025-12-09 22:31:30.176575,BUY_NO,KXHIGHNY-25DEC10-B46.5,77.0,28,0.35,21.910000000000004,SIM,SIM_20,2025-12-09 22:31:30.176575,2025-12-09 22:31:30.176575,0.0,
2025-12-09 22:31:31.188281,BUY_NO,KXHIGHNY-25DEC10-B46.5,76.0,22,0.29,17.009999999999998,SIM,SIM_21,2025-12-09 22:31:31.188281,2025-12-09 22:31:31.188281,0.0,
2025-12-09 22:38:45.771824,BUY_NO,KXHIGHNY-25DEC10-T47,90.0,9,0.06,8.16,SIM,SIM_22,2025-12-09 22:38:45.771824,2025-12-09 22:38:45.771824,0.0,
2025-12-09 22:40:31.852052,BUY_NO,KXHIGHNY-25DEC10-T47,89.0,13,0.09,11.66,SIM,SIM_23,2025-12-09 22:40:31.852052,2025-12-09 22:40:31.852052,0.0,
2025-12-09 22:41:38.527904,BUY_NO,KXHIGHNY-25DEC10-T47,90.0,3,0.02,2.72,SIM,SIM_24,2025-12-09 22:41:38.527904,2025-12-09 22:41:38.527904,0.0,
2025-12-10 21:01:56.524962,BUY_YES,KXHIGHNY-25DEC11-B40.5,79.0,8,0.1,6.42,SIM,SIM_25,2025-12-10 21:01:56.524962,2025-12-10 21:01:56.524962,0.0,
2025-12-10 21:02:05.657451,BUY_YES,KXHIGHNY-25DEC11-B40.5,78.0,23,0.28,18.220000000000002,SIM,SIM_26,2025-12-10 21:02:05.657451,2025-12-10 21:02:05.657451,0.0,
