time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 07:17:25.282139,BUY_YES,KXHIGHNY-25DEC05-B34.5,12.0,10,0.08,1.28,SIM,SIM_1,2025-12-05 07:17:25.282139,2025-12-05 07:17:25.282139,0.0,
2025-12-05 08:01:50.240487,BUY_NO,KXHIGHNY-25DEC05-B32.5,34.0,9,0.15,3.21,SIM,SIM_2,2025-12-05 08:01:50.240487,2025-12-05 08:01:50.240487,0.0,
2025-12-05 08:07:28.300657,BUY_NO,KXHIGHNY-25DEC05-B32.5,33.0,14,0.22,4.84,SIM,SIM_3,2025-12-05 08:07:28.300657,2025-12-05 08:07:28.300657,0.0,
2025-12-05 08:19:15.216086,BUY_NO,KXHIGHNY-25DEC05-B32.5,33.0,5,0.08,1.7300000000000002,SIM,SIM_4,2025-12-05 08:19:15.216086,2025-12-05 08:19:15.216086,0.0,
2025-12-05 08:22:09.255641,BUY_NO,KXHIGHNY-25DEC05-B32.5,32.0,18,0.28,6.04,SIM,SIM_5,2025-12-05 08:22:09.255641,2025-12-05 08:22:09.255641,0.0,
2025-12-05 08:22:57.428926,BUY_YES,KXHIGHNY-25DEC05-B34.5,7.0,17,0.08,1.2700000000000002,SIM,SIM_6,2025-12-05 08:22:57.428926,2025-12-05 08:22:57.428926,0.0,
2025-12-05 08:35:29.874132,BUY_YES,KXHIGHNY-25DEC06-B45.5,3.0,100,0.21,3.21,SIM,SIM_7,2025-12-05 08:35:29.874132,2025-12-05 08:35:29.874132,0.0,
2025-12-05 13:00:02.473155,BUY_NO,KXHIGHNY-25DEC06-T39,88.0,2,0.02,1.78,SIM,SIM_8,2025-12-05 13:00:02.473155,2025-12-05 13:00:02.473155,0.0,
2025-12-05 13:01:52.250649,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,44,0.71,29.310000000000002,SIM,SIM_9,2025-12-05 13:01:52.250649,2025-12-05 13:01:52.250649,0.0,
2025-12-05 13:02:12.583577,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,31,0.5,20.650000000000002,SIM,SIM_10,2025-12-05 13:02:12.583577,2025-12-05 13:02:12.583577,0.0,
2025-12-05 13:06:47.810576,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,23,0.37,15.32,SIM,SIM_11,2025-12-05 13:06:47.810576,2025-12-05 13:06:47.810576,0.0,
2025-12-05 13:08:37.627198,BUY_NO,KXHIGHNY-25DEC05-B30.5,64.0,2,0.04,1.32,SIM,SIM_12,2025-12-05 13:08:37.627198,2025-12-05 13:08:37.627198,0.0,
2025-12-05 13:21:09.360262,BUY_NO,KXHIGHNY-25DEC05-B32.5,45.0,14,0.25,6.55,SIM,SIM_13,2025-12-05 13:21:09.360262,2025-12-05 13:21:09.360262,0.0,
2025-12-05 13:21:10.401662,BUY_NO,KXHIGHNY-25DEC05-B32.5,45.0,8,0.14,3.74,SIM,SIM_14,2025-12-05 13:21:10.401662,2025-12-05 13:21:10.401662,0.0,
2025-12-05 14:20:08.505839,BUY_NO,KXHIGHNY-25DEC05-B32.5,48.0,5,0.09,2.4899999999999998,SIM,SIM_15,2025-12-05 14:20:08.505839,2025-12-05 14:20:08.505839,0.0,
2025-12-05 14:20:17.895784,BUY_NO,KXHIGHNY-25DEC05-B32.5,47.0,4,0.07,1.95,SIM,SIM_16,2025-12-05 14:20:17.895784,2025-12-05 14:20:17.895784,0.0,
2025-12-05 15:09:14.864211,BUY_YES,KXHIGHNY-25DEC06-T46,4.0,100,0.27,4.27,SIM,SIM_17,2025-12-05 15:09:14.864211,2025-12-05 15:09:14.864211,0.0,
2025-12-05 15:31:55.340543,BUY_YES,KXHIGHNY-25DEC06-B39.5,32.0,10,0.16,3.3600000000000003,SIM,SIM_18,2025-12-05 15:31:55.340543,2025-12-05 15:31:55.340543,0.0,
2025-12-05 15:32:05.894388,BUY_YES,KXHIGHNY-25DEC06-B39.5,31.0,23,0.35,7.4799999999999995,SIM,SIM_19,2025-12-05 15:32:05.894388,2025-12-05 15:32:05.894388,0.0,
2025-12-05 15:32:17.449317,BUY_YES,KXHIGHNY-25DEC06-B39.5,31.0,8,0.12,2.6,SIM,SIM_20,2025-12-05 15:32:17.449317,2025-12-05 15:32:17.449317,0.0,
2025-12-05 15:42:31.579688,BUY_YES,KXHIGHNY-25DEC06-B41.5,41.0,27,0.46,11.53,SIM,SIM_21,2025-12-05 15:42:31.579688,2025-12-05 15:42:31.579688,0.0,
2025-12-05 15:42:33.162362,BUY_YES,KXHIGHNY-25DEC06-B41.5,40.0,32,0.54,13.34,SIM,SIM_22,2025-12-05 15:42:33.162362,2025-12-05 15:42:33.162362,0.0,
2025-12-05 15:42:47.269992,BUY_YES,KXHIGHNY-25DEC06-B41.5,40.0,23,0.39,9.590000000000002,SIM,SIM_23,2025-12-05 15:42:47.269992,2025-12-05 15:42:47.269992,0.0,
2025-12-05 15:43:49.735280,BUY_YES,KXHIGHNY-25DEC06-B39.5,27.0,7,0.1,1.9900000000000002,SIM,SIM_24,2025-12-05 15:43:49.735280,2025-12-05 15:43:49.735280,0.0,
2025-12-05 15:58:25.723534,BUY_NO,KXHIGHNY-25DEC05-B32.5,29.0,23,0.34,7.01,SIM,SIM_25,2025-12-05 15:58:25.723534,2025-12-05 15:58:25.723534,0.0,
2025-12-05 17:17:15.883032,BUY_YES,KXHIGHNY-25DEC05-B34.5,2.0,73,0.11,1.57,SIM,SIM_26,2025-12-05 17:17:15.883032,2025-12-05 17:17:15.883032,0.0,
2025-12-05 21:30:59.759775,BUY_YES,KXHIGHNY-25DEC06-B43.5,14.0,16,0.14,2.3800000000000003,SIM,SIM_27,2025-12-05 21:30:59.759775,2025-12-05 21:30:59.759775,0.0,
