time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 00:08:27.643180,BUY_YES,KXHIGHNY-25DEC05-B30.5,23.0,1,0.02,0.25,SIM,SIM_1,2025-12-05 00:08:27.643180,2025-12-05 00:08:27.643180,0.0,
2025-12-05 00:08:29.930902,BUY_YES,KXHIGHNY-25DEC05-B30.5,23.0,1,0.02,0.25,SIM,SIM_2,2025-12-05 00:08:29.930902,2025-12-05 00:08:29.930902,0.0,
2025-12-05 00:12:46.163749,BUY_YES,KXHIGHNY-25DEC05-B30.5,22.0,3,0.04,0.7000000000000001,SIM,SIM_3,2025-12-05 00:12:46.163749,2025-12-05 00:12:46.163749,0.0,
2025-12-05 05:10:51.774588,BUY_YES,KXHIGHNY-25DEC05-T30,5.0,36,0.12,1.92,SIM,SIM_4,2025-12-05 05:10:51.774588,2025-12-05 05:10:51.774588,0.0,
2025-12-05 05:17:32.073632,BUY_YES,KXHIGHNY-25DEC05-T30,6.0,6,0.03,0.39,SIM,SIM_5,2025-12-05 05:17:32.073632,2025-12-05 05:17:32.073632,0.0,
2025-12-05 05:18:07.368120,BUY_YES,KXHIGHNY-25DEC05-T30,6.0,4,0.02,0.26,SIM,SIM_6,2025-12-05 05:18:07.368120,2025-12-05 05:18:07.368120,0.0,
2025-12-05 05:18:27.740148,BUY_YES,KXHIGHNY-25DEC05-T30,6.0,2,0.01,0.13,SIM,SIM_7,2025-12-05 05:18:27.740148,2025-12-05 05:18:27.740148,0.0,
2025-12-05 06:10:46.041759,BUY_YES,KXHIGHNY-25DEC05-T30,2.0,2,0.01,0.05,SIM,SIM_8,2025-12-05 06:10:46.041759,2025-12-05 06:10:46.041759,0.0,
2025-12-05 07:17:25.282139,BUY_YES,KXHIGHNY-25DEC05-B34.5,12.0,7,0.06,0.8999999999999999,SIM,SIM_9,2025-12-05 07:17:25.282139,2025-12-05 07:17:25.282139,0.0,
2025-12-05 07:17:27.000446,BUY_YES,KXHIGHNY-25DEC05-B34.5,12.0,6,0.05,0.77,SIM,SIM_10,2025-12-05 07:17:27.000446,2025-12-05 07:17:27.000446,0.0,
2025-12-05 07:20:02.136061,BUY_YES,KXHIGHNY-25DEC05-B34.5,14.0,1,0.01,0.15000000000000002,SIM,SIM_11,2025-12-05 07:20:02.136061,2025-12-05 07:20:02.136061,0.0,
2025-12-05 08:01:27.990533,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_12,2025-12-05 08:01:27.990533,2025-12-05 08:01:27.990533,0.0,
2025-12-05 08:01:35.697447,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_13,2025-12-05 08:01:35.697447,2025-12-05 08:01:35.697447,0.0,
2025-12-05 08:01:45.701264,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_14,2025-12-05 08:01:45.701264,2025-12-05 08:01:45.701264,0.0,
2025-12-05 08:01:52.780008,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_15,2025-12-05 08:01:52.780008,2025-12-05 08:01:52.780008,0.0,
2025-12-05 08:01:53.812379,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_16,2025-12-05 08:01:53.812379,2025-12-05 08:01:53.812379,0.0,
2025-12-05 08:01:56.423345,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_17,2025-12-05 08:01:56.423345,2025-12-05 08:01:56.423345,0.0,
2025-12-05 08:02:05.716242,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_18,2025-12-05 08:02:05.716242,2025-12-05 08:02:05.716242,0.0,
2025-12-05 08:02:14.719756,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_19,2025-12-05 08:02:14.719756,2025-12-05 08:02:14.719756,0.0,
2025-12-05 08:02:15.724657,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_20,2025-12-05 08:02:15.724657,2025-12-05 08:02:15.724657,0.0,
2025-12-05 08:12:25.708411,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_21,2025-12-05 08:12:25.708411,2025-12-05 08:12:25.708411,0.0,
2025-12-05 08:12:35.717897,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_22,2025-12-05 08:12:35.717897,2025-12-05 08:12:35.717897,0.0,
2025-12-05 08:12:40.369836,BUY_NO,KXHIGHNY-25DEC06-T39,93.0,1,0.01,0.9400000000000001,SIM,SIM_23,2025-12-05 08:12:40.369836,2025-12-05 08:12:40.369836,0.0,
2025-12-05 08:14:57.753449,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_24,2025-12-05 08:14:57.753449,2025-12-05 08:14:57.753449,0.0,
2025-12-05 08:22:53.533006,BUY_YES,KXHIGHNY-25DEC05-B34.5,9.0,5,0.03,0.48,SIM,SIM_25,2025-12-05 08:22:53.533006,2025-12-05 08:22:53.533006,0.0,
2025-12-05 08:22:57.428926,BUY_YES,KXHIGHNY-25DEC05-B34.5,7.0,11,0.06,0.8300000000000001,SIM,SIM_26,2025-12-05 08:22:57.428926,2025-12-05 08:22:57.428926,0.0,
2025-12-05 08:23:26.561179,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,13,0.12,2.07,SIM,SIM_27,2025-12-05 08:23:26.561179,2025-12-05 08:23:26.561179,0.0,
2025-12-05 08:23:28.210621,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,6,0.06,0.96,SIM,SIM_28,2025-12-05 08:23:28.210621,2025-12-05 08:23:28.210621,0.0,
2025-12-05 08:23:35.169447,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,5,0.05,0.8,SIM,SIM_29,2025-12-05 08:23:35.169447,2025-12-05 08:23:35.169447,0.0,
2025-12-05 08:23:43.780438,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,4,0.04,0.64,SIM,SIM_30,2025-12-05 08:23:43.780438,2025-12-05 08:23:43.780438,0.0,
2025-12-05 08:23:50.606951,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,3,0.03,0.48,SIM,SIM_31,2025-12-05 08:23:50.606951,2025-12-05 08:23:50.606951,0.0,
2025-12-05 08:23:57.549012,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,3,0.03,0.48,SIM,SIM_32,2025-12-05 08:23:57.549012,2025-12-05 08:23:57.549012,0.0,
2025-12-05 08:25:40.092955,BUY_YES,KXHIGHNY-25DEC05-B34.5,8.0,2,0.02,0.18,SIM,SIM_33,2025-12-05 08:25:40.092955,2025-12-05 08:25:40.092955,0.0,
2025-12-05 08:25:52.241183,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,2,0.02,0.32,SIM,SIM_34,2025-12-05 08:25:52.241183,2025-12-05 08:25:52.241183,0.0,
2025-12-05 08:35:21.924685,BUY_NO,KXHIGHNY-25DEC06-B39.5,67.0,1,0.02,0.6900000000000001,SIM,SIM_35,2025-12-05 08:35:21.924685,2025-12-05 08:35:21.924685,0.0,
2025-12-05 08:35:26.184801,BUY_NO,KXHIGHNY-25DEC06-B39.5,67.0,1,0.02,0.6900000000000001,SIM,SIM_36,2025-12-05 08:35:26.184801,2025-12-05 08:35:26.184801,0.0,
2025-12-05 08:35:28.607089,BUY_NO,KXHIGHNY-25DEC06-B39.5,67.0,1,0.02,0.6900000000000001,SIM,SIM_37,2025-12-05 08:35:28.607089,2025-12-05 08:35:28.607089,0.0,
2025-12-05 08:35:29.874132,BUY_YES,KXHIGHNY-25DEC06-B45.5,3.0,50,0.11,1.61,SIM,SIM_38,2025-12-05 08:35:29.874132,2025-12-05 08:35:29.874132,0.0,
2025-12-05 08:35:34.520129,BUY_NO,KXHIGHNY-25DEC06-B39.5,67.0,1,0.02,0.6900000000000001,SIM,SIM_39,2025-12-05 08:35:34.520129,2025-12-05 08:35:34.520129,0.0,
2025-12-05 08:37:18.184300,BUY_YES,KXHIGHNY-25DEC05-B34.5,8.0,2,0.02,0.18,SIM,SIM_40,2025-12-05 08:37:18.184300,2025-12-05 08:37:18.184300,0.0,
2025-12-05 08:37:44.957239,BUY_YES,KXHIGHNY-25DEC05-B34.5,6.0,3,0.02,0.19999999999999998,SIM,SIM_41,2025-12-05 08:37:44.957239,2025-12-05 08:37:44.957239,0.0,
2025-12-05 08:53:30.920424,BUY_YES,KXHIGHNY-25DEC06-B43.5,14.0,1,0.01,0.15000000000000002,SIM,SIM_42,2025-12-05 08:53:30.920424,2025-12-05 08:53:30.920424,0.0,
2025-12-05 09:21:44.067605,BUY_YES,KXHIGHNY-25DEC06-B43.5,14.0,10,0.09,1.4900000000000002,SIM,SIM_43,2025-12-05 09:21:44.067605,2025-12-05 09:21:44.067605,0.0,
2025-12-05 09:21:52.280504,BUY_YES,KXHIGHNY-25DEC06-B43.5,14.0,3,0.03,0.45000000000000007,SIM,SIM_44,2025-12-05 09:21:52.280504,2025-12-05 09:21:52.280504,0.0,
2025-12-05 09:31:57.116512,BUY_YES,KXHIGHNY-25DEC06-T46,3.0,50,0.11,1.61,SIM,SIM_45,2025-12-05 09:31:57.116512,2025-12-05 09:31:57.116512,0.0,
2025-12-05 10:36:16.282726,BUY_YES,KXHIGHNY-25DEC05-B32.5,66.0,1,0.02,0.68,SIM,SIM_46,2025-12-05 10:36:16.282726,2025-12-05 10:36:16.282726,0.0,
2025-12-05 10:36:37.667752,BUY_YES,KXHIGHNY-25DEC05-B32.5,66.0,1,0.02,0.68,SIM,SIM_47,2025-12-05 10:36:37.667752,2025-12-05 10:36:37.667752,0.0,
