time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 07:17:27.000446,BUY_YES,KXHIGHNY-25DEC05-B34.5,12.0,36,0.27,4.59,SIM,SIM_1,2025-12-05 07:17:27.000446,2025-12-05 07:17:27.000446,0.0,
2025-12-05 07:58:51.024166,BUY_YES,KXHIGHNY-25DEC05-B34.5,11.0,27,0.19,3.16,SIM,SIM_2,2025-12-05 07:58:51.024166,2025-12-05 07:58:51.024166,0.0,
2025-12-05 08:01:35.697447,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,2,0.01,1.89,SIM,SIM_3,2025-12-05 08:01:35.697447,2025-12-05 08:01:35.697447,0.0,
2025-12-05 08:01:45.701264,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,9,0.04,8.499999999999998,SIM,SIM_4,2025-12-05 08:01:45.701264,2025-12-05 08:01:45.701264,0.0,
2025-12-05 08:01:50.240487,BUY_NO,KXHIGHNY-25DEC05-B32.5,34.0,9,0.15,3.21,SIM,SIM_5,2025-12-05 08:01:50.240487,2025-12-05 08:01:50.240487,0.0,
2025-12-05 08:01:55.712171,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_6,2025-12-05 08:01:55.712171,2025-12-05 08:01:55.712171,0.0,
2025-12-05 08:07:05.757817,BUY_YES,KXHIGHNY-25DEC05-B34.5,11.0,8,0.06,0.94,SIM,SIM_7,2025-12-05 08:07:05.757817,2025-12-05 08:07:05.757817,0.0,
2025-12-05 08:07:28.300657,BUY_NO,KXHIGHNY-25DEC05-B32.5,33.0,14,0.22,4.84,SIM,SIM_8,2025-12-05 08:07:28.300657,2025-12-05 08:07:28.300657,0.0,
2025-12-05 08:19:15.216086,BUY_NO,KXHIGHNY-25DEC05-B32.5,33.0,5,0.08,1.7300000000000002,SIM,SIM_9,2025-12-05 08:19:15.216086,2025-12-05 08:19:15.216086,0.0,
2025-12-05 08:22:09.255641,BUY_NO,KXHIGHNY-25DEC05-B32.5,32.0,17,0.26,5.7,SIM,SIM_10,2025-12-05 08:22:09.255641,2025-12-05 08:22:09.255641,0.0,
2025-12-05 08:22:57.428926,BUY_YES,KXHIGHNY-25DEC05-B34.5,7.0,29,0.14,2.1700000000000004,SIM,SIM_11,2025-12-05 08:22:57.428926,2025-12-05 08:22:57.428926,0.0,
2025-12-05 08:23:26.561179,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,100,0.9,15.9,SIM,SIM_12,2025-12-05 08:23:26.561179,2025-12-05 08:23:26.561179,0.0,
2025-12-05 08:35:29.874132,BUY_YES,KXHIGHNY-25DEC06-B45.5,3.0,100,0.21,3.21,SIM,SIM_13,2025-12-05 08:35:29.874132,2025-12-05 08:35:29.874132,0.0,
2025-12-05 13:01:52.250649,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,43,0.69,28.64,SIM,SIM_14,2025-12-05 13:01:52.250649,2025-12-05 13:01:52.250649,0.0,
2025-12-05 13:02:12.583577,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,33,0.53,21.98,SIM,SIM_15,2025-12-05 13:02:12.583577,2025-12-05 13:02:12.583577,0.0,
2025-12-05 13:06:47.810576,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,24,0.39,15.990000000000002,SIM,SIM_16,2025-12-05 13:06:47.810576,2025-12-05 13:06:47.810576,0.0,
2025-12-05 14:26:29.633648,BUY_NO,KXHIGHNY-25DEC05-B32.5,43.0,6,0.11,2.69,SIM,SIM_17,2025-12-05 14:26:29.633648,2025-12-05 14:26:29.633648,0.0,
2025-12-05 14:26:38.396198,BUY_NO,KXHIGHNY-25DEC05-B32.5,43.0,4,0.07,1.79,SIM,SIM_18,2025-12-05 14:26:38.396198,2025-12-05 14:26:38.396198,0.0,
2025-12-05 15:09:14.864211,BUY_YES,KXHIGHNY-25DEC06-T46,4.0,100,0.27,4.27,SIM,SIM_19,2025-12-05 15:09:14.864211,2025-12-05 15:09:14.864211,0.0,
2025-12-05 15:32:05.894388,BUY_YES,KXHIGHNY-25DEC06-B39.5,31.0,35,0.53,11.379999999999999,SIM,SIM_20,2025-12-05 15:32:05.894388,2025-12-05 15:32:05.894388,0.0,
2025-12-05 15:33:00.442653,BUY_YES,KXHIGHNY-25DEC06-B39.5,31.0,25,0.38,8.13,SIM,SIM_21,2025-12-05 15:33:00.442653,2025-12-05 15:33:00.442653,0.0,
2025-12-05 15:40:23.989896,BUY_YES,KXHIGHNY-25DEC06-B39.5,30.0,34,0.5,10.7,SIM,SIM_22,2025-12-05 15:40:23.989896,2025-12-05 15:40:23.989896,0.0,
2025-12-05 15:42:33.162362,BUY_YES,KXHIGHNY-25DEC06-B41.5,40.0,41,0.69,17.090000000000003,SIM,SIM_23,2025-12-05 15:42:33.162362,2025-12-05 15:42:33.162362,0.0,
2025-12-05 15:44:16.764902,BUY_YES,KXHIGHNY-25DEC06-B39.5,28.0,6,0.09,1.7700000000000002,SIM,SIM_24,2025-12-05 15:44:16.764902,2025-12-05 15:44:16.764902,0.0,
2025-12-05 15:51:31.549282,BUY_NO,KXHIGHNY-25DEC05-B32.5,38.0,7,0.12,2.7800000000000002,SIM,SIM_25,2025-12-05 15:51:31.549282,2025-12-05 15:51:31.549282,0.0,
2025-12-05 15:51:53.724354,BUY_NO,KXHIGHNY-25DEC05-B32.5,37.0,11,0.18,4.25,SIM,SIM_26,2025-12-05 15:51:53.724354,2025-12-05 15:51:53.724354,0.0,
2025-12-05 15:53:22.117676,BUY_NO,KXHIGHNY-25DEC05-B32.5,37.0,3,0.05,1.16,SIM,SIM_27,2025-12-05 15:53:22.117676,2025-12-05 15:53:22.117676,0.0,
2025-12-05 15:59:39.603978,BUY_NO,KXHIGHNY-25DEC05-B32.5,30.0,24,0.36,7.56,SIM,SIM_28,2025-12-05 15:59:39.603978,2025-12-05 15:59:39.603978,0.0,
2025-12-06 05:13:32.358240,BUY_NO,KXHIGHNY-25DEC06-T39,91.0,4,0.03,3.67,SIM,SIM_29,2025-12-06 05:13:32.358240,2025-12-06 05:13:32.358240,0.0,
2025-12-06 05:14:07.876142,BUY_NO,KXHIGHNY-25DEC06-T39,91.0,2,0.02,1.84,SIM,SIM_30,2025-12-06 05:14:07.876142,2025-12-06 05:14:07.876142,0.0,
2025-12-06 07:30:47.156116,BUY_YES,KXHIGHNY-25DEC07-B39.5,26.0,16,0.22,4.38,SIM,SIM_31,2025-12-06 07:30:47.156116,2025-12-06 07:30:47.156116,0.0,
2025-12-06 07:34:19.045753,BUY_YES,KXHIGHNY-25DEC07-B39.5,25.0,21,0.28,5.53,SIM,SIM_32,2025-12-06 07:34:19.045753,2025-12-06 07:34:19.045753,0.0,
2025-12-06 07:35:19.566809,BUY_YES,KXHIGHNY-25DEC07-B43.5,29.0,60,0.87,18.27,SIM,SIM_33,2025-12-06 07:35:19.566809,2025-12-06 07:35:19.566809,0.0,
2025-12-06 07:37:45.208976,BUY_YES,KXHIGHNY-25DEC07-B43.5,29.0,29,0.42,8.83,SIM,SIM_34,2025-12-06 07:37:45.208976,2025-12-06 07:37:45.208976,0.0,
2025-12-06 07:42:59.336198,BUY_YES,KXHIGHNY-25DEC07-B43.5,24.0,11,0.15,2.7899999999999996,SIM,SIM_35,2025-12-06 07:42:59.336198,2025-12-06 07:42:59.336198,0.0,
2025-12-06 08:03:12.410987,BUY_NO,KXHIGHNY-25DEC07-B37.5,94.0,29,0.12,27.38,SIM,SIM_36,2025-12-06 08:03:12.410987,2025-12-06 08:03:12.410987,0.0,
2025-12-06 08:03:21.023647,BUY_NO,KXHIGHNY-25DEC07-B37.5,94.0,23,0.1,21.72,SIM,SIM_37,2025-12-06 08:03:21.023647,2025-12-06 08:03:21.023647,0.0,
2025-12-06 08:03:38.182385,BUY_NO,KXHIGHNY-25DEC07-B37.5,94.0,16,0.07,15.11,SIM,SIM_38,2025-12-06 08:03:38.182385,2025-12-06 08:03:38.182385,0.0,
2025-12-06 08:04:13.374984,BUY_NO,KXHIGHNY-25DEC07-B37.5,94.0,10,0.04,9.439999999999998,SIM,SIM_39,2025-12-06 08:04:13.374984,2025-12-06 08:04:13.374984,0.0,
2025-12-06 08:04:18.840639,BUY_YES,KXHIGHNY-25DEC07-T37,4.0,100,0.27,4.27,SIM,SIM_40,2025-12-06 08:04:18.840639,2025-12-06 08:04:18.840639,0.0,
2025-12-06 13:00:07.823111,BUY_YES,KXHIGHNY-25DEC07-T44,4.0,54,0.15,2.31,SIM,SIM_41,2025-12-06 13:00:07.823111,2025-12-06 13:00:07.823111,0.0,
2025-12-06 13:00:45.253040,BUY_NO,KXHIGHNY-25DEC07-B41.5,51.0,10,0.18,5.279999999999999,SIM,SIM_42,2025-12-06 13:00:45.253040,2025-12-06 13:00:45.253040,0.0,
2025-12-06 13:01:18.022061,BUY_NO,KXHIGHNY-25DEC07-B41.5,50.0,16,0.29,8.29,SIM,SIM_43,2025-12-06 13:01:18.022061,2025-12-06 13:01:18.022061,0.0,
2025-12-06 13:04:59.134280,BUY_NO,KXHIGHNY-25DEC07-B41.5,50.0,8,0.15,4.15,SIM,SIM_44,2025-12-06 13:04:59.134280,2025-12-06 13:04:59.134280,0.0,
2025-12-06 21:15:14.977522,BUY_YES,KXHIGHNY-25DEC07-B39.5,20.0,63,0.71,13.310000000000002,SIM,SIM_45,2025-12-06 21:15:14.977522,2025-12-06 21:15:14.977522,0.0,
2025-12-07 05:34:32.536696,BUY_NO,KXHIGHNY-25DEC07-B41.5,39.0,50,0.84,20.34,SIM,SIM_46,2025-12-07 05:34:32.536696,2025-12-07 05:34:32.536696,0.0,
2025-12-07 05:34:55.092853,BUY_NO,KXHIGHNY-25DEC07-B41.5,39.0,16,0.27,6.51,SIM,SIM_47,2025-12-07 05:34:55.092853,2025-12-07 05:34:55.092853,0.0,
2025-12-07 07:26:09.768446,BUY_YES,KXHIGHNY-25DEC08-B35.5,28.0,47,0.67,13.830000000000002,SIM,SIM_48,2025-12-07 07:26:09.768446,2025-12-07 07:26:09.768446,0.0,
2025-12-07 07:34:20.034931,BUY_YES,KXHIGHNY-25DEC08-B35.5,28.0,39,0.56,11.480000000000002,SIM,SIM_49,2025-12-07 07:34:20.034931,2025-12-07 07:34:20.034931,0.0,
2025-12-07 07:35:36.713020,BUY_YES,KXHIGHNY-25DEC08-B35.5,27.0,14,0.2,3.9800000000000004,SIM,SIM_50,2025-12-07 07:35:36.713020,2025-12-07 07:35:36.713020,0.0,
2025-12-07 07:56:02.493435,BUY_YES,KXHIGHNY-25DEC08-B33.5,2.0,100,0.14,2.14,SIM,SIM_51,2025-12-07 07:56:02.493435,2025-12-07 07:56:02.493435,0.0,
2025-12-07 08:03:39.396247,BUY_NO,KXHIGHNY-25DEC08-T40,95.0,8,0.03,7.63,SIM,SIM_52,2025-12-07 08:03:39.396247,2025-12-07 08:03:39.396247,0.0,
2025-12-07 08:03:50.874816,BUY_NO,KXHIGHNY-25DEC08-T40,95.0,4,0.02,3.82,SIM,SIM_53,2025-12-07 08:03:50.874816,2025-12-07 08:03:50.874816,0.0,
2025-12-07 08:10:59.035033,BUY_NO,KXHIGHNY-25DEC08-T33,91.0,17,0.1,15.57,SIM,SIM_54,2025-12-07 08:10:59.035033,2025-12-07 08:10:59.035033,0.0,
2025-12-07 08:11:19.773733,BUY_NO,KXHIGHNY-25DEC08-T33,91.0,9,0.06,8.25,SIM,SIM_55,2025-12-07 08:11:19.773733,2025-12-07 08:11:19.773733,0.0,
2025-12-07 08:11:57.024654,BUY_NO,KXHIGHNY-25DEC08-T33,91.0,5,0.03,4.58,SIM,SIM_56,2025-12-07 08:11:57.024654,2025-12-07 08:11:57.024654,0.0,
2025-12-07 08:12:18.526487,BUY_NO,KXHIGHNY-25DEC08-T33,91.0,1,0.01,0.92,SIM,SIM_57,2025-12-07 08:12:18.526487,2025-12-07 08:12:18.526487,0.0,
2025-12-07 08:17:24.334233,BUY_NO,KXHIGHNY-25DEC08-T40,82.0,36,0.38,29.9,SIM,SIM_58,2025-12-07 08:17:24.334233,2025-12-07 08:17:24.334233,0.0,
2025-12-07 08:17:32.976152,BUY_NO,KXHIGHNY-25DEC08-T40,86.0,29,0.25,25.19,SIM,SIM_59,2025-12-07 08:17:32.976152,2025-12-07 08:17:32.976152,0.0,
2025-12-07 08:20:14.609199,BUY_NO,KXHIGHNY-25DEC08-T40,82.0,23,0.24,19.099999999999998,SIM,SIM_60,2025-12-07 08:20:14.609199,2025-12-07 08:20:14.609199,0.0,
2025-12-07 08:23:23.441230,BUY_YES,KXHIGHNY-25DEC08-B39.5,13.0,60,0.48,8.280000000000001,SIM,SIM_61,2025-12-07 08:23:23.441230,2025-12-07 08:23:23.441230,0.0,
2025-12-07 08:48:32.953335,BUY_YES,KXHIGHNY-25DEC08-B39.5,11.0,40,0.28,4.680000000000001,SIM,SIM_62,2025-12-07 08:48:32.953335,2025-12-07 08:48:32.953335,0.0,
2025-12-07 13:06:17.504418,BUY_YES,KXHIGHNY-25DEC08-B37.5,28.0,100,1.42,29.42,SIM,SIM_63,2025-12-07 13:06:17.504418,2025-12-07 13:06:17.504418,0.0,
2025-12-07 14:03:54.390181,BUY_NO,KXHIGHNY-25DEC08-T33,85.0,2,0.02,1.72,SIM,SIM_64,2025-12-07 14:03:54.390181,2025-12-07 14:03:54.390181,0.0,
2025-12-07 14:04:00.060720,BUY_NO,KXHIGHNY-25DEC08-T33,85.0,1,0.01,0.86,SIM,SIM_65,2025-12-07 14:04:00.060720,2025-12-07 14:04:00.060720,0.0,
2025-12-08 07:09:07.484258,BUY_NO,KXHIGHNY-25DEC09-B36.5,64.0,32,0.52,21.0,SIM,SIM_66,2025-12-08 07:09:07.484258,2025-12-08 07:09:07.484258,0.0,
2025-12-08 07:09:08.508418,BUY_NO,KXHIGHNY-25DEC09-B36.5,59.0,62,1.05,37.629999999999995,SIM,SIM_67,2025-12-08 07:09:08.508418,2025-12-08 07:09:08.508418,0.0,
2025-12-08 07:09:23.157114,BUY_YES,KXHIGHNY-25DEC09-B38.5,18.0,100,1.04,19.04,SIM,SIM_68,2025-12-08 07:09:23.157114,2025-12-08 07:09:23.157114,0.0,
