time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 06:10:46.041759,BUY_YES,KXHIGHNY-25DEC05-T30,2.0,31,0.05,0.67,SIM,SIM_1,2025-12-05 06:10:46.041759,2025-12-05 06:10:46.041759,0.0,
2025-12-05 08:22:57.428926,BUY_YES,KXHIGHNY-25DEC05-B34.5,7.0,6,0.03,0.45000000000000007,SIM,SIM_2,2025-12-05 08:22:57.428926,2025-12-05 08:22:57.428926,0.0,
2025-12-05 09:45:28.017944,BUY_YES,KXHIGHNY-25DEC06-B39.5,30.0,1,0.02,0.32,SIM,SIM_3,2025-12-05 09:45:28.017944,2025-12-05 09:45:28.017944,0.0,
2025-12-05 12:41:41.075802,BUY_YES,KXHIGHNY-25DEC06-B43.5,13.0,1,0.01,0.14,SIM,SIM_4,2025-12-05 12:41:41.075802,2025-12-05 12:41:41.075802,0.0,
2025-12-05 13:13:39.451969,BUY_NO,KXHIGHNY-25DEC05-B30.5,52.0,1,0.02,0.54,SIM,SIM_5,2025-12-05 13:13:39.451969,2025-12-05 13:13:39.451969,0.0,
2025-12-05 13:14:05.104816,BUY_YES,KXHIGHNY-25DEC05-B32.5,50.0,1,0.02,0.52,SIM,SIM_6,2025-12-05 13:14:05.104816,2025-12-05 13:14:05.104816,0.0,
2025-12-05 13:15:48.239394,BUY_YES,KXHIGHNY-25DEC05-B32.5,48.0,1,0.02,0.5,SIM,SIM_7,2025-12-05 13:15:48.239394,2025-12-05 13:15:48.239394,0.0,
2025-12-05 13:15:54.157294,BUY_YES,KXHIGHNY-25DEC05-B32.5,46.0,2,0.04,0.9600000000000001,SIM,SIM_8,2025-12-05 13:15:54.157294,2025-12-05 13:15:54.157294,0.0,
2025-12-05 13:27:39.381526,BUY_YES,KXHIGHNY-25DEC05-B32.5,40.0,3,0.06,1.2600000000000002,SIM,SIM_9,2025-12-05 13:27:39.381526,2025-12-05 13:27:39.381526,0.0,
2025-12-05 14:02:51.215100,BUY_YES,KXHIGHNY-25DEC05-B32.5,45.0,1,0.02,0.47000000000000003,SIM,SIM_10,2025-12-05 14:02:51.215100,2025-12-05 14:02:51.215100,0.0,
2025-12-05 14:02:59.948301,BUY_YES,KXHIGHNY-25DEC05-B32.5,44.0,1,0.02,0.46,SIM,SIM_11,2025-12-05 14:02:59.948301,2025-12-05 14:02:59.948301,0.0,
2025-12-05 14:03:01.007189,BUY_YES,KXHIGHNY-25DEC05-B32.5,44.0,1,0.02,0.46,SIM,SIM_12,2025-12-05 14:03:01.007189,2025-12-05 14:03:01.007189,0.0,
2025-12-05 14:03:02.929022,BUY_YES,KXHIGHNY-25DEC05-B32.5,44.0,1,0.02,0.46,SIM,SIM_13,2025-12-05 14:03:02.929022,2025-12-05 14:03:02.929022,0.0,
2025-12-05 14:03:04.737871,BUY_YES,KXHIGHNY-25DEC05-B32.5,44.0,1,0.02,0.46,SIM,SIM_14,2025-12-05 14:03:04.737871,2025-12-05 14:03:04.737871,0.0,
2025-12-05 14:13:50.882940,BUY_NO,KXHIGHNY-25DEC05-B30.5,47.0,1,0.02,0.49,SIM,SIM_15,2025-12-05 14:13:50.882940,2025-12-05 14:13:50.882940,0.0,
2025-12-05 14:14:01.704768,BUY_NO,KXHIGHNY-25DEC05-B30.5,48.0,1,0.02,0.5,SIM,SIM_16,2025-12-05 14:14:01.704768,2025-12-05 14:14:01.704768,0.0,
2025-12-05 14:35:40.894609,BUY_YES,KXHIGHNY-25DEC06-B43.5,13.0,3,0.03,0.42000000000000004,SIM,SIM_17,2025-12-05 14:35:40.894609,2025-12-05 14:35:40.894609,0.0,
2025-12-05 14:35:43.694287,BUY_YES,KXHIGHNY-25DEC06-B43.5,12.0,1,0.01,0.13,SIM,SIM_18,2025-12-05 14:35:43.694287,2025-12-05 14:35:43.694287,0.0,
2025-12-05 15:23:21.896325,BUY_YES,KXHIGHNY-25DEC05-B32.5,47.0,1,0.02,0.49,SIM,SIM_19,2025-12-05 15:23:21.896325,2025-12-05 15:23:21.896325,0.0,
2025-12-05 15:44:16.764902,BUY_YES,KXHIGHNY-25DEC06-B39.5,28.0,2,0.03,0.5900000000000001,SIM,SIM_20,2025-12-05 15:44:16.764902,2025-12-05 15:44:16.764902,0.0,
2025-12-05 15:46:00.089794,BUY_YES,KXHIGHNY-25DEC06-B39.5,26.0,4,0.06,1.1,SIM,SIM_21,2025-12-05 15:46:00.089794,2025-12-05 15:46:00.089794,0.0,
2025-12-05 15:50:38.285327,BUY_YES,KXHIGHNY-25DEC06-B39.5,26.0,3,0.05,0.8300000000000001,SIM,SIM_22,2025-12-05 15:50:38.285327,2025-12-05 15:50:38.285327,0.0,
2025-12-05 15:50:43.202034,BUY_YES,KXHIGHNY-25DEC06-B39.5,26.0,2,0.03,0.55,SIM,SIM_23,2025-12-05 15:50:43.202034,2025-12-05 15:50:43.202034,0.0,
2025-12-05 15:52:07.454069,BUY_YES,KXHIGHNY-25DEC06-B39.5,25.0,3,0.04,0.79,SIM,SIM_24,2025-12-05 15:52:07.454069,2025-12-05 15:52:07.454069,0.0,
2025-12-05 15:55:10.587663,BUY_YES,KXHIGHNY-25DEC06-B39.5,24.0,4,0.06,1.02,SIM,SIM_25,2025-12-05 15:55:10.587663,2025-12-05 15:55:10.587663,0.0,
2025-12-05 15:55:22.807277,BUY_YES,KXHIGHNY-25DEC06-B39.5,24.0,2,0.03,0.51,SIM,SIM_26,2025-12-05 15:55:22.807277,2025-12-05 15:55:22.807277,0.0,
2025-12-05 15:57:49.252186,BUY_YES,KXHIGHNY-25DEC06-B39.5,24.0,1,0.02,0.26,SIM,SIM_27,2025-12-05 15:57:49.252186,2025-12-05 15:57:49.252186,0.0,
2025-12-05 16:00:37.306644,BUY_YES,KXHIGHNY-25DEC06-B39.5,22.0,3,0.04,0.7000000000000001,SIM,SIM_28,2025-12-05 16:00:37.306644,2025-12-05 16:00:37.306644,0.0,
2025-12-05 16:00:53.619986,BUY_YES,KXHIGHNY-25DEC06-B39.5,22.0,2,0.03,0.47,SIM,SIM_29,2025-12-05 16:00:53.619986,2025-12-05 16:00:53.619986,0.0,
2025-12-05 16:11:59.581431,BUY_NO,KXHIGHNY-25DEC05-B30.5,69.0,1,0.02,0.71,SIM,SIM_30,2025-12-05 16:11:59.581431,2025-12-05 16:11:59.581431,0.0,
