time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 08:22:57.428926,BUY_YES,KXHIGHNY-25DEC05-B34.5,7.0,9,0.05,0.6800000000000002,SIM,SIM_1,2025-12-05 08:22:57.428926,2025-12-05 08:22:57.428926,0.0,
2025-12-05 13:01:52.250649,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,2,0.04,1.34,SIM,SIM_2,2025-12-05 13:01:52.250649,2025-12-05 13:01:52.250649,0.0,
2025-12-05 13:02:12.583577,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,2,0.04,1.34,SIM,SIM_3,2025-12-05 13:02:12.583577,2025-12-05 13:02:12.583577,0.0,
2025-12-05 13:06:47.810576,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,1,0.02,0.67,SIM,SIM_4,2025-12-05 13:06:47.810576,2025-12-05 13:06:47.810576,0.0,
2025-12-05 13:08:37.627198,BUY_NO,KXHIGHNY-25DEC05-B30.5,64.0,1,0.02,0.66,SIM,SIM_5,2025-12-05 13:08:37.627198,2025-12-05 13:08:37.627198,0.0,
2025-12-05 13:09:09.572436,BUY_NO,KXHIGHNY-25DEC05-B30.5,63.0,2,0.04,1.3,SIM,SIM_6,2025-12-05 13:09:09.572436,2025-12-05 13:09:09.572436,0.0,
2025-12-05 13:09:51.941850,BUY_NO,KXHIGHNY-25DEC05-B30.5,62.0,2,0.04,1.28,SIM,SIM_7,2025-12-05 13:09:51.941850,2025-12-05 13:09:51.941850,0.0,
2025-12-05 13:10:29.981008,BUY_NO,KXHIGHNY-25DEC05-B30.5,61.0,2,0.04,1.26,SIM,SIM_8,2025-12-05 13:10:29.981008,2025-12-05 13:10:29.981008,0.0,
2025-12-05 13:10:40.197136,BUY_YES,KXHIGHNY-25DEC05-B32.5,55.0,1,0.02,0.5700000000000001,SIM,SIM_9,2025-12-05 13:10:40.197136,2025-12-05 13:10:40.197136,0.0,
2025-12-05 13:10:44.261751,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,2,0.04,1.24,SIM,SIM_10,2025-12-05 13:10:44.261751,2025-12-05 13:10:44.261751,0.0,
2025-12-05 13:11:14.304688,BUY_YES,KXHIGHNY-25DEC05-B32.5,55.0,1,0.02,0.5700000000000001,SIM,SIM_11,2025-12-05 13:11:14.304688,2025-12-05 13:11:14.304688,0.0,
2025-12-05 13:11:15.979781,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,1,0.02,0.62,SIM,SIM_12,2025-12-05 13:11:15.979781,2025-12-05 13:11:15.979781,0.0,
2025-12-05 13:11:18.589148,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,1,0.02,0.62,SIM,SIM_13,2025-12-05 13:11:18.589148,2025-12-05 13:11:18.589148,0.0,
2025-12-05 13:11:30.060273,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,1,0.02,0.62,SIM,SIM_14,2025-12-05 13:11:30.060273,2025-12-05 13:11:30.060273,0.0,
2025-12-05 13:12:42.194290,BUY_YES,KXHIGHNY-25DEC05-B32.5,52.0,3,0.06,1.62,SIM,SIM_15,2025-12-05 13:12:42.194290,2025-12-05 13:12:42.194290,0.0,
2025-12-05 13:13:22.999919,BUY_YES,KXHIGHNY-25DEC05-B32.5,51.0,3,0.06,1.59,SIM,SIM_16,2025-12-05 13:13:22.999919,2025-12-05 13:13:22.999919,0.0,
2025-12-05 13:13:39.451969,BUY_NO,KXHIGHNY-25DEC05-B30.5,52.0,1,0.02,0.54,SIM,SIM_17,2025-12-05 13:13:39.451969,2025-12-05 13:13:39.451969,0.0,
2025-12-05 13:14:05.104816,BUY_YES,KXHIGHNY-25DEC05-B32.5,50.0,3,0.06,1.56,SIM,SIM_18,2025-12-05 13:14:05.104816,2025-12-05 13:14:05.104816,0.0,
2025-12-05 13:14:37.273696,BUY_YES,KXHIGHNY-25DEC05-B32.5,51.0,2,0.04,1.06,SIM,SIM_19,2025-12-05 13:14:37.273696,2025-12-05 13:14:37.273696,0.0,
2025-12-05 13:14:44.741116,BUY_YES,KXHIGHNY-25DEC05-B32.5,50.0,2,0.04,1.04,SIM,SIM_20,2025-12-05 13:14:44.741116,2025-12-05 13:14:44.741116,0.0,
2025-12-05 13:15:48.239394,BUY_YES,KXHIGHNY-25DEC05-B32.5,48.0,3,0.06,1.5,SIM,SIM_21,2025-12-05 13:15:48.239394,2025-12-05 13:15:48.239394,0.0,
2025-12-05 13:15:54.157294,BUY_YES,KXHIGHNY-25DEC05-B32.5,46.0,4,0.07,1.9100000000000001,SIM,SIM_22,2025-12-05 13:15:54.157294,2025-12-05 13:15:54.157294,0.0,
2025-12-05 13:16:58.084021,BUY_YES,KXHIGHNY-25DEC05-B32.5,49.0,1,0.02,0.51,SIM,SIM_23,2025-12-05 13:16:58.084021,2025-12-05 13:16:58.084021,0.0,
2025-12-05 13:17:30.308707,BUY_YES,KXHIGHNY-25DEC05-B32.5,48.0,1,0.02,0.5,SIM,SIM_24,2025-12-05 13:17:30.308707,2025-12-05 13:17:30.308707,0.0,
