time,ticker,side,price,qty,status,filled
2026-01-05 06:28:02.423939,KXHIGHNY-26JAN05-B37.5,yes,22.0,4,executed,4
2026-01-05 06:30:25.233796,KXHIGHNY-26JAN05-B37.5,yes,22.0,2,executed,2
2026-01-05 06:36:24.748987,KXHIGHNY-26JAN05-B37.5,yes,21.0,2,executed,2
2026-01-05 06:36:37.344434,KXHIGHNY-26JAN05-B37.5,yes,20.0,4,executed,4
2026-01-05 07:33:36.631268,KXHIGHNY-26JAN06-B41.5,no,64.0,1,executed,1
2026-01-05 07:33:49.981115,KXHIGHNY-26JAN06-B41.5,no,63.0,2,executed,2
2026-01-05 07:51:00.956117,KXHIGHNY-26JAN06-B43.5,yes,20.0,5,executed,5
2026-01-05 07:52:04.847657,KXHIGHNY-26JAN06-T39,no,81.0,2,executed,2
2026-01-05 08:02:40.452115,KXHIGHNY-26JAN05-B35.5,no,28.0,2,executed,2
2026-01-05 08:03:08.184234,KXHIGHNY-26JAN05-B33.5,yes,16.0,8,executed,8
2026-01-05 08:03:37.744315,KXHIGHNY-26JAN05-B33.5,yes,16.0,7,executed,7
2026-01-05 08:04:35.966224,KXHIGHNY-26JAN05-B33.5,yes,16.0,5,executed,5
2026-01-05 08:06:02.295189,KXHIGHNY-26JAN05-B33.5,yes,17.0,1,executed,1
2026-01-05 08:06:48.378104,KXHIGHNY-26JAN05-B33.5,yes,16.0,2,executed,2
2026-01-05 08:07:08.131794,KXHIGHNY-26JAN05-B33.5,yes,16.0,1,executed,1
2026-01-05 08:22:09.207219,KXHIGHNY-26JAN06-B41.5,no,52.0,2,executed,2
2026-01-05 08:22:13.096831,KXHIGHNY-26JAN06-B41.5,no,51.0,1,executed,1
2026-01-05 08:25:48.093937,KXHIGHNY-26JAN06-B41.5,no,50.0,2,executed,2
