time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2026-01-09 05:05:26.601875,BUY_YES,KXHIGHNY-26JAN09-B49.5,8.0,1,0.01,0.09,SIM,SIM_1,2026-01-09 05:05:26.601875,2026-01-09 05:05:26.601875,0.0,
2026-01-09 05:07:22.181771,BUY_YES,KXHIGHNY-26JAN09-B49.5,9.0,1,0.01,0.09999999999999999,SIM,SIM_2,2026-01-09 05:07:22.181771,2026-01-09 05:07:22.181771,0.0,
2026-01-09 05:20:46.093275,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,2,0.01,0.13,SIM,SIM_3,2026-01-09 05:20:46.093275,2026-01-09 05:20:46.093275,0.0,
2026-01-09 05:25:46.702834,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,1,0.01,0.06999999999999999,SIM,SIM_4,2026-01-09 05:25:46.702834,2026-01-09 05:25:46.702834,0.0,
2026-01-09 05:25:49.551865,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,1,0.01,0.06999999999999999,SIM,SIM_5,2026-01-09 05:25:49.551865,2026-01-09 05:25:49.551865,0.0,
2026-01-09 05:26:53.880947,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,2,0.01,0.13,SIM,SIM_6,2026-01-09 05:26:53.880947,2026-01-09 05:26:53.880947,0.0,
2026-01-09 05:26:59.132444,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_7,2026-01-09 05:26:59.132444,2026-01-09 05:26:59.132444,0.0,
2026-01-09 05:59:12.505827,BUY_YES,KXHIGHNY-26JAN09-B49.5,7.0,4,0.02,0.30000000000000004,SIM,SIM_8,2026-01-09 05:59:12.505827,2026-01-09 05:59:12.505827,0.0,
2026-01-09 05:59:21.489879,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,6,0.02,0.32000000000000006,SIM,SIM_9,2026-01-09 05:59:21.489879,2026-01-09 05:59:21.489879,0.0,
2026-01-09 06:00:48.102814,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,3,0.02,0.19999999999999998,SIM,SIM_10,2026-01-09 06:00:48.102814,2026-01-09 06:00:48.102814,0.0,
2026-01-09 06:00:52.050146,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,4,0.02,0.22,SIM,SIM_11,2026-01-09 06:00:52.050146,2026-01-09 06:00:52.050146,0.0,
2026-01-09 06:00:56.333162,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,4,0.02,0.22,SIM,SIM_12,2026-01-09 06:00:56.333162,2026-01-09 06:00:56.333162,0.0,
2026-01-09 06:00:58.898196,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,3,0.01,0.16000000000000003,SIM,SIM_13,2026-01-09 06:00:58.898196,2026-01-09 06:00:58.898196,0.0,
2026-01-09 06:01:02.823197,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,2,0.01,0.11,SIM,SIM_14,2026-01-09 06:01:02.823197,2026-01-09 06:01:02.823197,0.0,
2026-01-09 06:01:04.496863,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_15,2026-01-09 06:01:04.496863,2026-01-09 06:01:04.496863,0.0,
2026-01-09 06:01:05.842216,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,1,0.01,0.06999999999999999,SIM,SIM_16,2026-01-09 06:01:05.842216,2026-01-09 06:01:05.842216,0.0,
2026-01-09 06:41:26.675645,BUY_YES,KXHIGHNY-26JAN09-B49.5,7.0,1,0.01,0.08,SIM,SIM_17,2026-01-09 06:41:26.675645,2026-01-09 06:41:26.675645,0.0,
2026-01-09 06:45:33.285755,BUY_YES,KXHIGHNY-26JAN09-B53.5,25.0,1,0.02,0.27,SIM,SIM_18,2026-01-09 06:45:33.285755,2026-01-09 06:45:33.285755,0.0,
2026-01-09 06:46:19.065775,BUY_YES,KXHIGHNY-26JAN09-B53.5,25.0,1,0.02,0.27,SIM,SIM_19,2026-01-09 06:46:19.065775,2026-01-09 06:46:19.065775,0.0,
2026-01-09 06:46:44.919560,BUY_YES,KXHIGHNY-26JAN09-B53.5,24.0,1,0.02,0.26,SIM,SIM_20,2026-01-09 06:46:44.919560,2026-01-09 06:46:44.919560,0.0,
2026-01-09 06:48:32.621040,BUY_YES,KXHIGHNY-26JAN09-B53.5,24.0,1,0.02,0.26,SIM,SIM_21,2026-01-09 06:48:32.621040,2026-01-09 06:48:32.621040,0.0,
2026-01-09 06:50:44.656105,BUY_YES,KXHIGHNY-26JAN09-B53.5,24.0,1,0.02,0.26,SIM,SIM_22,2026-01-09 06:50:44.656105,2026-01-09 06:50:44.656105,0.0,
2026-01-09 06:52:56.000370,BUY_YES,KXHIGHNY-26JAN09-B55.5,18.0,1,0.02,0.19999999999999998,SIM,SIM_23,2026-01-09 06:52:56.000370,2026-01-09 06:52:56.000370,0.0,
2026-01-09 06:53:05.017351,BUY_YES,KXHIGHNY-26JAN09-B53.5,24.0,1,0.02,0.26,SIM,SIM_24,2026-01-09 06:53:05.017351,2026-01-09 06:53:05.017351,0.0,
