time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2026-01-09 05:59:12.505827,BUY_YES,KXHIGHNY-26JAN09-B49.5,7.0,1,0.01,0.08,SIM,SIM_1,2026-01-09 05:59:12.505827,2026-01-09 05:59:12.505827,0.0,
2026-01-09 05:59:16.158003,BUY_YES,KXHIGHNY-26JAN09-B49.5,7.0,1,0.01,0.08,SIM,SIM_2,2026-01-09 05:59:16.158003,2026-01-09 05:59:16.158003,0.0,
2026-01-09 05:59:16.269033,BUY_YES,KXHIGHNY-26JAN09-B49.5,6.0,1,0.01,0.06999999999999999,SIM,SIM_3,2026-01-09 05:59:16.269033,2026-01-09 05:59:16.269033,0.0,
2026-01-09 05:59:16.672998,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_4,2026-01-09 05:59:16.672998,2026-01-09 05:59:16.672998,0.0,
2026-01-09 05:59:21.489879,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_5,2026-01-09 05:59:21.489879,2026-01-09 05:59:21.489879,0.0,
2026-01-09 05:59:21.824959,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_6,2026-01-09 05:59:21.824959,2026-01-09 05:59:21.824959,0.0,
2026-01-09 05:59:28.159317,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_7,2026-01-09 05:59:28.159317,2026-01-09 05:59:28.159317,0.0,
2026-01-09 06:00:08.044186,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_8,2026-01-09 06:00:08.044186,2026-01-09 06:00:08.044186,0.0,
2026-01-09 06:00:52.050146,BUY_YES,KXHIGHNY-26JAN09-B49.5,5.0,1,0.01,0.060000000000000005,SIM,SIM_9,2026-01-09 06:00:52.050146,2026-01-09 06:00:52.050146,0.0,
2026-01-09 13:01:03.818043,BUY_YES,KXHIGHNY-26JAN09-B55.5,4.0,1,0.01,0.05,SIM,SIM_10,2026-01-09 13:01:03.818043,2026-01-09 13:01:03.818043,0.0,
2026-01-09 13:02:02.040765,BUY_YES,KXHIGHNY-26JAN09-B55.5,4.0,1,0.01,0.05,SIM,SIM_11,2026-01-09 13:02:02.040765,2026-01-09 13:02:02.040765,0.0,
2026-01-09 13:02:07.040748,BUY_YES,KXHIGHNY-26JAN09-B55.5,4.0,1,0.01,0.05,SIM,SIM_12,2026-01-09 13:02:07.040748,2026-01-09 13:02:07.040748,0.0,
2026-01-09 13:07:19.402457,BUY_YES,KXHIGHNY-26JAN09-B55.5,3.0,1,0.01,0.04,SIM,SIM_13,2026-01-09 13:07:19.402457,2026-01-09 13:07:19.402457,0.0,
2026-01-09 13:07:20.082597,BUY_YES,KXHIGHNY-26JAN09-B55.5,3.0,1,0.01,0.04,SIM,SIM_14,2026-01-09 13:07:20.082597,2026-01-09 13:07:20.082597,0.0,
2026-01-09 13:07:21.564206,BUY_YES,KXHIGHNY-26JAN09-B55.5,3.0,1,0.01,0.04,SIM,SIM_15,2026-01-09 13:07:21.564206,2026-01-09 13:07:21.564206,0.0,
2026-01-09 21:07:19.680501,BUY_YES,KXHIGHNY-26JAN10-B54.5,2.0,3,0.01,0.06999999999999999,SIM,SIM_16,2026-01-09 21:07:19.680501,2026-01-09 21:07:19.680501,0.0,
2026-01-09 21:07:31.557892,BUY_YES,KXHIGHNY-26JAN10-B54.5,3.0,1,0.01,0.04,SIM,SIM_17,2026-01-09 21:07:31.557892,2026-01-09 21:07:31.557892,0.0,
2026-01-09 21:07:32.393980,BUY_YES,KXHIGHNY-26JAN10-B54.5,4.0,1,0.01,0.05,SIM,SIM_18,2026-01-09 21:07:32.393980,2026-01-09 21:07:32.393980,0.0,
2026-01-09 21:07:32.624387,BUY_YES,KXHIGHNY-26JAN10-B54.5,4.0,1,0.01,0.05,SIM,SIM_19,2026-01-09 21:07:32.624387,2026-01-09 21:07:32.624387,0.0,
2026-01-09 21:07:42.097071,BUY_NO,KXHIGHNY-26JAN10-B52.5,3.0,1,0.01,0.04,SIM,SIM_20,2026-01-09 21:07:42.097071,2026-01-09 21:07:42.097071,0.0,
2026-01-09 21:07:42.097071,BUY_NO,KXHIGHNY-26JAN10-B52.5,3.0,1,0.01,0.04,SIM,SIM_21,2026-01-09 21:07:42.097071,2026-01-09 21:07:42.097071,0.0,
2026-01-09 21:07:42.174190,BUY_NO,KXHIGHNY-26JAN10-B52.5,3.0,1,0.01,0.04,SIM,SIM_22,2026-01-09 21:07:42.174190,2026-01-09 21:07:42.174190,0.0,
2026-01-09 21:07:42.174190,BUY_NO,KXHIGHNY-26JAN10-B52.5,3.0,1,0.01,0.04,SIM,SIM_23,2026-01-09 21:07:42.174190,2026-01-09 21:07:42.174190,0.0,
2026-01-09 21:08:10.621326,BUY_YES,KXHIGHNY-26JAN10-B54.5,2.0,1,0.01,0.03,SIM,SIM_24,2026-01-09 21:08:10.621326,2026-01-09 21:08:10.621326,0.0,
2026-01-09 21:08:14.340209,BUY_YES,KXHIGHNY-26JAN10-B54.5,2.0,1,0.01,0.03,SIM,SIM_25,2026-01-09 21:08:14.340209,2026-01-09 21:08:14.340209,0.0,
2026-01-09 21:08:14.618403,BUY_YES,KXHIGHNY-26JAN10-B54.5,2.0,1,0.01,0.03,SIM,SIM_26,2026-01-09 21:08:14.618403,2026-01-09 21:08:14.618403,0.0,
2026-01-09 21:08:18.179662,BUY_YES,KXHIGHNY-26JAN10-B54.5,2.0,1,0.01,0.03,SIM,SIM_27,2026-01-09 21:08:18.179662,2026-01-09 21:08:18.179662,0.0,
2026-01-09 21:08:42.358515,BUY_YES,KXHIGHNY-26JAN10-B54.5,2.0,1,0.01,0.03,SIM,SIM_28,2026-01-09 21:08:42.358515,2026-01-09 21:08:42.358515,0.0,
2026-01-09 21:33:16.643400,BUY_YES,KXHIGHNY-26JAN10-B54.5,3.0,1,0.01,0.04,SIM,SIM_29,2026-01-09 21:33:16.643400,2026-01-09 21:33:16.643400,0.0,
