time,action,ticker,price,qty,fee,cost,source
2026-01-05 05:02:54.356346,BUY_NO,KXHIGHNY-26JAN05-B35.5,40.0,1,0.02,0.42000000000000004,SIM
2026-01-05 05:03:12.681224,BUY_NO,KXHIGHNY-26JAN05-B35.5,40.0,1,0.02,0.42000000000000004,SIM
2026-01-05 06:24:57.508469,BUY_YES,KXHIGHNY-26JAN05-B37.5,21.0,1,0.02,0.22999999999999998,SIM
2026-01-05 07:33:36.631268,BUY_NO,KXHIGHNY-26JAN06-B41.5,64.0,1,0.02,0.66,SIM
2026-01-05 07:33:49.981115,BUY_NO,KXHIGHNY-26JAN06-B41.5,63.0,1,0.02,0.65,SIM
2026-01-05 07:51:00.956117,BUY_YES,KXHIGHNY-26JAN06-B43.5,20.0,2,0.03,0.43000000000000005,SIM
2026-01-05 07:52:02.713264,BUY_NO,KXHIGHNY-26JAN06-T39,81.0,1,0.02,0.8300000000000001,SIM
2026-01-05 07:52:04.847657,BUY_NO,KXHIGHNY-26JAN06-T39,81.0,1,0.02,0.8300000000000001,SIM
2026-01-05 07:52:05.963725,BUY_NO,KXHIGHNY-26JAN06-T39,81.0,1,0.02,0.8300000000000001,SIM
2026-01-05 08:02:54.069014,BUY_YES,KXHIGHNY-26JAN05-B33.5,18.0,2,0.03,0.39,SIM
2026-01-05 08:02:54.111491,BUY_YES,KXHIGHNY-26JAN05-B33.5,17.0,1,0.01,0.18000000000000002,SIM
2026-01-05 08:02:54.117007,BUY_YES,KXHIGHNY-26JAN05-B33.5,17.0,3,0.03,0.54,SIM
2026-01-05 08:03:08.184234,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,2,0.02,0.34,SIM
2026-01-05 08:03:08.209102,BUY_YES,KXHIGHNY-26JAN05-B33.5,15.0,3,0.03,0.48,SIM
2026-01-05 08:03:08.805334,BUY_YES,KXHIGHNY-26JAN05-B33.5,16.0,1,0.01,0.17,SIM
2026-01-05 08:22:03.933777,BUY_NO,KXHIGHNY-26JAN06-B41.5,53.0,1,0.02,0.55,SIM
2026-01-05 08:22:09.207219,BUY_NO,KXHIGHNY-26JAN06-B41.5,52.0,1,0.02,0.54,SIM
2026-01-05 08:22:13.096831,BUY_NO,KXHIGHNY-26JAN06-B41.5,51.0,1,0.02,0.53,SIM
2026-01-05 08:25:48.093937,BUY_NO,KXHIGHNY-26JAN06-B41.5,50.0,1,0.02,0.52,SIM
