time,ticker,side,price,qty,status,filled
2026-01-05 15:37:08.595884,KXHIGHNY-26JAN05-B37.5,yes,65.0,3,executed,3
2026-01-05 15:37:10.601446,KXHIGHNY-26JAN05-B37.5,yes,65.0,2,executed,2
2026-01-05 15:37:12.705090,KXHIGHNY-26JAN05-B37.5,yes,65.0,1,executed,1
2026-01-05 15:37:15.485400,KXHIGHNY-26JAN05-B37.5,yes,65.0,2,executed,2
2026-01-05 15:37:15.596340,KXHIGHNY-26JAN05-B35.5,no,67.0,3,executed,3
2026-01-05 15:37:19.705436,KXHIGHNY-26JAN05-B37.5,yes,65.0,1,executed,1
2026-01-05 15:52:15.206844,KXHIGHNY-26JAN05-B35.5,no,78.0,1,executed,1
2026-01-05 16:06:17.842012,KXHIGHNY-26JAN05-B39.5,no,88.0,1,executed,1
2026-01-05 16:25:43.249913,KXHIGHNY-26JAN05-B37.5,yes,85.0,2,executed,2
2026-01-05 16:25:52.046967,KXHIGHNY-26JAN05-B37.5,yes,83.0,2,executed,2
2026-01-05 16:25:55.262430,KXHIGHNY-26JAN05-B39.5,no,85.0,2,executed,2
2026-01-05 16:25:57.376720,KXHIGHNY-26JAN05-B37.5,yes,83.0,2,executed,2
2026-01-05 16:25:57.403773,KXHIGHNY-26JAN05-B39.5,no,85.0,1,executed,1
2026-01-05 16:26:01.816348,KXHIGHNY-26JAN05-B37.5,yes,83.0,1,executed,1
2026-01-05 16:26:04.265730,KXHIGHNY-26JAN05-B39.5,no,86.0,1,executed,1
2026-01-05 16:26:05.940968,KXHIGHNY-26JAN05-B37.5,yes,84.0,1,executed,1
2026-01-05 16:26:12.072962,KXHIGHNY-26JAN05-B39.5,no,86.0,1,executed,1
2026-01-05 17:34:10.391828,KXHIGHNY-26JAN06-B39.5,yes,18.0,13,executed,13
2026-01-05 17:35:00.944590,KXHIGHNY-26JAN05-B39.5,no,87.0,1,executed,1
2026-01-05 17:38:05.226570,KXHIGHNY-26JAN06-B39.5,yes,22.0,9,executed,9
2026-01-05 17:43:55.106373,KXHIGHNY-26JAN06-B39.5,yes,22.0,8,executed,8
2026-01-05 17:44:24.264686,KXHIGHNY-26JAN06-B39.5,yes,23.0,4,executed,4
2026-01-05 17:44:40.713564,KXHIGHNY-26JAN06-B39.5,yes,23.0,3,executed,3
2026-01-05 17:57:33.767795,KXHIGHNY-26JAN05-B37.5,yes,79.0,1,executed,1
2026-01-05 17:57:46.796270,KXHIGHNY-26JAN05-B39.5,no,79.0,1,executed,1
2026-01-05 17:57:52.322332,KXHIGHNY-26JAN05-B39.5,no,78.0,1,executed,1
2026-01-05 17:57:57.811131,KXHIGHNY-26JAN05-B39.5,no,78.0,1,executed,1
