time,action,ticker,price,qty,fee,cost,source
2026-01-05 15:37:13.748468,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:37:16.088430,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,2,0.04,1.34,SIM
2026-01-05 15:37:20.699242,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:37:47.375635,BUY_NO,KXHIGHNY-26JAN05-B35.5,65.0,3,0.05,2.0,SIM
2026-01-05 15:37:47.377691,BUY_NO,KXHIGHNY-26JAN05-B35.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:52:14.614174,BUY_NO,KXHIGHNY-26JAN05-B35.5,79.0,1,0.02,0.81,SIM
2026-01-05 16:06:18.560834,BUY_NO,KXHIGHNY-26JAN05-B39.5,88.0,1,0.01,0.89,SIM
2026-01-05 16:25:43.932551,BUY_YES,KXHIGHNY-26JAN05-B37.5,85.0,2,0.02,1.72,SIM
2026-01-05 16:25:45.138682,BUY_YES,KXHIGHNY-26JAN05-B37.5,84.0,2,0.02,1.7,SIM
2026-01-05 16:25:52.265164,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,2,0.02,1.68,SIM
2026-01-05 16:25:52.267139,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,2,0.02,1.68,SIM
2026-01-05 16:25:55.483272,BUY_NO,KXHIGHNY-26JAN05-B39.5,85.0,2,0.02,1.72,SIM
2026-01-05 16:25:58.026995,BUY_YES,KXHIGHNY-26JAN05-B37.5,84.0,2,0.02,1.7,SIM
2026-01-05 16:26:02.481688,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,1,0.01,0.84,SIM
2026-01-05 16:26:03.589664,BUY_YES,KXHIGHNY-26JAN05-B37.5,84.0,1,0.01,0.85,SIM
2026-01-05 16:26:04.847075,BUY_NO,KXHIGHNY-26JAN05-B39.5,86.0,1,0.01,0.87,SIM
2026-01-05 16:26:06.260696,BUY_YES,KXHIGHNY-26JAN05-B37.5,84.0,1,0.01,0.85,SIM
2026-01-05 16:26:12.224306,BUY_NO,KXHIGHNY-26JAN05-B39.5,86.0,1,0.01,0.87,SIM
2026-01-05 17:34:10.804003,BUY_YES,KXHIGHNY-26JAN06-B39.5,18.0,13,0.14,2.48,SIM
2026-01-05 17:35:01.812665,BUY_NO,KXHIGHNY-26JAN05-B39.5,87.0,1,0.01,0.88,SIM
2026-01-05 17:36:56.410146,BUY_YES,KXHIGHNY-26JAN06-B39.5,20.0,10,0.12,2.12,SIM
2026-01-05 17:37:45.376596,BUY_YES,KXHIGHNY-26JAN06-B39.5,22.0,8,0.1,1.86,SIM
2026-01-05 17:38:06.237783,BUY_YES,KXHIGHNY-26JAN06-B39.5,22.0,6,0.08,1.4000000000000001,SIM
2026-01-05 17:39:15.881564,BUY_YES,KXHIGHNY-26JAN06-B39.5,22.0,5,0.07,1.1700000000000002,SIM
2026-01-05 17:43:55.694311,BUY_YES,KXHIGHNY-26JAN06-B39.5,22.0,4,0.05,0.93,SIM
2026-01-05 17:57:33.942339,BUY_YES,KXHIGHNY-26JAN05-B37.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:33.944375,BUY_YES,KXHIGHNY-26JAN05-B37.5,78.0,1,0.02,0.8,SIM
2026-01-05 17:57:47.654571,BUY_NO,KXHIGHNY-26JAN05-B39.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:53.520415,BUY_NO,KXHIGHNY-26JAN05-B39.5,78.0,1,0.02,0.8,SIM
2026-01-05 17:57:58.268565,BUY_NO,KXHIGHNY-26JAN05-B39.5,78.0,1,0.02,0.8,SIM
