time,ticker,side,price,qty,status,filled
2026-01-05 15:37:13.748468,KXHIGHNY-26JAN05-B37.5,yes,65.0,1,executed,1
2026-01-05 15:37:16.088430,KXHIGHNY-26JAN05-B37.5,yes,65.0,2,executed,2
2026-01-05 15:37:20.699242,KXHIGHNY-26JAN05-B37.5,yes,65.0,1,executed,1
2026-01-05 15:37:47.375635,KXHIGHNY-26JAN05-B35.5,no,65.0,3,executed,3
2026-01-05 15:37:47.377691,KXHIGHNY-26JAN05-B35.5,no,65.0,1,executed,1
2026-01-05 15:52:14.614174,KXHIGHNY-26JAN05-B35.5,no,79.0,1,executed,1
2026-01-05 16:06:18.560834,KXHIGHNY-26JAN05-B39.5,no,88.0,1,executed,1
2026-01-05 16:25:43.932551,KXHIGHNY-26JAN05-B37.5,yes,85.0,2,executed,2
2026-01-05 16:25:45.138682,KXHIGHNY-26JAN05-B37.5,yes,84.0,2,executed,2
2026-01-05 16:25:52.265164,KXHIGHNY-26JAN05-B37.5,yes,83.0,2,executed,2
2026-01-05 16:25:52.267139,KXHIGHNY-26JAN05-B37.5,yes,83.0,2,executed,2
2026-01-05 16:25:55.483272,KXHIGHNY-26JAN05-B39.5,no,85.0,2,executed,2
2026-01-05 16:25:58.026995,KXHIGHNY-26JAN05-B37.5,yes,84.0,2,executed,2
2026-01-05 16:26:02.481688,KXHIGHNY-26JAN05-B37.5,yes,83.0,1,executed,1
2026-01-05 16:26:03.589664,KXHIGHNY-26JAN05-B37.5,yes,84.0,1,executed,1
2026-01-05 16:26:04.847075,KXHIGHNY-26JAN05-B39.5,no,86.0,1,executed,1
2026-01-05 16:26:06.260696,KXHIGHNY-26JAN05-B37.5,yes,84.0,1,executed,1
2026-01-05 16:26:12.224306,KXHIGHNY-26JAN05-B39.5,no,86.0,1,executed,1
2026-01-05 17:34:10.804003,KXHIGHNY-26JAN06-B39.5,yes,18.0,13,executed,13
2026-01-05 17:35:01.812665,KXHIGHNY-26JAN05-B39.5,no,87.0,1,executed,1
2026-01-05 17:36:56.410146,KXHIGHNY-26JAN06-B39.5,yes,20.0,10,executed,10
2026-01-05 17:37:45.376596,KXHIGHNY-26JAN06-B39.5,yes,22.0,8,executed,8
2026-01-05 17:38:06.237783,KXHIGHNY-26JAN06-B39.5,yes,22.0,6,executed,6
2026-01-05 17:39:15.881564,KXHIGHNY-26JAN06-B39.5,yes,22.0,5,executed,5
2026-01-05 17:43:55.694311,KXHIGHNY-26JAN06-B39.5,yes,22.0,4,executed,4
2026-01-05 17:57:33.942339,KXHIGHNY-26JAN05-B37.5,yes,79.0,1,executed,1
2026-01-05 17:57:33.944375,KXHIGHNY-26JAN05-B37.5,yes,78.0,1,executed,1
2026-01-05 17:57:47.654571,KXHIGHNY-26JAN05-B39.5,no,79.0,1,executed,1
2026-01-05 17:57:53.520415,KXHIGHNY-26JAN05-B39.5,no,78.0,1,executed,1
2026-01-05 17:57:58.268565,KXHIGHNY-26JAN05-B39.5,no,78.0,1,executed,1
