time,action,ticker,price,qty,fee,cost,source
2026-01-05 15:36:33.885926,BUY_NO,KXHIGHNY-26JAN05-B35.5,72.0,1,0.02,0.74,SIM
2026-01-05 15:36:37.229691,BUY_NO,KXHIGHNY-26JAN05-B35.5,71.0,3,0.05,2.1799999999999997,SIM
2026-01-05 15:36:37.238984,BUY_NO,KXHIGHNY-26JAN05-B35.5,70.0,3,0.05,2.1499999999999995,SIM
2026-01-05 15:36:37.268007,BUY_NO,KXHIGHNY-26JAN05-B35.5,71.0,2,0.03,1.45,SIM
2026-01-05 15:36:37.289968,BUY_NO,KXHIGHNY-26JAN05-B35.5,71.0,1,0.02,0.73,SIM
2026-01-05 15:36:37.355357,BUY_NO,KXHIGHNY-26JAN05-B35.5,71.0,1,0.02,0.73,SIM
2026-01-05 15:36:59.275497,BUY_NO,KXHIGHNY-26JAN05-B35.5,64.0,2,0.04,1.32,SIM
2026-01-05 15:36:59.281038,BUY_NO,KXHIGHNY-26JAN05-B35.5,64.0,1,0.02,0.66,SIM
2026-01-05 15:36:59.341961,BUY_NO,KXHIGHNY-26JAN05-B35.5,64.0,1,0.02,0.66,SIM
2026-01-05 15:37:00.646716,BUY_YES,KXHIGHNY-26JAN05-B37.5,67.0,2,0.04,1.3800000000000001,SIM
2026-01-05 15:37:00.667793,BUY_YES,KXHIGHNY-26JAN05-B37.5,66.0,2,0.04,1.36,SIM
2026-01-05 15:37:08.330554,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,3,0.05,2.0,SIM
2026-01-05 15:37:08.595884,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:37:08.819374,BUY_YES,KXHIGHNY-26JAN05-B37.5,65.0,1,0.02,0.67,SIM
2026-01-05 15:50:58.454052,BUY_YES,KXHIGHNY-26JAN05-B37.5,75.0,1,0.02,0.77,SIM
2026-01-05 15:51:03.679835,BUY_YES,KXHIGHNY-26JAN05-B37.5,75.0,2,0.03,1.53,SIM
2026-01-05 15:51:03.774457,BUY_YES,KXHIGHNY-26JAN05-B37.5,75.0,2,0.03,1.53,SIM
2026-01-05 15:51:04.565950,BUY_YES,KXHIGHNY-26JAN05-B37.5,75.0,1,0.02,0.77,SIM
2026-01-05 15:51:04.893518,BUY_YES,KXHIGHNY-26JAN05-B37.5,75.0,1,0.02,0.77,SIM
2026-01-05 16:25:43.249913,BUY_YES,KXHIGHNY-26JAN05-B37.5,85.0,1,0.01,0.86,SIM
2026-01-05 16:25:44.600307,BUY_YES,KXHIGHNY-26JAN05-B37.5,84.0,1,0.01,0.85,SIM
2026-01-05 16:25:52.074647,BUY_YES,KXHIGHNY-26JAN05-B37.5,83.0,1,0.01,0.84,SIM
2026-01-05 16:25:52.154613,BUY_NO,KXHIGHNY-26JAN05-B39.5,86.0,1,0.01,0.87,SIM
2026-01-05 16:25:55.262430,BUY_NO,KXHIGHNY-26JAN05-B39.5,85.0,1,0.01,0.86,SIM
2026-01-05 16:25:57.403773,BUY_NO,KXHIGHNY-26JAN05-B39.5,85.0,1,0.01,0.86,SIM
2026-01-05 16:25:57.551498,BUY_NO,KXHIGHNY-26JAN05-B39.5,87.0,1,0.01,0.88,SIM
2026-01-05 16:25:57.595221,BUY_NO,KXHIGHNY-26JAN05-B39.5,85.0,1,0.01,0.86,SIM
2026-01-05 17:34:07.484814,BUY_YES,KXHIGHNY-26JAN06-B39.5,18.0,11,0.12,2.1,SIM
2026-01-05 17:34:10.391828,BUY_YES,KXHIGHNY-26JAN06-B39.5,18.0,9,0.1,1.72,SIM
2026-01-05 17:36:55.758788,BUY_YES,KXHIGHNY-26JAN06-B39.5,20.0,4,0.05,0.8500000000000001,SIM
2026-01-05 17:52:52.614026,BUY_YES,KXHIGHNY-26JAN05-B37.5,76.0,1,0.02,0.78,SIM
2026-01-05 17:53:01.580908,BUY_NO,KXHIGHNY-26JAN05-B39.5,82.0,1,0.02,0.84,SIM
2026-01-05 17:53:02.354569,BUY_NO,KXHIGHNY-26JAN05-B39.5,84.0,1,0.01,0.85,SIM
2026-01-05 17:57:29.824045,BUY_NO,KXHIGHNY-26JAN05-B39.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:31.499831,BUY_YES,KXHIGHNY-26JAN05-B37.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:33.767795,BUY_YES,KXHIGHNY-26JAN05-B37.5,79.0,1,0.02,0.81,SIM
2026-01-05 17:57:33.820890,BUY_YES,KXHIGHNY-26JAN05-B37.5,78.0,1,0.02,0.8,SIM
2026-01-05 17:57:52.322332,BUY_NO,KXHIGHNY-26JAN05-B39.5,78.0,1,0.02,0.8,SIM
