time,ticker,side,price,qty,status,filled
2026-01-06 06:09:21.720069,KXHIGHNY-26JAN06-B41.5,no,45.0,1,executed,1
2026-01-06 06:47:29.196403,KXHIGHNY-26JAN06-B39.5,yes,7.0,5,executed,5
2026-01-06 06:47:51.990728,KXHIGHNY-26JAN06-B39.5,yes,8.0,2,executed,2
2026-01-06 06:49:18.316080,KXHIGHNY-26JAN06-B39.5,yes,8.0,2,executed,2
2026-01-06 06:49:18.336730,KXHIGHNY-26JAN06-B39.5,yes,7.0,4,executed,4
2026-01-06 06:49:45.414655,KXHIGHNY-26JAN06-B39.5,yes,8.0,1,executed,1
2026-01-06 06:49:45.602525,KXHIGHNY-26JAN06-B39.5,yes,7.0,3,executed,3
2026-01-06 07:13:23.035578,KXHIGHNY-26JAN07-T52,yes,9.0,8,executed,8
2026-01-06 07:13:31.566247,KXHIGHNY-26JAN07-T52,yes,9.0,2,executed,2
2026-01-06 07:40:26.442780,KXHIGHNY-26JAN07-B47.5,yes,29.0,1,executed,1
2026-01-06 07:42:00.661200,KXHIGHNY-26JAN07-B47.5,yes,29.0,1,executed,1
