time,ticker,side,price,qty,status,filled
2026-01-06 06:09:21.720069,KXHIGHNY-26JAN06-B41.5,no,45.0,1,executed,1
2026-01-06 06:47:29.196403,KXHIGHNY-26JAN06-B39.5,yes,7.0,5,executed,5
2026-01-06 06:47:51.990728,KXHIGHNY-26JAN06-B39.5,yes,8.0,2,executed,2
2026-01-06 06:49:18.316080,KXHIGHNY-26JAN06-B39.5,yes,8.0,2,executed,2
2026-01-06 06:49:18.336730,KXHIGHNY-26JAN06-B39.5,yes,7.0,4,executed,4
2026-01-06 06:49:45.414655,KXHIGHNY-26JAN06-B39.5,yes,8.0,1,executed,1
2026-01-06 06:49:45.602525,KXHIGHNY-26JAN06-B39.5,yes,7.0,3,executed,3
2026-01-06 07:13:23.035578,KXHIGHNY-26JAN07-T52,yes,9.0,8,executed,8
2026-01-06 07:13:31.566247,KXHIGHNY-26JAN07-T52,yes,9.0,2,executed,2
2026-01-06 07:40:26.442780,KXHIGHNY-26JAN07-B47.5,yes,29.0,1,executed,1
2026-01-06 07:42:00.661200,KXHIGHNY-26JAN07-B47.5,yes,29.0,1,executed,1
2026-01-06 08:27:13.593037,KXHIGHNY-26JAN07-B45.5,yes,15.0,1,executed,1
2026-01-06 08:27:49.310342,KXHIGHNY-26JAN07-B45.5,yes,14.0,3,executed,3
2026-01-06 08:27:52.528428,KXHIGHNY-26JAN07-B45.5,yes,13.0,2,executed,2
2026-01-06 08:29:25.277496,KXHIGHNY-26JAN07-B45.5,yes,12.0,3,executed,3
2026-01-06 08:29:25.742636,KXHIGHNY-26JAN07-B45.5,yes,13.0,1,executed,1
2026-01-06 08:29:31.108431,KXHIGHNY-26JAN07-B45.5,yes,13.0,1,executed,1
2026-01-06 08:29:41.642864,KXHIGHNY-26JAN07-B51.5,yes,12.0,1,executed,1
2026-01-06 08:53:13.740168,KXHIGHNY-26JAN06-B41.5,no,47.0,1,executed,1
