time,ticker,side,price,qty,status,filled,order_id,order_time,ready_at,fill_latency_s
2026-01-09 05:05:26.601875,KXHIGHNY-26JAN09-B49.5,yes,8.0,1,executed,1,SIM_1,2026-01-09 05:05:26.601875,2026-01-09 05:05:26.601875,0.0
2026-01-09 05:07:22.181771,KXHIGHNY-26JAN09-B49.5,yes,9.0,1,executed,1,SIM_2,2026-01-09 05:07:22.181771,2026-01-09 05:07:22.181771,0.0
2026-01-09 05:25:46.702834,KXHIGHNY-26JAN09-B49.5,yes,6.0,2,executed,2,SIM_3,2026-01-09 05:25:46.702834,2026-01-09 05:25:46.702834,0.0
2026-01-09 05:25:49.551865,KXHIGHNY-26JAN09-B49.5,yes,6.0,1,executed,1,SIM_4,2026-01-09 05:25:49.551865,2026-01-09 05:25:49.551865,0.0
2026-01-09 05:26:53.880947,KXHIGHNY-26JAN09-B49.5,yes,6.0,3,executed,3,SIM_5,2026-01-09 05:26:53.880947,2026-01-09 05:26:53.880947,0.0
2026-01-09 05:26:59.132444,KXHIGHNY-26JAN09-B49.5,yes,5.0,2,executed,2,SIM_6,2026-01-09 05:26:59.132444,2026-01-09 05:26:59.132444,0.0
2026-01-09 05:27:02.488263,KXHIGHNY-26JAN09-B49.5,yes,6.0,1,executed,1,SIM_7,2026-01-09 05:27:02.488263,2026-01-09 05:27:02.488263,0.0
2026-01-09 05:59:21.489879,KXHIGHNY-26JAN09-B49.5,yes,5.0,6,executed,6,SIM_8,2026-01-09 05:59:21.489879,2026-01-09 05:59:21.489879,0.0
2026-01-09 06:00:48.102814,KXHIGHNY-26JAN09-B49.5,yes,6.0,3,executed,3,SIM_9,2026-01-09 06:00:48.102814,2026-01-09 06:00:48.102814,0.0
2026-01-09 06:00:52.050146,KXHIGHNY-26JAN09-B49.5,yes,5.0,5,executed,5,SIM_10,2026-01-09 06:00:52.050146,2026-01-09 06:00:52.050146,0.0
2026-01-09 06:00:56.333162,KXHIGHNY-26JAN09-B49.5,yes,5.0,4,executed,4,SIM_11,2026-01-09 06:00:56.333162,2026-01-09 06:00:56.333162,0.0
2026-01-09 06:00:58.898196,KXHIGHNY-26JAN09-B49.5,yes,5.0,3,executed,3,SIM_12,2026-01-09 06:00:58.898196,2026-01-09 06:00:58.898196,0.0
2026-01-09 06:01:02.823197,KXHIGHNY-26JAN09-B49.5,yes,5.0,3,executed,3,SIM_13,2026-01-09 06:01:02.823197,2026-01-09 06:01:02.823197,0.0
2026-01-09 06:01:05.345063,KXHIGHNY-26JAN09-B49.5,yes,5.0,2,executed,2,SIM_14,2026-01-09 06:01:05.345063,2026-01-09 06:01:05.345063,0.0
2026-01-09 06:03:32.379211,KXHIGHNY-26JAN09-B49.5,yes,6.0,1,executed,1,SIM_15,2026-01-09 06:03:32.379211,2026-01-09 06:03:32.379211,0.0
2026-01-09 06:05:21.822699,KXHIGHNY-26JAN09-B49.5,yes,6.0,1,executed,1,SIM_16,2026-01-09 06:05:21.822699,2026-01-09 06:05:21.822699,0.0
2026-01-09 06:40:41.471603,KXHIGHNY-26JAN09-B49.5,yes,8.0,1,executed,1,SIM_17,2026-01-09 06:40:41.471603,2026-01-09 06:40:41.471603,0.0
2026-01-09 06:41:37.506035,KXHIGHNY-26JAN09-B49.5,yes,7.0,1,executed,1,SIM_18,2026-01-09 06:41:37.506035,2026-01-09 06:41:37.506035,0.0
2026-01-09 06:41:48.288002,KXHIGHNY-26JAN09-B49.5,yes,7.0,1,executed,1,SIM_19,2026-01-09 06:41:48.288002,2026-01-09 06:41:48.288002,0.0
2026-01-09 06:45:33.285755,KXHIGHNY-26JAN09-B53.5,yes,25.0,1,executed,1,SIM_20,2026-01-09 06:45:33.285755,2026-01-09 06:45:33.285755,0.0
2026-01-09 06:46:19.065775,KXHIGHNY-26JAN09-B53.5,yes,25.0,1,executed,1,SIM_21,2026-01-09 06:46:19.065775,2026-01-09 06:46:19.065775,0.0
2026-01-09 06:46:44.919560,KXHIGHNY-26JAN09-B53.5,yes,24.0,1,executed,1,SIM_22,2026-01-09 06:46:44.919560,2026-01-09 06:46:44.919560,0.0
2026-01-09 06:48:32.621040,KXHIGHNY-26JAN09-B53.5,yes,24.0,1,executed,1,SIM_23,2026-01-09 06:48:32.621040,2026-01-09 06:48:32.621040,0.0
2026-01-09 06:50:44.656105,KXHIGHNY-26JAN09-B53.5,yes,24.0,1,executed,1,SIM_24,2026-01-09 06:50:44.656105,2026-01-09 06:50:44.656105,0.0
2026-01-09 06:52:56.000370,KXHIGHNY-26JAN09-B55.5,yes,18.0,1,executed,1,SIM_25,2026-01-09 06:52:56.000370,2026-01-09 06:52:56.000370,0.0
