time,ticker,side,price,qty,status,filled
2026-01-05 05:02:54.356346,KXHIGHNY-26JAN05-B35.5,no,40.0,1,executed,1
2026-01-05 05:03:12.681224,KXHIGHNY-26JAN05-B35.5,no,40.0,1,executed,1
2026-01-05 06:24:57.508469,KXHIGHNY-26JAN05-B37.5,yes,21.0,1,executed,1
2026-01-05 07:33:36.631268,KXHIGHNY-26JAN06-B41.5,no,64.0,1,executed,1
2026-01-05 07:33:49.981115,KXHIGHNY-26JAN06-B41.5,no,63.0,1,executed,1
2026-01-05 07:51:00.956117,KXHIGHNY-26JAN06-B43.5,yes,20.0,2,executed,2
2026-01-05 07:52:02.713264,KXHIGHNY-26JAN06-T39,no,81.0,1,executed,1
2026-01-05 07:52:04.847657,KXHIGHNY-26JAN06-T39,no,81.0,1,executed,1
2026-01-05 07:52:05.963725,KXHIGHNY-26JAN06-T39,no,81.0,1,executed,1
2026-01-05 08:02:54.069014,KXHIGHNY-26JAN05-B33.5,yes,18.0,2,executed,2
2026-01-05 08:02:54.111491,KXHIGHNY-26JAN05-B33.5,yes,17.0,1,executed,1
2026-01-05 08:02:54.117007,KXHIGHNY-26JAN05-B33.5,yes,17.0,3,executed,3
2026-01-05 08:03:08.184234,KXHIGHNY-26JAN05-B33.5,yes,16.0,2,executed,2
2026-01-05 08:03:08.209102,KXHIGHNY-26JAN05-B33.5,yes,15.0,3,executed,3
2026-01-05 08:03:08.805334,KXHIGHNY-26JAN05-B33.5,yes,16.0,1,executed,1
2026-01-05 08:22:03.933777,KXHIGHNY-26JAN06-B41.5,no,53.0,1,executed,1
2026-01-05 08:22:09.207219,KXHIGHNY-26JAN06-B41.5,no,52.0,1,executed,1
2026-01-05 08:22:13.096831,KXHIGHNY-26JAN06-B41.5,no,51.0,1,executed,1
2026-01-05 08:25:48.093937,KXHIGHNY-26JAN06-B41.5,no,50.0,1,executed,1
